"Variable","RDA1","RDA2"
"MI",-2.42249642538203,0.654500168514974
"Age",-1.42758678484633,-2.20223517539709
"Male",0.163757235580519,-0.312424390165186
"BMI",0.8187231475997,-0.856868329026545
