feature	Ackermannviridae	Aliceevansviridae	Allomimiviridae	Autographiviridae	Casjensviridae	Chaseviridae	Crevaviridae	Demerecviridae	Draupnirviridae	Drexlerviridae	Epsomviridae	Felixviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Inoviridae	Intestiviridae	Konodaiviridae	Kyanoviridae	Lakviridae	Mesyanzhinovviridae	Microviridae	Mimiviridae	Orlajensenviridae	Peduoviridae	Phycodnaviridae	Rountreeviridae	Salasmaviridae	Schitoviridae	Speroviridae	Steigviridae	Straboviridae	Suoliviridae	Toyamaviridae	Unclassified	Vilmaviridae	Zierdtviridae
CON3	0.101637610648885	0.0158878746782952	0.00175379828694713	0.000374052321814853	0.0269205520261995	0.0422005443554427	0.115504432857666	0.021614643730153	0	0.0022253378130627	0.00178475996237152	0	2.94462250946345e-06	0	0.0549109419476513	0.000910567415216979	0	0.00196729204669823	0.0208681134090025	0.00413892424894546	0.00614938988193032	0.000663508409983992	0.0116636984817636	0.0154972985681895	0.101174172133541	0.0235563700384349	0.000107721822971154	0.0523608633281589	0.00509477145234742	0.000213220714782114	0	0.204849932536171	0.00903805238326926	0.00348438572145582	0.143975447901952	0.000638340566094938	0.00883043568809236
CON4	0.0754575304398779	0.0288573773703081	0.000579929347143779	0.00205712103908512	0.0307577990877648	0.0373847427694477	0	0.0252212511682883	0	0.0105564444075993	0.0153760296917325	7.21107020911545e-06	0.000128821413721397	0	0.0422945324245956	0.00666103644637514	0	0.0103304370949177	0.0228017597917315	0.00250458613678512	0.00542827053834195	0.000122046473813008	0.0232935540913664	0.00541352589104344	0.149775624560655	0.0178345214465761	0	0.0770582457100981	0.00877175101315163	0	0	0.22226854550881	0.0104253987293442	0.00109915853811699	0.160875202690553	0.000691576408707098	0.0059659686998396
CON5	0.0691673158014457	0.0161877268818281	0.000611075554439339	0.000956246821899944	0.0431972919432443	0.0471461498598455	0.0660859126816645	0.00369204702072462	0	0.00935672348792747	0.00486912596913008	0	0.00532699156208006	0	0.0433725317954818	0.000931359172049345	0.0274603710310632	0.000564583933798566	0.0273011211969394	0.00716736794715374	0.00580859564007101	0.000161528505898867	0.017553173846098	0.0230878480750587	0.0931522758076271	0.0143818909671904	2.83408778173639e-05	0.137007618181288	0.078701649549992	2.39334253294232e-06	0.00269347276484971	0.130229913755664	0.00152981766681126	0.00408637190856319	0.110819928747654	0.00251688716936047	0.00484435053280686
CON6	0.056829926491391	0.0204013428131835	7.15571245886941e-05	0.000783798189180907	0.0514687954601301	0.0236651082370458	0	0.00225663577252	0	0.0173109130112896	0.0156115027210869	0	1.24259691579935e-05	0	0.0200499175041237	4.9020232724424e-05	0	3.5305132150748e-06	0.013097840196413	0.00783449090596841	0.000540710226605856	0	0.0160107426779514	0.0111191231901257	0.280856146939277	0.00570886951430676	0	0.0441450772863929	0.000125369153111899	0	0	0.126038786361917	0	0	0.282223388040208	0.000193959029570977	0.00359102243851362
CON7	0.0051293919603098	0.00742345254687535	0.000175481326388404	0.00192291171720764	0.0624572370730428	0.00759276732485161	0	0.164294036163216	0	0.00179430977484975	0.00585590485110972	2.21858178133109e-06	1.66298882400693e-05	0	0.00852904182402785	3.06432396624219e-06	0	0.00155088060890664	0.00235760565373359	0.000667317254602759	0.000858661335448569	0	0.00675573663537547	0.13984089023499	0.442495426705284	0.00190580526552894	0	0.00297442753780238	0.000125378997865683	0	0	0.0896060658465569	0	0.000510678081489146	0.0413038367478838	0.000350003209152929	0.00350083852951307
CON8	0.0902624817409666	0.0192908685507955	0.000579210649092144	0.00030745923943722	0.0564326816653333	0.059808001338034	0.000804548696127392	0.00846983268443927	0	0.0258629687472854	0.00585826417042056	1.97027812864615e-05	0.000413119397892887	0	0.0473955973875352	0.00233821638651117	0	0.00640654571295377	0.0207196641939751	0.0050864476515936	0.00985563472882137	0.000273255211123923	0.0260255582284917	0.0029664645956873	0.13046597394052	0.0230972307622685	0.000332345449724828	0.0936235078446054	0.00412884881544818	6.07474022593771e-05	2.42141856934588e-05	0.197660717320266	0.00232847256240361	0.0017951406382984	0.148976844525686	0.00166726213264283	0.00666217066237953
CON9	0.0112973516018767	0.00591282182941204	3.69928452633402e-05	2.43571395618571e-05	0.0802834325226333	0.0020858080568726	9.09583267565019e-07	0.155504705961119	0	0.00582577221013351	0.000677562954301385	0	0.000111568514627659	0	0.00969783457871406	0.0016320057121079	0	5.26362708933953e-05	0.000945801716764651	0.000112310090676559	0.000442078566617548	3.00537564179988e-06	0.000365189086209191	0.1329616216078	0.470740806763381	0.000272821843102672	1.17261224339181e-05	0.00956083524118293	2.94840947323847e-05	0	0	0.0476094144237485	0	0.00022711528390753	0.0581229701533894	0.000593301473423777	0.00485775837620345
CON10	0.105675982965302	0.0242889042466478	0.000477652452386337	3.54132973639939e-06	0.0358002199411053	0.0423576763423238	7.06305842076367e-05	0.00707063165405277	0	0.0285293892737386	0.00383817726667817	0	5.5101951866301e-06	0	0.070831622014574	0.00019535569190882	0.000324360180132529	0.0110816770593105	0.0163593523023547	0.00437182521609621	0.0130480053230851	2.45254057223677e-05	0.0107308302732213	0.00587762073963619	0.151178848497303	0.0201800539718581	0.000491541823560267	0.063869065524301	0.00935982976098667	0	0	0.248387059815137	0	4.03080852185719e-05	0.115520164577353	0.00219422279709249	0.00781541468978331
CON11	0.0666044884583983	0.0217608486867109	0.00020208259611617	1.31415286738829e-05	0.0164842409859117	0.0329026389686994	7.36441664801804e-06	0.0267552545641533	0	0.00607640407573635	0.00190675152798321	0	1.17022737833095e-05	0	0.130023346427472	0.000297165421227205	0	0.0436986982300122	0.00922226523466424	0.00310709645170985	0.0067999104239904	0.000449157505659476	0.00925703682912195	0.025741703986761	0.152127377564479	0.0132542907519407	0	0.0507466363693184	0.0118855974209365	0	0	0.130685654304181	0.157934702310567	0.000886420272884588	0.0686775611698345	0.00405155433436993	0.00842890690805462
CON12	0.0294226287212875	0.0143991099567193	0.000153341205534582	0	0.0715351222330279	0.000727623776475	0	0.222074878899777	0	0.000139824881542921	0.00778814205998407	0	0.000282483861251892	0	0.135427093143796	2.85734077005815e-05	0.000971379648799736	0.000106333976131602	0.0119527734016521	0.000280519486332566	0.000306600874514785	0	0.0029472268550475	0.110170545615321	0.194387267456353	0.000260710789626993	0	0.00373455319616269	2.2088908622901e-05	0	0	0.170495000802193	0	4.93061853557989e-06	0.0207238929823952	0.000931586998656762	0.000725766242557965
