"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON43",165,165,165,3.8174790591877,0.951731637293817,1.05071635828292,165,165,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON43"
"CON44",152,152,152,3.05779368043537,0.922607800544131,1.08388418069978,152,152,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON44"
"CON45",119,119,119,3.80830139704316,0.952403403716328,1.04997524798625,119,119,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON45"
"CON38",132,132,132,2.78025869594408,0.900616417262472,1.11035062300953,132,132,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON38"
"CON39",167,167,167,2.55337867070159,0.886087201743461,1.12855709690018,167,167,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON39"
"CON40",159,159,159,4.06242028860378,0.956249541491179,1.0457521354108,159,159,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON40"
"CON41",166,166,166,3.70440060055529,0.948510470705001,1.05428461876307,166,166,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON41"
"CON42",195,195,195,3.60930445657415,0.942173152979604,1.06137602927606,195,195,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON42"
"CON46",181,181,181,3.6075390873729,0.939404332790106,1.06450435142227,181,181,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON46"
"CON47",145,145,145,3.8071571145755,0.952237062883976,1.05015866214172,145,145,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON47"
"CON20",123,123,123,3.03173928789718,0.914350652048727,1.09367232118156,123,123,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON20"
"CON21",136,136,136,3.80589577471524,0.954126070821318,1.04807952594692,136,136,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON21"
"CON22",134,134,134,3.90252185161283,0.95431110045183,1.04787631572821,134,134,"Relative_abundance",1e+06,TRUE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON22"
