"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON34",191,191,191,3.33716580328236,0.940511549105024,1.0632511647003,191,191,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON34"
"CON35",177,177,177,3.32098091659565,0.94212494509155,1.0614303391604,177,177,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON35"
"CON36",228,228,228,3.43400494795377,0.945023345242569,1.05817491708982,228,228,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON36"
"CON37",200,200,200,3.6833233314599,0.955648461749454,1.04640988818143,200,200,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON37"
"CON38",200,200,200,3.71093022855253,0.955278082739643,1.04681560068048,200,200,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON38"
"CON39",178,178,178,3.29593520371453,0.943407122183959,1.0599877576555,178,178,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON39"
"CON40",184,184,184,3.4093267963492,0.946657641198806,1.05634809933361,184,184,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON40"
"CON41",187,187,187,3.29177074883333,0.932527333287586,1.0723546262977,187,187,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON41"
"CON42",177,177,177,3.41186014014061,0.948071019213613,1.05477330256278,177,177,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON42"
"CON43",212,212,212,3.63489397192578,0.953363689521215,1.04891764915256,212,212,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON43"
"CON44",174,174,174,3.63016387516268,0.951517380996746,1.05095295153985,174,174,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON44"
"CON45",118,118,118,3.00550643439351,0.921673510782663,1.08498290153834,118,118,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON45"
"CON46",233,233,233,3.48584381639085,0.939761307186147,1.06409999257601,233,233,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON46"
"CON47",224,224,224,3.39182933922523,0.934403409843648,1.07020157403677,224,224,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON47"
"MI1",196,196,196,3.67623159672568,0.954742369233571,1.04740297720605,196,196,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI1"
"MI2",220,220,220,3.65126798935715,0.950334296102618,1.05226129805171,220,220,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI2"
"MI3",186,186,186,3.50733597975699,0.947838124376756,1.05503247261503,186,186,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI3"
"MI4",190,190,190,3.33716828697554,0.939072734090167,1.06488024164482,190,190,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI4"
"MI5",212,212,212,3.71104704297046,0.949481871574614,1.05320599575177,212,212,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI5"
"MI6",187,187,187,3.44857279553621,0.950699175590446,1.05185743889905,187,187,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI6"
