feature	衣原体纲..Chlamydiia.	芽孢杆菌纲..Bacilli.	γ.变形菌纲..Gammaproteobacteria.	梭菌纲..Clostridia.	拟杆菌纲..Bacteroidia.	柔膜菌纲..Mollicutes.	放线菌纲..Actinomycetia.	黄杆菌纲..Flavobacteriia.	α.变形菌纲..Alphaproteobacteria.	β.变形菌纲..Betaproteobacteria.	丹毒丝菌纲..Erysipelotrichia.	ε.变形菌纲..Epsilonproteobacteria.	Negativicutes纲	δ.变形菌纲..Deltaproteobacteria.	真细菌纲..Eubacteriia.
MI35	0.497898260943964	0.0819306088748131	0.151025410765996	0.1364596600351	0.03075641042585	0.0461040094767807	0.0174761184987121	0.00465561459607865	0.0105925144283708	0.00122076850681578	0.00578108664395782	0.00598906942660051	0.000166247107195996	0.00128476320916738	0.00865945706059811
MI33	0.47894217525231	0.0948776639703489	0.164050987954221	0.0793388595326939	0.0343873181237635	0.061514111842929	0.0388800681175027	0.00237409531441737	0.0129924119105457	0.00498259497633418	0.00674463449450302	0.0111562445218001	1.00172798076682e-06	0.000153264381057324	0.0096045678795923
MI32	0.380779468855228	0.0861411168662664	0.258313939718467	0.113417892926651	0.0532238881280185	0.0370413753333814	0.0103850233238253	0.00619136864000989	0.0143263893894615	0.00140045926826003	0.00181107186621495	0.00382680643799364	0.000267734860108536	0.000114559627642595	0.0327589047584723
MI38	0.356364301594739	0.0816988644742663	0.154355337605633	0.139819189507541	0.126940688707651	0.04051528936959	0.0522401572524869	0.00174538313493212	0.00985441451262743	0.00302595300719247	0.00383237601712902	0.0120646109102313	2.24006391649042e-05	0.0113477904569544	0.00617324280986151
MI36	0.377607762394144	0.0472040177215919	0.204369006274366	0.0711534327273211	0.225507035667031	0.043954911447448	0.0071996737595883	0.00357268711727146	0.00585769978346679	0.00372782861740111	0.00170766465499855	0.00509861458640384	1.55141500129654e-05	0.000322472689555209	0.00270167840940069
MI34	0.365182982215234	0.225450785361423	0.2261183959322	0.0777084474674673	0.0261269337583273	0.040126596988519	0.00378154548882612	0.0035337113693013	0.010760032538604	0.000505154712524279	7.11485510597577e-06	0.000651009242196783	2.25303745022566e-05	0	0.0200247596957688
MI37	0.47879794398096	0.140143904940367	0.160220519004447	0.0879750343472385	0.02513469957308	0.0439163126075112	0.0179148639275619	0.000576808211781846	0.025196171140943	0.00863675528476191	0.00590536861937932	0.001199720099461	8.19620904840988e-06	0.000772492702812632	0.00360120935064509
MI27	0.400351715910252	0.0700093109735652	0.169992185689883	0.0901595817401303	0.140748245377972	0.0326258240643335	0.0555031883248738	0.00359055317544493	0.0184564506914153	0.000851946885716794	0.00272709349397521	0.00167655088152038	0	0.00244646909749755	0.01086088369342
MI28	0.430522497533782	0.113314001134716	0.209775084294406	0.0962958167144008	0.0310360161586285	0.0558072413963481	0.00649139336651157	0.00350722657348138	0.0159831394150249	0.00187500745402782	0.0054001236942673	0.00404391657622446	0	0.000132894667345906	0.0258156410208355
MI29	0.463347381887145	0.0724219247213401	0.162484429831241	0.102969112953258	0.0202376123977819	0.119436219619134	0.00795461285787342	0.00277818300739513	0.0137514447994434	0.00189006218448867	0.00125523213779018	0.0056092685186818	0.00016832614874581	0.000650861108483798	0.025045327827198
