feature	衣原体纲..Chlamydiia.	芽孢杆菌纲..Bacilli.	γ.变形菌纲..Gammaproteobacteria.	梭菌纲..Clostridia.	拟杆菌纲..Bacteroidia.	柔膜菌纲..Mollicutes.	放线菌纲..Actinomycetia.	黄杆菌纲..Flavobacteriia.	α.变形菌纲..Alphaproteobacteria.	β.变形菌纲..Betaproteobacteria.	丹毒丝菌纲..Erysipelotrichia.	ε.变形菌纲..Epsilonproteobacteria.	Negativicutes纲	δ.变形菌纲..Deltaproteobacteria.	真细菌纲..Eubacteriia.
CON27	426865	56066	107969	144466	22390	30086	10718	3381	6900	1208	1458	2231	4	939	9024
CON28	912376	61891	277339	136789	5674	96719	137634	1798	12432	464	5936	4662	0	11	13064
CON29	449398	71584	152095	71658	26819	83302	27315	2085	16818	3444	3932	2612	0	296	10448
CON30	486910	123568	217229	102264	34723	47832	12470	5604	15405	3963	7231	2879	63	148	8928
CON31	288566	71857	176382	125730	5398	92660	5864	6453	6112	904	101	2482	6	17	18734
CON32	388174	136939	157200	94835	22621	25716	10306	1446	7206	1408	3069	837	15	139	6286
CON33	389855	62819	129134	96131	66790	69009	5727	2687	11267	1161	13463	3947	0	308	7326
CON34	367284	73087	154318	87464	13349	29138	13796	4141	5172	724	362	1881	34	45	15863
CON35	334593	71589	141562	165812	21539	63336	26385	4675	8846	5438	4135	1348	0	18	15323
CON36	297974	59860	128824	62732	11463	71230	10237	1690	11797	1485	990	1788	4	283	12749
CON37	419328	71724	169988	69868	39911	119560	24264	5222	14827	958	7156	1567	0	125	21166
CON38	281510	106777	104212	73252	40079	323489	24427	1043	7810	5478	2024	3357	2	7107	5357
CON39	342966	69876	97206	81283	63644	26095	6204	1881	12416	2429	2454	13980	16	629	8271
CON40	441534	58895	125026	86702	20713	46446	30776	2138	12131	553	2938	927	2	6	11640
CON41	461753	49047	180602	143669	11069	98184	41863	936	234343	11430	1378	1149	4	70	19446
CON42	655948	64401	253207	82097	6420	67291	40845	1233	22072	2508	1425	4028	4	4	9496
CON43	339893	66294	101938	55354	18243	33684	14547	1000	10087	917	635	4551	0	7474	11485
CON44	286205	57974	214129	70921	17986	37051	7326	1156	22783	1580	1023	1932	2	46	9755
CON45	414207	112242	213475	119874	6370	34310	6893	2684	40546	1101	117	2139	0	0	22849
CON46	364977	49579	154199	94560	7428	49695	18447	1939	13740	2706	4161	2188	64	411	12944
CON47	505361	242065	95350	44963	14938	33656	7967	1333	7070	1320	1947	1392	743	81	6845
