Feature	MI35	MI33	MI32	MI38	MI36	MI34	MI37	MI30	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47
Inoviridae	364.5222	49.9697	33.4346	9.0415	543.7287	20.9315	47.5921	0.7648	51.6941	410.7881	28.5236	23.2325	30.4174	15.4804	48.3731	37.0808	50.6446	13.0703	0.8116	109.8468	1.3509	42.5328	74.1986	68.05	108.6652	65.8653	44.3674	22.5773	1609.874	112.5653	55.4436	15.9374	181.7423	8.2489	981.6203	22.5038	44.608	464.0724	27.8278	6.164	89.7078	580.3756	113.7084	5.4567	0.4366	219.5477	208.8489	17.8402	28.1008	3.0488	24.9607	83.3454	14.084	19.1047	72.0381	33.9917	137.9452	89.8482	61.242	85.1248	471.1812	142.1062	36.6304	67.1194	177.7563	13.0652	82.7047	95.324	19.0896	31.4224	236.2309	60.8677	120.5846	113.6755	58.88	95.512	69.6978	27.6151	82.7561	54.6215	31.8587	52.4769	18.5241	64.9102	66.8971
Intestiviridae	35.7297	0	2.8656	1098.957	0	0	0	0	56.0099	92.3699	20.124	0	0	396.1526	67.476	0	1.4444	491.8529	0	1337.6748	0	3756.8652	0	25921.2405	5819.6457	0	0	0.2503	0	218.1666	0	4321.4886	146.9067	4708.2442	0	4224.9425	0	160.8055	128.7173	0	0	0	3352.6001	0	0	0	0	29.6211	0	103.6468	27.0877	0	0	0	0	119.7092	0	0	9.5538	0	0	0	0	0.248	701.2425	125.9695	1712.639	0	0	0	62.7308	0	32.0218	445.9406	1988.9874	15616.5873	0	0	0	0.4693	0	0	0	0	178.2951
Konodaiviridae	36.6743	80.0395	596.8148	377.7625	84.3872	445.1366	83.7983	1.2183	117.1552	123.2469	74.1257	297.556	113.291	30.3221	1.6054	12.8009	3.3708	0.5999	298.2372	49.9462	0	11.6506	34.5961	23.1862	9.2418	211.0447	137.7522	248.3319	2257.4085	295.5099	4742.4131	692.7552	405.5906	4815.3663	0	83.3236	15.3392	182.5789	125.4249	50.4828	193.8148	900.0902	68.9293	0.393	220.967	601.545	6.7359	1011.9968	4132.2721	11.3459	88.5006	415.082	165.4261	23.1226	22.4075	49.2429	21.3668	1388.3559	132.3875	195.3029	111.3704	28.2061	0.0437	0	66.4514	82.2654	42.381	602.4411	64.285	329.5417	623.5718	62.3928	556.5378	42.2012	981.6538	243.5368	197.7373	139.6762	36.6324	11.034	12.4786	1.8932	66.1651	21.7757	52.4701
Kyanoviridae	2277.1557	2860.0271	2073.6309	3453.2067	1994.8025	595.8005	4917.7729	13.3296	1785.4739	2788.6647	2625.2248	1422.2799	2711.4204	2131.4966	2738.6735	3343.2628	1310.8292	1973.2424	731.2347	1166.9262	293.9684	1559.1698	3599.26	2265.5516	2109.5547	3413.3888	3169.9752	2719.9622	1740.1428	3597.5673	1052.7941	1261.864	4768.7046	988.5359	1096.5652	2918.5037	2354.8192	1418.162	2963.6987	1605.8104	2055.8967	1986.7156	3333.1575	1457.9895	335.9079	1945.4806	121.0349	1493.9627	872.0834	1275.3682	3664.9387	577.2615	3051.5033	1908.2556	2333.5348	2602.7357	1403.8298	2859.2302	2352.2582	2207.7174	1775.3706	2184.7447	617.2383	425.5056	3514.8312	2226.6392	1218.4198	968.753	1349.7143	1513.3572	2530.4718	1119.3675	661.2701	3738.8346	2341.663	2856.3406	1692.5689	2280.7356	3019.4915	1851.2997	7636.4019	2184.3953	543.8303	1346.3467	2814.1623
Lakviridae	1033.3225	451.2356	428.673	721.3437	118.9738	742.7239	551.1516	0	574.5642	1056.5519	2406.6359	392.387	32.5652	782.643	290.9201	443.2484	482.5612	542.7585	411.5073	577.3235	0	1180.9889	1593.0412	532.2438	523.4351	469.992	783.6912	457.5072	994.1619	807.5421	360.2302	1596.0389	852.3704	448.8773	315.9938	438.9988	402.8087	464.1467	332.2716	211.9703	407.7609	218.2244	875.0544	872.0984	95.0783	477.5939	14.3724	399.2422	293.8158	29.9316	689.1162	241.5524	817.4447	443.0676	617.1839	727.3339	244.5368	1129.5916	620.5669	725.123	553.3408	507.1073	41.2497	140.559	458.4854	199.904	706.1079	313.8628	177.9009	369.854	457.29	509.4303	487.5068	312.5707	1182.7956	1162.482	636.0697	280.0862	353.3254	849.8674	319.6933	519.9463	911.6874	586.2023	448.0508
Mesyanzhinovviridae	474.4123	1875.1021	319.736	449.4424	583.559	33.0618	2005.6071	0.6615	597.8036	753.2867	267.8681	568.3282	514.3099	1857.3141	126.6136	856.0179	45.6011	281.893	544.0553	356.5865	572.4875	365.4409	187.1123	941.1485	927.494	928.4762	637.3623	933.1932	438.7892	1447.8571	1345.7333	737.8806	1359.5833	701.3107	3669.4289	1195.1207	501.1176	590.1161	742.07	293.3585	605.8291	472.9648	709.1637	60.1893	122.3407	925.3985	56.5731	1191.5651	643.0187	32.7145	163.4092	2131.0614	525.7673	143.5737	169.7939	3156.1362	902.0299	131.041	819.0383	416.6644	106.4684	917.6214	1.9721	43.8504	647.779	331.8126	823.7231	1379.0193	256.1275	557.5589	336.8838	594.7255	523.8097	578.502	550.5597	2133.0223	1101.3613	687.4443	803.4847	629.6603	440.4772	555.3365	187.407	851.8913	396.8986
Microviridae	2.7723	110.9025	13.8795	82.157	173.7388	1.5437	95.0695	0	484.4412	186.1301	3.0474	5.9957	13.509	6.0044	0	2.4157	0	0.9134	6.7948	0.2305	2.0613	0.8224	1.4328	553.9817	2.5978	12.4964	11.7343	9.5143	462.2379	1.7408	7.5159	32.4622	9.5329	3.7308	0	4.852	93.7123	13.6402	4.182	4.4225	65.3679	10.6339	19.7208	0	0	25.6574	0.3846	2.2397	42.4736	0	252.5989	135.2126	35.2381	0.8781	0.5789	1.5585	1.2294	5.5495	22.7343	7.8174	10.002	134.2818	22.154	0	935.9696	418.4347	11.7919	5.0323	0.2304	6.874	4.2249	4.9194	7.2975	1.159	155.4664	34.0241	26.7587	1.3109	0.6494	0	583.9852	0	2.6887	1.3171	2.6933
Mimiviridae	2110.223	1522.1711	2729.9398	2110.8504	1559.3759	1948.401	462.5081	1024.393	1586.3447	803.198	2403.0626	2981.0921	1093.0609	802.1292	1593.1569	1130.7772	610.2521	451.0365	2467.5518	1353.3778	24.2248	771.8691	689.306	875.7107	1836.0984	955.6118	1435.8676	971.3802	4071.0661	910.8811	1373.6172	1311.9227	2616.6504	1652.2787	2079.1103	1043.1104	983.4192	1473.4164	835.8389	610.8397	1149.0909	2029.5656	2143.0436	1782.24	962.5466	2443.6795	46.7335	979.9569	875.3715	314.4709	885.6699	2411.0918	1251.1127	1452.5698	573.0289	706.9505	981.5718	730.6761	1257.5563	2014.6336	329.0648	1402.0937	343.1029	118.7943	837.5899	848.6222	920.6207	3374.8764	170.5522	5659.4067	1815.3003	1708.8509	960.0321	1321.9878	1457.2954	1926.58	1146.9549	775.7012	954.6323	1458.9933	744.9836	2260.0537	987.7719	800.6986	2735.7283
Nixviridae	0	0	0	0	0	0	0	0	0	0	0	0	166.3796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orlajensenviridae	1293.3825	1083.236	199.9481	897.6751	236.3751	659.2212	303.5765	0.474	2016.0538	195.1681	185.3946	84.0497	2913.705	1460.9357	196.8743	8447.8134	5135.7518	7633.5928	3058.9586	111.7279	105.2781	731.9965	4564.252	102.1364	4944.6566	1737.6525	847.1757	313.7643	210.1362	85.5521	3002.1848	165.4612	282.816	697.6258	1325.1821	545.4564	1687.3689	713.2703	916.7009	31287.6473	1526.7717	471.6801	2818.7646	1237.7281	19924.3074	278.5373	17015.1907	536.7539	2434.2081	11755.2643	696.1322	1657.2905	569.0948	1047.5868	630.3313	4547.331	5723.0408	27.2129	6415.1089	484.3959	82.9264	953.218	0.0737	1678.7585	125.226	7556.4746	1325.8056	739.2972	238.8359	314.2713	258.9141	1198.7384	421.6127	104.6402	1442.6261	4810.5912	1950.975	1135.0347	1226.4338	2596.9864	781.8682	249.463	128.6106	971.628	486.4315
Peduoviridae	17847.8495	14909.3885	5366.1234	17107.0242	26231.0227	5118.2442	12131.2338	76613.6019	13688.4972	9184.1564	9622.9908	15555.5272	12100.6244	14509.0939	6230.99	22245.6877	4103.539	14031.3637	10205.346	22340.5936	14030.6463	14871.5817	10646.6872	9593.2489	9056.0121	11732.1461	13773.5077	11800.0734	11973.2401	19375.465	15056.9925	47815.8688	15245.4649	77728.8854	26663.48	15862.4297	9534.7641	51940.9879	22458.9538	36048.1582	9967.5348	13049.9388	11372.8372	31263.5753	63046.0439	12250.1513	60241.0267	13805.8987	14385.5937	20741.2398	12869.5847	16992.8654	12113.5373	10228.0418	15914.4251	14214.1613	17388.0163	9369.0586	27783.5793	15633.0175	6221.8865	12000.3217	10101.6147	7805.4516	11615.0697	20354.694	18283.8844	13943.152	12393.1498	13263.0379	11814.6358	11236.0878	9138.5124	11946.2388	18450.0944	18788.4467	12413.5635	11761.1833	8819.989	23847.9755	15091.6001	13982.8802	4024.4555	12835.8665	11577.8884
Phycodnaviridae	2354.0952	2521.0264	1732.5703	1914.668	1342.8079	1180.2699	3377.1233	55.5825	1689.8269	1654.3376	1675.368	3254.7872	409.1014	3393.6612	743.2082	1714.9376	1156.4216	1643.0714	561.816	1425.1631	66114.5627	2308.6726	1694.9762	1727.7697	2360.3651	1501.8227	1867.3605	1546.0812	1094.597	2306.2063	1532.0618	228.0494	1756.9035	1716.0361	556.3755	1603.6554	567.3433	809.8914	1497.0469	450.3047	2320.7399	1553.9205	1755.8659	635.4843	271.5361	2168.7231	34.9132	1842.8754	1253.3631	27.818	1882.0539	305.8222	2040.0099	1771.9243	1933.1605	1422.6448	802.5531	1422.2354	1808.2712	2122.9802	1124.3884	2148.3531	684.5368	510.0423	2398.3983	798.5525	1950.8605	1565.273	803.6413	1130.4973	2786.5535	838.8626	1619.7121	1295.4295	1965.4239	1700.3203	1203.9024	912.7188	1630.6623	2316.6743	1016.3127	1029.1064	1847.5149	1646.8874	1608.3243
Rountreeviridae	5.9387	5.1686	46.5187	2.9112	0	0	10.4817	0	5.0232	13.7996	180.2689	3.3352	0	20.3969	1.8947	0.3872	0	2.9433	0	2.5433	0	1.1429	0	22.2254	16.3023	0.2567	1.1084	2.7258	1.8355	1.1386	7.1979	0	3.4053	1.037	8.0883	2.1483	0.1737	1.5667	2.6869	0	10.6126	0	3.4601	0	0	31.2057	1.5006	44.8884	0	0	7.9172	0	20.9437	1.8478	0.2429	2.3902	1.6248	0	0	3.9592	0	0	0	0	0.2368	0	0.4387	12.8979	5.9169	3.3292	0.5503	9.2412	0	25.3258	10.49	7.9733	2.848	2.6975	0	0.4459	0	0.4365	0	1.1715	4.0051
