Feature	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI30	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
Acidaminococcaceae	0.430859870742036	0.0142500042750013	0.0228899977110002	1.28928038678411	0.395339802330096	0	0	1.65494	0	0.54546010909202	0.398579960142003	0	1.50290045087013	0	0.38493	0.319980063996012	0	0.0768600076860006	0.01068	0	0.0619800061980006	4.20474042047403	0.246179926146022	4.95971851208444	0	0	9.94281298284387	7.22947710820914	0.00440999867700039	0.810030243009072	0.0379500075900015	0	2.27388045477608	0.164489950653015	0.614129938587006	1.18910928653443	0.10872	2.08278041655608	1.32975026595005	0	1.22649	0.0291900029190003	0	4.6018613805584	0	0.478559952144003	0.0971099902890009	0	0.782970234891069	0	0.513419948658003	1.30212	0	3.79401772358935	0.88372044186022	2.06391020639102	0	2.22917955416409	0.418439790780102	0.0807299919270006	0.899940179988033	0	0.180709981929002	0	0.77953015590603	0	0.0116099988390001	2.20385911845634	0.0288399999999998	0	0	0	0.00885000354000141	0.242999951400008	2.15682021568202	8.32542083254206	0	0	0	0.0322199742240204	0	0.121800036540011	2.61296921610923	0.320929871628051	0.701369859726027
Actinomycetaceae	0.0430999870700037	0	0	0.0210000063000019	0.0305699847150076	0.300910030091003	0.0253799923860022	0.00861	0.140010014001001	0.0345600069120012	0.0106399989360001	0.0358499856600057	0.0730500219150063	0.00710999857800025	0	0.0298100059620011	0.045959986212004	0.0526200052620003	0.15749	0.367469963253003	0.121900012190001	0.0751200075120006	0.0290699912790026	0.132429960271012	0.182069963586007	0.652930195879057	0.0194100058230017	0.467699812920073	0.00191999942400015	0.22245006673502	0.481200096240019	0.257940025794002	0.670440134088026	0.0975599707320085	0.229599977040002	0.0760399543760272	0	0.0681900136380025	0.00957000191400036	0.00329999835000081	0.27045	0.536380053638003	0.0170399965920006	0.194830058449017	0.419839874048036	0.0648299935170006	0.131379986862001	0.0176399947080015	0.011070003321001	0	0.00299999970000003	0.416729999999997	0	0.00597999641200214	0.136740068370034	0.0556600055660004	0.137209917674049	0	0.135689932155034	0.0168899983110001	0.192780038556007	0	0.0644799935520005	0.149200059680024	0.0891000178200034	1.24756074853645	0.0700199929980006	0.121379951448019	0.04105	0.358129964187002	0.0434999782500107	0.0384899884530033	0.539850215940085	0.0208199958360008	0.0293100029310002	0.00536000053600004	0.0631200189360054	0.463110138933041	0.06657	0.017279986176011	0.51221979511208	0.370380111114032	0	0.0153799938480024	0.0418199916360016
Akkermansiaceae	0.661649801505057	0	0.529349947065003	0	0.561509719245138	0	0	26.15772	0	0.146280029256006	0	0	3.24300097290027	0	0	0	2.11442936567119	0.00618000061800006	0	0	3.31002033100203	0	0	0.0955499713350084	0	0	28.9535786860736	0	0	0.101370030411009	0	0	0	0	0	0	0.0609299999999997	0	0.546120109224021	0	0	0	0.0125699974860005	0	0	0	0	0	0	0	0	0	0.0135299959410012	0	16.3365381682691	1.30512013051201	0	0.908069818386036	0	0.0933599906640006	4.14864082972815	0	0	0	0	0	0	0.152129939148024	5.43687	0	0	0.474509857647042	0	0.432299913540015	0	0	0	0	0.0809999999999997	0	0	0	0	11.2454655018138	0.78923984215203
Atopobiaceae	0	0	0	0	0	0	0	0	0.0100900010090001	0	0	0	0.100420030126009	0	0	0	0	0	0.00546	0	0	0	0	0	0	0.0056800017040005	0.00536000160800048	0	0.621099813670056	0	0	0	0.0111000022200004	0	0	0.142299914620051	0	0	0	0	0.00244	0	0.027039994592001	0.138160041448012	0	0	0.0108399989160001	0	0	0	0	0.00679999999999998	0	0	0	0	0.408939754636146	0.00708999858200028	0	0.0303599969640002	0	0	0	0.0267000106800042	0	0.791910475146284	0	0.00041999983200006	0	0.216359978364002	0	0	0	0	0	0	0	0	0	0	0.00648999740400103	0	0	0.0140799943680022	0
Bacillales_unclassified	0	0	0.0123899987610001	0.0120600036180011	0.0582499708750144	0.0271500027150003	0.00437999868600039	0	0.0322500032250003	0.0081000016200003	0	0	0.0249800074940022	0	0.02556	0.0318300063660012	0	0	0	0	0	0	0	0.285499914350024	0.144029971194006	0.158900047670014	0.00558000167400048	0.180299927880029	0	0.440590132177039	0.519850103970019	0.151980015198001	0	0.0527299841810046	0.0454599954540003	0.22332986600208	0	0	0.00648000129600024	0.0476199761900117	0	0.0917600091760008	0.00974999805000036	0.101700030510009	0	0.00529999947000004	0.0129899987010001	0.022359993292002	0	0	0	0	0	0	0.020340010170005	0.00789000078900006	0.201689878986072	0	0	0	0.0190500038100007	0.00453000090600018	0.0438899956110003	1.36832054732822	0	0.0206800124080074	0.0284399971560003	0.0485599805760076	0	0.0147799985220001	0.0296899851550073	0.0130799960760012	0.00486000194400075	0	0.0494200049420003	0.0546600054660003	0	0.180570054171016	0.02313	0	0.0217699912920035	0.0488000146400044	0	0	0
Bacteroidaceae	28.4274214717735	16.9819550945865	40.3518559648143	46.8415740524722	28.8800555599722	0	2.67572919728124	30.8515399999998	0.152340015234001	38.3107576621515	91.6023808397618	0.118889952444019	19.7777359333207	85.0819329836133	44.6953999999998	1.65306033061206	4.52972864108139	3.43929034392903	1.82421	107.496289250371	12.3009612300961	55.9142155914214	11.373356587993	6.32714810185555	1.83779963244007	0.0528600158580045	34.427730328319	0.721289711484114	29.2238612328416	29.3465088039526	3.59142071828412	14.8988114898811	24.502724900545	12.1399463580161	24.2139275786072	5.17466689519985	36.8259299999998	53.8761407752281	44.2429588485916	4.46273776863111	10.54356	0.211200021120002	2.73201945359611	0	5.02949849115045	5.30210946978904	8.37331916266807	50.2447349265795	84.2164752649424	82.3335182333516	154.195184580481	20.51122	78.5241164427649	92.4520545287671	39.8742499371249	18.4148218414822	0	64.2362371527524	6.71717664141168	25.5146074485392	18.7725437545087	0	3.54595964540403	37.2863849145538	15.1609830321966	27.831586698952	0.555119944488003	18.5322825870869	4.59053	0.002969999703	0.725039637480179	2.13284936014519	1.05657042262817	15.7697968460406	33.2204133220413	6.13041061304106	0.00051000015300003	58.2595274778582	87.8630699999997	14.081008735193	35.2793858882455	26.1160578348173	81.6515155045452	36.8087252765097	56.3528187294361
Barnesiellaceae	1.99511940146418	0.89594026878208	1.37053986294601	0	4.17338791330602	0	0	8.03057999999997	0	0.976090195218037	0.0849399915060008	0	2.81942084582625	0	0	0.00399000079800015	0	1.01948010194801	0	0	0.961890096189009	0.380130038013003	0	0	0	0	6.71849201554759	0	0	0.246750074025022	0	0	2.20164044032809	0	0	0.277049833770099	1.29089	0	0	0.0558599720700138	0.78669	0	0.270059945988011	0	0	0	0.001409999859	0.0604599818620054	9.96565298969588	0	0	8.77276999999997	0.023759992872002	0.0359199784480128	1.45467072733536	0	0	2.40116951976609	3.17501841249078	0.918719908128006	1.30041026008205	0	0.521999947800003	0	0.766170153234029	0	0	0	1.00176	0	0.00512999743500126	0	0.0303300121320048	0	0	0	0	0	0.00278999999999997	1.74638860288912	0	2.10113063033919	3.73848887845332	0	3.68579926284012
Bifidobacteriaceae	65.7514302745708	200.763330228999	57.9706742029324	43.2360729708218	14.3582028208986	52.2448152244813	240.018587994423	4.95303	194.647069464707	17.1935434387087	82.5094417490557	263.291204683518	41.0811423243426	105.194638961072	10.27656	65.5135631027124	63.1553210534036	89.0014889001486	175.66494	21.7412378258762	162.915756291575	17.4499517449952	28.4314514705646	14.3748256875523	0.0234999953000008	28.7954086386226	4.37013131103938	174.7670000932	100.409039877288	37.3350712005213	8.0400916080183	21.6360821636082	10.7809821561964	78.2984465104659	90.7552409244759	5.54174667495198	75.4971599999997	73.6819547363907	126.528385305677	88.1772159113919	52.77742	45.5099145509913	8.64312827137433	24.3832073149622	33.64079990776	28.6858671314133	10.3257289674271	61.6692414992274	5.91726177517852	12.1833312183331	1.29299987070001	6.66005999999998	87.5873737237878	13.8278917032649	4.00209200104599	0.428520042852003	124.105505536696	0.178889964222007	44.2605878697059	4.90499950950003	3.70620074124013	0.372060074412012	65.2326534767346	49.4770097908038	10.9712421942484	70.4338822603292	40.0971559902843	22.9416808233277	102.49615	118.939128106087	68.2279158860418	68.054569583629	133.779653511861	188.407582318483	12.3992712399271	18.1290018129002	0	0	15.0309	27.5660279471776	26.2238795104482	15.9880847964254	6.30068810979354	34.5798661680534	38.4685423062915
Christensenellaceae	0	0.00372000111600033	0	0	0	0	0	0	0	0	0	0	0.0779400233820069	0	0	0	0	0.0138300013830001	0	0	0.00696000069600006	0.00873000087300006	0	0	0	0	0.0175200052560016	0	0.00080999975700006	0	0	0	0	0	0	0	0.0392399999999997	0.0898500179700036	0	0	0	0	0	0	0	0.0142499985750001	0	0	0.314250094275027	0.0987000098700009	0	0.0391499999999997	0	0	0	0.0632400063240006	0	0	0.0778799610600192	0.0365399963460003	0	0	0.002219999778	0	0	0	0	0	0.00911999999999997	0	0.0156299921850039	0	0	0	0	0	0	0	0	0.0606299514960387	0	0.0309300092790027	0	0	0
Clostridiaceae	0.22577993226602	3.3411210023363	0.259109974089002	3.05803091740926	0.4093697953151	0.913840091384008	0	0.41554	0.217380021738002	0.0996200199240038	0.0746099925390006	0.0544199782320084	2.04856061456818	0.226219954756008	0.977189999999998	0.141160028232005	2.60229921931023	0.0684300068430006	0.12178	0	0.131720013172001	0.131670013167001	0.135129959461012	3.91132882660133	0	0.120750036225011	1.02429030728709	0	0	0.384040115212034	39.1260678252135	0	0.00025000005000001	0.271529918541024	0.00215999978400002	0.210509873694076	0.13488	0.0526500105300021	0.146520029304006	0.0156899921550039	0	0	0.228989954202009	0	0.00937999718600084	2.44759975524002	0.169329983067002	3.02093909371826	0.432680129804037	0.174660017466002	0.0330999966900002	1.95186	0.00521999843400045	0.0614499631300219	1.66100083050042	0.00912000091200009	4.35408738754754	3.31306933738612	0	0.113079988692001	2.5593905118781	0.0656700131340024	0.0531699946830003	0.163650065460026	0	1.26953076171846	0.00059999994	0.237299905080037	1.71648	0.0187199981280002	0	1.65666950299915	0.0437000174800069	0.111269977746004	0.586200058620003	0.480030048003003	0	0.034080010224003	0	0.0683199453440436	0.0293199882720046	0.0177000053100016	1.24342962697111	0.740959703616118	0.212219957556008
