feature	CON10__92125	CON10__98555	CON11__37005	CON11__65258	CON12__11210	CON12__2605	CON12__5412	CON12__6478	CON12__6999	CON12__7482	CON12__8214	CON13__106090	CON13__125096	CON13__134529	CON13__23397	CON13__38366	CON13__42474	CON13__4329	CON13__49865	CON13__68260	CON13__83545	CON13__96551	CON13__97539	CON14__23149	CON14__24666	CON14__2540	CON14__53546	CON14__58832	CON15__32317	CON16__18185	CON16__20412	CON16__2712	CON16__54857	CON16__60662	CON16__68738	CON17__51038	CON18__42913	CON18__96477	CON19__13253	CON19__21279	CON19__28358	CON19__33387	CON19__37443	CON19__43919	CON1__11518	CON1__132483	CON1__136887	CON1__141657	CON1__142396	CON1__27299	CON1__65958	CON20__10562	CON20__1276	CON20__34635	CON20__38131	CON20__40587	CON20__43638	CON20__8042	CON21__106170	CON21__111618	CON21__30995	CON21__43747	CON22__10666	CON22__1448	CON22__29078	CON22__64406	CON22__68813	CON22__72323	CON23__32221	CON23__39006	CON23__39618	CON24__104082	CON24__18379	CON24__35132	CON24__49185	CON24__67436	CON25__12111	CON25__12510	CON25__8978	CON25__9997	CON26__17032	CON26__23139	CON26__2739	CON26__34383	CON26__44076	CON27__11287	CON27__46332	CON27__49361	CON27__67231	CON27__77841	CON28__38958	CON2__39371	CON2__56254	CON2__63905	CON2__65684	CON2__70037	CON30__101066	CON30__106370	CON30__106949	CON30__115695	CON30__117671	CON30__21220	CON30__57661	CON30__78830	CON30__78872	CON30__86319	CON30__87665	CON31__48385	CON31__53650	CON31__67138	CON32__13019	CON32__14322	CON32__19720	CON32__22342	CON32__25400	CON32__30458	CON32__35763	CON32__46420	CON32__54229	CON32__56105	CON32__56929	CON32__62268	CON32__67931	CON32__69345	CON32__7499	CON32__75016	CON32__82194	CON32__84218	CON32__8800	CON33__124236	CON33__61023	CON33__84611	CON34__10987	CON34__2332	CON34__27319	CON34__33096	CON34__3956	CON34__40685	CON34__473	CON34__670	CON34__8025	CON35__16446	CON35__22276	CON35__38542	CON35__43183	CON35__5024	CON35__7412	CON36__19213	CON36__20695	CON36__22016	CON36__56259	CON36__86234	CON36__87622	CON37__18567	CON37__93791	CON38__16154	CON38__26147	CON38__45185	CON38__54801	CON38__64675	CON38__69394	CON39__17826	CON39__20358	CON39__22688	CON39__31285	CON39__46140	CON39__56582	CON40__31341	CON40__43317	CON40__4915	CON40__5035	CON41__27547	CON42__18473	CON42__60554	CON42__66103	CON43__10718	CON43__13370	CON43__20630	CON43__25730	CON43__49036	CON43__49144	CON43__53367	CON43__71541	CON43__88736	CON44__29119	CON44__34575	CON44__73004	CON44__73208	CON44__73331	CON46__17762	CON46__60239	CON46__87773	CON47__114212	CON47__115041	CON47__18512	CON47__55906	CON47__68241	CON47__69180	CON47__72923	CON47__75632	CON47__7973	CON47__83914	CON4__10543	CON4__16143	CON4__50221	CON4__55923	CON4__69560	CON4__70966	CON4__81731	CON4__8492	CON4__94670	CON5__103695	CON5__16522	CON5__84202	CON6__19195	CON7__10911	CON8__139056	CON8__87818	CON9__3440	CON9__5345	HF10__10354	HF10__12342	HF10__22146	HF10__22296	HF10__24733	HF10__3047	HF10__37128	HF10__58349	HF10__69385	HF11__101063	HF11__113757	HF11__114798	HF11__16744	HF11__24370	HF11__37751	HF11__38182	HF11__42141	HF11__44980	HF11__53881	HF11__69828	HF11__70977	HF11__76061	HF11__7762	HF11__82779	HF11__8521	HF11__90653	HF12__100723	HF12__101357	HF12__34110	HF12__46308	HF13__11512	HF13__121300	HF13__130702	HF13__131596	HF13__133124	HF13__21710	HF13__56270	HF13__78185	HF13__87117	HF14__26829	HF14__31224	HF14__39481	HF14__43323	HF14__4654	HF14__66792	HF14__72355	HF14__72734	HF14__82474	HF14__90313	HF15__100025	HF15__19544	HF15__23649	HF15__28789	HF15__33839	HF15__52767	HF15__60652	HF15__70868	HF15__71316	HF15__76543	HF15__95878	HF15__98070	HF16__6620	HF17__27221	HF17__44968	HF17__47016	HF17__4919	HF17__64840	HF17__69944	HF17__88284	HF17__97368	HF17__98019	HF18__23394	HF18__41039	HF18__52113	HF18__72486	HF18__9037	HF19__29715	HF19__33673	HF1__43792	HF1__62401	HF1__8061	HF20__20461	HF20__49479	HF20__70910	HF20__76362	HF20__84234	HF20__89283	HF20__96343	HF21__1175	HF21__26254	HF21__58800	HF21__65724	HF21__77752	HF21__86021	HF22__23939	HF22__27217	HF22__28345	HF22__4171	HF22__4444	HF22__47781	HF22__55212	HF22__58773	HF22__9251	HF22__9393	HF23__113010	HF23__137705	HF23__59393	HF23__62112	HF23__91718	HF24__11619	HF24__13775	HF24__23415	HF24__27126	HF24__27663	HF24__30087	HF24__36593	HF24__54761	HF25__16301	HF25__22246	HF25__37783	HF25__38815	HF25__45527	HF25__58385	HF25__67757	HF25__9948	HF26__20611	HF26__35432	HF26__53297	HF26__57565	HF26__66245	HF26__75293	HF26__86591	HF27__110837	HF27__122151	HF27__126317	HF27__129645	HF27__135661	HF27__136154	HF27__16447	HF27__21237	HF27__43896	HF27__54248	HF27__56268	HF27__66055	HF27__66822	HF27__6829	HF27__73342	HF27__93109	HF27__95281	HF27__96853	HF27__96921	HF28__108909	HF28__113997	HF28__18937	HF28__20549	HF28__26590	HF28__36007	HF28__3940	HF28__49359	HF28__54937	HF28__68916	HF28__8130	HF28__96305	HF29__17009	HF29__18092	HF29__22471	HF29__25426	HF29__26223	HF29__29169	HF29__30629	HF29__36428	HF29__45474	HF2__102754	HF2__12811	HF2__25841	HF2__51597	HF2__58371	HF2__59682	HF2__75408	HF2__76655	HF30__18734	HF30__23335	HF30__24408	HF30__6534	HF31__11714	HF31__14873	HF31__29166	HF31__50121	HF31__58090	HF31__6557	HF31__68426	HF31__71275	HF31__77407	HF31__86339	HF32__21499	HF32__25045	HF32__28561	HF32__28961	HF32__33212	HF32__36633	HF32__38809	HF32__40475	HF32__41880	HF32__8300	HF33__1134	HF33__12680	HF33__24285	HF33__33756	HF33__34455	HF33__41577	HF33__48893	HF34__110398	HF34__111609	HF34__28473	HF34__53010	HF34__76872	HF34__93894	HF34__9812	HF35__39170	HF35__45179	HF35__50821	HF36__13316	HF36__16816	HF36__29836	HF36__34711	HF36__35406	HF36__8360	HF36__9366	HF37__10748	HF37__17384	HF37__19724	HF37__20036	HF37__21884	HF37__26086	HF37__32760	HF37__37838	HF37__41716	HF37__44609	HF37__48101	HF37__48934	HF37__53203	HF37__59997	HF37__8889	HF38__1166	HF38__1319	HF38__2035	HF38__2107	HF38__2841	HF38__3530	HF38__3783	HF38__3918	HF38__764	HF39__43115	HF39__52133	HF39__71367	HF39__74434	HF39__7474	HF39__7688	HF3__1499	HF3__27690	HF3__3740	HF3__41422	HF3__84953	HF3__87587	HF40__21497	HF40__21762	HF40__7199	HF41__2046	HF41__28666	HF41__37101	HF41__51360	HF41__74840	HF41__87646	HF42__11805	HF42__14252	HF42__1798	HF42__18722	HF42__2908	HF42__29452	HF42__34081	HF42__3868	HF43__11250	HF43__35352	HF43__64292	HF44__31858	HF44__38219	HF44__447	HF44__54175	HF44__56871	HF44__62943	HF44__76344	HF44__77351	HF44__8255	HF44__90369	HF45__24030	HF46__38081	HF46__62517	HF46__66608	HF46__73109	HF46__76516	HF46__86560	HF46__87444	HF47__106275	HF47__17258	HF47__2955	HF47__31061	HF47__47881	HF47__57688	HF47__61033	HF47__62543	HF47__67473	HF47__85821	HF47__87354	HF48__110477	HF48__125345	HF48__19575	HF48__24934	HF48__2738	HF48__28715	HF48__31437	HF48__34636	HF48__39340	HF48__5867	HF48__69653	HF48__96177	HF4__21940	HF4__34256	HF4__52745	HF5__10585	HF5__20927	HF5__31772	HF5__45964	HF5__54476	HF5__67155	HF5__86068	HF5__87494	HF6__109350	HF6__117396	HF6__20435	HF6__38619	HF6__8951	HF6__89710	HF6__98135	HF7__15357	HF7__1727	HF7__2453	HF7__26843	HF7__46258	HF7__5117	HF7__53524	HF7__74558	HF7__74943	HF8__1033	HF8__22253	HF8__41087	HF8__41178	HF8__43337	HF8__62928	HF8__7097	HF8__71591	HF8__87073	HF8__92732	HF9__14693	HF9__167	HF9__35736	HF9__8746	HF9__914	MI10__1204	MI10__12940	MI10__13245	MI10__14267	MI10__15625	MI10__17656	MI10__22036	MI10__24698	MI10__40910	MI10__42279	MI10__42612	MI10__9832	MI11__12837	MI11__132319	MI11__142314	MI11__16799	MI11__39458	MI11__51659	MI11__71200	MI12__102609	MI12__118999	MI12__31451	MI12__3582	MI12__37271	MI12__37923	MI12__53472	MI12__68047	MI12__69509	MI12__94881	MI13__101934	MI13__104907	MI13__108308	MI13__16744	MI13__26427	MI13__31692	MI13__56433	MI13__58180	MI13__59930	MI13__65253	MI13__69550	MI13__69866	MI13__75706	MI13__85983	MI13__95168	MI13__9609	MI14__110725	MI14__129161	MI14__131753	MI14__13390	MI14__138309	MI14__143396	MI14__35654	MI14__38930	MI15__11243	MI15__11953	MI15__5607	MI15__6069	MI15__8666	MI16__52998	MI17__24903	MI17__25165	MI17__2979	MI18__16344	MI18__91498	MI19__11598	MI19__11846	MI19__1736	MI19__17469	MI19__1865	MI19__19045	MI19__21527	MI19__30717	MI19__32516	MI19__32825	MI19__35958	MI19__39442	MI19__40101	MI19__40237	MI19__49351	MI19__60591	MI19__63245	MI19__6784	MI19__68227	MI1__101820	MI1__23302	MI1__25368	MI1__57629	MI1__62688	MI20__15978	MI20__21221	MI20__33718	MI20__38716	MI20__41529	MI20__60593	MI21__123211	MI21__38893	MI22__11104	MI22__69577	MI22__71321	MI22__85980	MI22__8804	MI23__20757	MI23__9193	MI23__9944	MI24__103762	MI24__14920	MI24__26565	MI24__42346	MI24__64354	MI24__67959	MI24__69510	MI24__7411	MI24__848	MI25__10356	MI25__13783	MI25__15313	MI25__20316	MI25__21430	MI25__24902	MI25__39781	MI25__71463	MI26__13253	MI26__47760	MI26__53721	MI26__5653	MI26__58003	MI26__61551	MI27__65740	MI28__20275	MI28__21607	MI28__26402	MI28__30244	MI28__33700	MI28__33781	MI28__42321	MI28__47489	MI29__2629	MI29__42099	MI29__48886	MI29__59128	MI2__109698	MI2__129799	MI2__3363	MI2__34344	MI2__35045	MI2__4490	MI2__53736	MI2__57969	MI2__6485	MI2__65281	MI2__69122	MI2__81543	MI2__95203	MI30__2851	MI31__18917	MI31__29812	MI31__34956	MI31__43912	MI31__52331	MI31__52782	MI31__52924	MI31__55238	MI31__58669	MI31__9495	MI32__26776	MI32__28772	MI32__36947	MI32__39826	MI32__49829	MI32__57425	MI32__65040	MI33__123531	MI33__21006	MI33__2996	MI33__30110	MI33__6501	MI33__66706	MI33__79775	MI34__10048	MI34__16637	MI34__17728	MI34__39124	MI34__47956	MI34__49743	MI34__6386	MI35__108679	MI35__115185	MI35__13482	MI35__1404	MI35__20089	MI35__2454	MI35__26089	MI35__28676	MI35__29590	MI35__40814	MI35__60778	MI35__61771	MI35__6781	MI35__81629	MI35__84518	MI35__84728	MI35__85349	MI35__88712	MI36__12288	MI36__14703	MI36__18817	MI36__20020	MI36__21069	MI36__34923	MI36__41237	MI36__44395	MI36__45559	MI36__45740	MI36__46985	MI36__51170	MI36__53481	MI36__6042	MI36__686	MI37__11917	MI37__17004	MI37__39368	MI37__39745	MI37__50209	MI37__56280	MI37__60075	MI37__66864	MI37__68836	MI37__8235	MI37__9456	MI38__11374	MI38__20058	MI38__37503	MI38__43226	MI38__47575	MI38__47752	MI38__49259	MI38__4929	MI38__496	MI38__51007	MI38__55378	MI38__60402	MI38__60752	MI38__73232	MI38__75658	MI3__104779	MI3__17190	MI3__20253	MI3__34613	MI3__38516	MI3__4232	MI4__24113	MI4__43785	MI4__55228	MI4__58394	MI4__72091	MI5__118538	MI5__13031	MI5__143232	MI5__149159	MI5__160719	MI5__178863	MI5__179522	MI5__188479	MI5__190962	MI5__200021	MI5__210119	MI5__212596	MI5__32460	MI6__14551	MI6__31064	MI6__52258	MI6__57317	MI6__79110	MI7__1225	MI7__17904	MI7__19218	MI7__20294	MI7__39477	MI7__7995	MI7__9928	MI8__102292	MI8__108986	MI8__109319	MI8__111480	MI8__113688	MI8__118282	MI8__119713	MI8__124190	MI8__130855	MI8__137721	MI8__139920	MI8__156484	MI8__163299	MI8__33362	MI8__38973	MI8__68341	MI8__75762	MI8__85262	MI9__10807	MI9__26769	MI9__42702	MI9__4666	MI9__51614	MI9__67372	MI9__68769	MI9__7017	MI9__75405	MI9__92292
MI35	2	537	330	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	5806	0	97	60	0	13	0	0	0	0	0	0	0	0	90	0	0	0	52	0	0	20	0	0	38	0	0	4	8	11	1	0	127	0	2	4	848	0	59	0	0	0	297	0	38	76	0	5	2869	0	0	0	0	2	0	0	2	1	1588	0	0	0	0	1	0	85	1391	216	10	17	0	19	0	307	8	0	0	16	11	0	0	0	0	37	0	0	43	44	68	0	0	25	227	1	1	0	24	417	13	0	602	0	7	0	164	796	0	0	0	30	0	0	0	0	0	0	0	0	9848	11	66	412	145	1485	6	154	711	0	0	9	0	681	52	13	0	22	66	86	0	778	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	77	0	13	0	0	0	0	0	0	0	0	2	0	44	29	0	0	0	0	0	10	457	0	47	194	30	56	824	4	0	0	44	54	0	0	0	552	0	10	53	798	0	0	0	0	0	4	45	1266	0	23	0	0	3	159	0	10	66	0	14	0	0	0	14	0	65	0	17	0	0	0	363	27	156	21	52	260	82	3	571	0	3	402	38	2	0	823	232	469	572	4671	21	167	341	169	248	188	14	7	139	310	0	0	462	78	359	496	12	120	0	293	55	0	376	793	0	1172	190	782	39	54	2654	0	1551	667	0	0	83	21	0	4	0	0	22	156	3547	200	20	0	0	44	0	24	18	700	36	9	11734	21	264	2	350	0	79	0	0	0	0	6	29	0	108	313	79	10	0	0	704	5	378	718	0	0	145	0	368	1	0	0	0	0	0	0	2	475	1	0	0	678	0	950	0	0	52	0	1454	0	589	240	0	0	0	2912	0	0	0	0	0	0	18	38	12	22	467	7736	540	6	0	54	544	3	645	3	4	146	0	0	10	121	19	0	27	0	0	596	0	0	0	0	0	189	14	1537	4301	0	301	0	2449	299	278	143	59	0	3368	29	21	328	12	7	0	0	8	2466	0	0	0	152	0	0	11	4	268	205	0	6851	0	697	64	6	0	1	0	0	4	0	0	0	0	1497	225	6	80	16	0	301	0	0	20	0	0	2280	465	0	9	28	0	133	2	91	4125	58	99	0	0	0	46	0	0	0	0	51	195	502	111	118	2	2	2161	4	382	13	0	1	17	823	343	0	0	0	9	4	10	44	120	775	0	277	0	0	67	188	42	14	3459	22	44	0	60	88	2115	6119	178	0	4409	0	0	6872	0	63	0	0	0	20	990	138	0	4	0	737	0	0	57	0	0	6	0	0	176	124	3611	424	3	28	15	33	12	25	0	1670	0	659	0	33	23	4	33	6	0	9	7338	13	0	9	37	0	5	5	3473	0	14	487	5161	1	30	2	0	407	0	0	2	0	0	159	10096	47	1301	0	27	2	1642	0	1140	4	0	84	345	0	14	217	0	0	1430	188	1577	0	21	0	0	0	0	0	230	1031	12	0	0	46	3	4573	18	0	0	1	2	1985	0	0	760	0	1181	2	256	546	26	0	5	9	37	40	48	0	3423	45	1067	0	908	269	115	0	107	0	2821	0	3930	0	2884	6	91	0	0	0	0	102	117	0	0	9	0	2063	1503	0	580	14	13	336	0	0	51	49	0	227	360	191	2	0	2	3900	369	0	242	589	132	1	14	250	0	0	0	67	0	0	740	11215	169	4	870	0	257	1503	423	18	0	819	1	0	10	53	292	0	0	0	91	1567	0	58	807	832	26	234	836	22	309	136	367	32	0	3	0	736	730	1177	11268	1127	1231	651	4025	2209	352	505	6992	2957	3448	708	392	380	972	20	159	0	30	0	0	2	0	0	183	0	113	0	14	8	1524	6417	0	659	1	0	0	3251	322	0	147	1096	0	23	30	746	31	44	1554	0	170	3	221	144	27	0	0	80	200	21	0	8	628	0	17	657	84	0	0	656	31	1910	789	331	0	6	184	0	1259	0	94	0	0	13	1047	504	0	1	1671	59	169	207	7	8	2	2	218	171	70	145	252	36	2	779	843	445	0	281	5	0	10	4	2	102	0	112	1	7	1814	2
MI33	5	1281	246	0	0	0	2	0	0	0	0	123	12	36	1	15	65	100	23	30	32	10	10	0	0	1607	0	0	0	582	0	74	1	0	282	100	125	0	11	6	5	0	10	133	0	24	0	38	0	0	258	0	0	24	0	1	52	499	47	2	155	332	0	89	139	136	85	0	0	0	0	10	17	8	54	3	2	144	0	0	22	19	87	2	34	15	0	244	436	0	2	34	31	0	68	721	6	12	0	21	6	0	150	0	0	12	0	185	14	71	2	0	16	0	0	2	6	87	0	0	78	0	0	0	0	2	166	0	0	168	0	6	0	38	94	0	0	16	19	0	18	1	3	24	25	386	0	6967	4	90	905	113	456	0	0	242	5	81	8	10	951	213	61	0	0	102	62	0	0	0	0	6	169	11	0	0	1	0	2	0	0	21	48	4	22	81	13	18	39	0	8	38	0	10	0	1	0	5	0	0	0	0	0	32	6	131	0	0	274	245	51	467	20	0	40	0	4	47	0	0	163	0	15	51	860	13	0	0	0	0	0	4	863	0	0	0	0	9	37	0	0	0	0	2	0	0	71	37	145	24	31	9	0	0	0	382	102	11	16	294	791	107	0	593	0	0	119	185	4	22	477	32	593	165	15	8	172	477	56	8	199	362	50	236	160	747	0	0	2	0	2336	336	864	109	123	154	0	357	283	1136	901	2111	6270	38	151	72	0	1411	145	0	0	125	198	24	46	12	18	8	67	306	2064	217	77	10	354	4	32	0	292	0	4	11411	3	516	2	814	0	59	2	0	0	23	0	31	0	0	161	35	51	403	0	3136	226	13	155	0	0	30	0	513	0	0	21	0	0	0	0	0	1172	14	3	70	259	0	578	0	1	4	0	2172	17	51	57	0	2	0	871	22	0	7	0	0	0	0	0	10	49	105	2701	206	279	9	611	434	275	104	455	42	656	1184	0	7	569	295	0	0	0	19	193	0	142	11	1	115	132	265	1024	3310	0	19	0	3786	22	1169	100	80	2	1166	154	56	179	13	175	106	0	10	215	4	0	1140	9	2	2	14	0	33	128	186	353	0	383	48	0	7	0	6	0	6	11	5	0	0	1528	97	8	711	12	0	128	1473	0	482	2	0	717	114	0	229	312	857	166	0	7	1124	116	488	2	0	0	1652	2	0	0	0	0	45	610	3	166	18	0	1017	50	646	10	39	60	0	527	529	0	0	0	8	20	44	114	238	1735	195	182	173	0	105	22	18	78	267	111	39	6	109	27	25	0	23	0	2512	0	87	0	108	0	0	2	16	262	0	266	19	3	0	334	0	0	3	1	0	94	3	0	170	11	2856	266	156	0	0	79	14	97	4	655	2	175	0	0	0	0	0	7	0	2	3147	198	0	34	1	0	6	1	3628	0	0	489	2144	20	0	0	0	32	13	0	0	179	8	730	245	19	683	0	10	21	1261	0	883	16	0	0	12	0	169	323	0	0	2409	222	962	0	33	10	8	0	0	0	39	669	57	3	473	8	111	669	0	0	0	0	0	229	0	0	2	0	493	0	51	0	0	0	0	50	2873	5174	14	6	73	1	562	0	304	50	89	1747	297	0	2317	2	178	0	484	44	23	2	147	0	0	1	0	434	0	234	0	770	62	0	579	0	108	238	4	4	29	0	0	1133	346	317	70	0	0	457	595	0	59	68	55	287	0	122	0	0	2	0	0	207	99	1251	202	4	622	34	0	302	42	40	0	851	11	0	9	6	175	0	3	0	82	2777	1	24819	1383	1281	357	3937	1079	521	222	39	529	0	0	336	0	533	460	129	690	13	40	11	812	0	49	312	418	284	24	0	40	0	6	702	315	27	2	17	0	0	54	20	1108	0	0	0	0	1	319	2640	0	8	0	0	0	457	878	0	0	465	16	30	338	2001	0	28	98	0	67	0	30	136	64	38	0	6258	30	0	0	175	45	0	7	673	117	142	116	1298	87	7488	123	238	0	26	151	57	1135	0	42	3	0	0	689	1062	1	1	3029	15	68	395	0	0	254	8	75	531	31	13	2	277	28	172	338	327	0	111	13	0	175	27	7	76	38	169	0	0	731	134
MI32	1137	87	214	10	0	0	0	0	0	0	0	0	0	5	0	8	1	17	1	0	1	0	0	0	0	418	0	0	0	982	0	3280	9	0	0	0	24	0	0	0	0	0	15	350	0	0	0	79	0	0	0	0	0	143	2	2	0	50	26	0	85	92	0	0	34	1418	0	0	0	0	0	0	0	0	120	0	1	31	0	0	0	0	242	5	2	4	0	1411	213	0	0	0	35	6	106	1186	0	290	0	71	0	10	200	11	0	0	13	7	2	6	16	0	8	0	4	96	85	520	0	0	0	2	0	1	0	12	47	1	10	29	0	0	0	25	324	0	0	2	19	0	7	0	0	2	0	0	0	0	21	58	210	501	1454	0	0	14	0	0	2	0	276	12	2	0	0	0	2716	0	0	0	0	6	0	1	0	0	4	0	0	0	0	0	100	0	70	0	0	0	83	0	0	1	0	0	4	11	0	35	45	0	13	0	0	0	0	197	0	1	897	7	2	916	33	0	17	0	0	0	0	0	871	0	122	429	1319	16	0	0	0	27	2	2	518	7	0	0	0	0	289	8	0	299	0	15	0	0	0	291	0	79	0	0	0	0	0	347	43	494	470	354	1023	43	0	698	0	0	12	217	0	0	289	224	334	3933	841	0	430	196	157	0	2	66	19	456	753	0	0	0	222	0	0	136	183	37	450	614	0	24	863	0	5928	621	175	1234	0	1037	0	0	111	0	0	38	47	20	0	0	0	413	420	75	1747	117	11	2	11	0	0	33	137	0	0	8312	0	282	26	533	0	29	58	0	0	0	0	49	0	0	48	167	44	192	0	226	0	11	35	0	0	64	0	727	0	0	0	3	0	0	0	0	739	33	0	2	28	0	2261	0	0	275	3	1059	0	327	7	0	36	0	2767	20	0	5	0	0	1	367	0	205	45	282	3560	337	12	566	349	498	32	904	12	32	60	55	0	255	139	314	0	24	6	1	323	0	67	0	0	4	145	0	838	1817	1	36	0	1079	15	24	850	0	27	94	34	5	936	2	338	1	0	25	1943	150	3	0	808	2	0	25	0	57	1510	0	1	0	948	8	0	0	0	3	0	0	0	0	0	0	23	1	296	0	0	1	135	0	0	0	0	0	1835	417	0	125	0	413	132	0	30	4432	275	327	0	0	2	482	81	0	0	0	162	94	471	1	74	0	0	634	1	460	93	314	0	0	319	25	0	0	0	41	0	10	0	480	128	50	378	15	0	13	0	7	0	0	118	62	0	717	1	0	23	0	0	1827	0	7	20	0	0	0	0	0	240	0	17	0	17	0	267	23	6	97	0	42	21	25	532	7	0	4122	60	11	0	0	115	26	951	0	6383	6	216	1	12	0	6	12	72	0	55	59	71	0	8	1	0	2	0	29	0	0	701	88	0	0	0	0	256	0	0	0	15	4	505	0	19	2240	282	116	186	3801	0	951	476	0	0	342	6	574	968	0	0	43	112	1881	0	0	0	0	0	0	0	167	1131	61	0	0	0	143	232	4	0	44	0	20	3280	0	0	426	0	426	0	25	0	4	28	0	15	212	0	46	0	3457	285	191	0	396	790	1621	0	408	0	36	0	3	40	5425	137	24	1	0	0	0	28	0	0	0	51	0	1450	140	0	643	331	32	277	1	2	32	11	8	1807	196	1980	0	0	0	49	641	0	438	70	171	406	0	631	0	190	18	0	0	28	285	76	106	8	964	16	0	291	70	44	27	13963	56	11	280	284	2843	755	8441	2607	551	23869	1215	0	537	100	105	2	16	2	1990	2623	1243	1	108	32	0	150	256	718	169	81	0	0	734	263	28	960	0	326	41	116	29	0	0	2	484	15	173	0	0	8	0	0	1268	0	161	123	69	39	286	899	0	108	2	0	0	77	470	0	35	496	0	0	101	53	5	0	199	0	608	0	5	0	7	854	0	289	25	0	0	318	8709	20	8	1716	369	0	8	561	9	2449	137	1825	0	45	587	0	756	0	32	0	0	0	5574	123	0	115	2844	0	396	277	161	0	37	19	602	946	519	462	1698	230	0	202	455	144	736	282	5	0	30	0	4	50	25	168	4	5	1656	47
MI38	2	3751	986	0	0	0	0	0	0	0	0	0	0	0	0	2	24	60	0	0	0	0	0	47	18	1575	0	0	18	40	0	121	0	0	15	0	1	0	0	0	0	0	0	67	0	0	0	11	0	0	127	0	0	0	0	0	0	672	0	0	256	32	0	0	2	100	0	0	0	0	0	42	0	0	12	0	0	78	0	0	0	0	44	0	0	0	19	375	880	0	0	0	0	0	556	1147	291	0	0	0	4	20	75	0	0	0	10	20	0	0	16	0	175	0	0	30	16	480	104	0	0	9	0	0	0	9	56	4	0	44	2	4	0	13	150	0	0	4	0	0	0	0	0	2	0	0	3	108	2	92	1383	12	204	0	0	14	0	0	0	8	202	432	0	0	0	0	233	0	0	0	7	0	0	16	0	0	0	0	1	0	0	0	0	0	5	0	9	0	92	0	0	0	0	0	0	0	2	1	6	0	7	0	0	0	0	46	1352	2	250	267	0	188	90	0	0	0	12	0	0	0	1179	0	97	276	113	0	0	0	0	2	0	0	639	0	10	0	2	0	14	0	0	24	0	13	0	0	0	4	0	1	0	14	0	1	0	243	17	140	19	864	98	19	0	84	0	0	169	11	33	4	363	16	122	151	950	10	66	78	175	252	8	0	621	41	244	0	0	0	0	6	2	0	84	49	176	865	0	256	169	0	1167	293	260	314	291	1799	0	34	522	0	2	241	0	0	0	0	0	160	33	584	19	90	0	0	415	0	1	0	795	0	15	6751	0	219	0	54	0	90	148	0	0	1	0	15	2	1	33	1475	0	1627	0	1369	231	5	810	0	0	57	8	168	0	0	0	0	0	0	0	1	2484	0	5	0	1798	0	698	0	6	0	0	662	91	32	31	7	0	0	811	0	0	0	2	0	10	0	0	0	15	12	3532	171	1	0	887	86	28	3	1	12	118	1587	0	15	17	322	0	2	0	17	44	0	0	0	0	4	28	12	227	2594	53	256	75	2185	554	41	686	0	2	36	57	17	1573	0	746	1815	0	4	23	0	0	0	70	0	0	1	0	0	231	0	29	0	175	4	0	0	0	2	0	0	0	0	0	0	244	46	291	89	0	57	16	0	0	12	0	0	610	447	3	701	15	4	95	0	7	2486	40	155	0	0	10	330	0	0	0	0	4	28	18	70	57	0	17	599	0	33	1	0	0	80	316	297	0	3	0	257	4	2	0	150	1344	0	347	140	47	3	311	12	4	47	33	30	0	603	12	0	0	0	0	1325	0	2	0	0	0	0	0	0	10	14	55	0	35	0	211	0	0	108	3	0	38	0	0	190	46	1240	196	2	0	7	4	0	2435	0	1264	0	73	0	116	9	0	2	204	1	4	579	16	0	0	5	6	0	0	33	90	0	194	58	0	0	0	0	701	0	0	14	0	28	10	75	1	30	10	0	0	694	0	171	18	1	0	10	0	2	972	5	0	75	150	156	0	26	0	0	0	0	0	56	95	136	0	0	0	208	1359	3	0	3	0	0	85	2	0	0	0	254	0	267	734	0	0	6	0	85	18	10	0	404	24	330	0	258	77	70	0	852	0	805	0	24	0	60	7	50	5	0	2	0	10	0	0	0	0	290	143	207	0	154	0	0	225	18	0	84	0	0	4548	193	137	183	0	6	299	70	0	48	12	160	0	0	94	0	180	11	0	16	10	120	260	453	10	273	0	0	186	2	393	0	1009	5	2	190	0	37	0	594	0	18	2343	0	0	96	733	23	288	271	28	90	0	96	0	0	99	0	195	46	201	34	0	64	2	69	18	9	2761	0	179	4	25	127	2	9	25	544	0	397	0	18	0	0	0	2	0	19	0	0	4	47	2441	0	37	0	0	0	560	144	0	9	1181	612	1052	2329	17788	379	1075	586	999	778	931	957	684	448	2999	42	50	0	0	0	152	787	0	0	183	466	2	0	631	59	2387	18	0	33	14	31	0	1105	0	0	213	0	134	28	874	3	715	1434	364	75	593	220	22	351	22	4	357	19	167	28	281	161	11	256	137	3	17	0	0	0	0	1	4	4	31	0	5	356	495
