feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Siphoviridae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON10	0.54546010909202	0.0345600069120012	0.146280029256006	0	0.0081000016200003	38.3107576621515	0.976090195218037	17.1935434387087	0	0.0996200199240038	0	0	8.68767173753433	0	0.0215100043020008	1.57521031504206	0.0740700148140028	0	8.81253176250633	10.5971021194204	0.455280091056018	135.390807078161	0	2.6190005238001	0.114690022938004	0.483630096726018	0.024480004896001	0	0.00258000051600009	0	0.163590032718006	0.232920046584009	0.00987000197400039	4.91619098323818	51.972490394498	0	0	5.82120116424021	0.0186000037200007	0	1.21536024307205	0
CON11	0.398579960142003	0.0106399989360001	0	0	0	91.6023808397618	0.0849399915060008	82.5094417490557	0	0.0746099925390006	0	0	12.4865987513401	0	0	1.83212981678702	0.0202499979750002	0	0.0921599907840009	7.50893924910605	1.02587989741201	66.4106633589336	0.0129699987030001	0	0	1.36058986394101	0.0513599948640003	0	0	0	0.746789925321006	0	0	0.689519931048005	27.0991172900883	0	0	0.0493799950620004	0	0	3.04016969598303	0
CON12	0	0.0358499856600057	0	0	0	0.118889952444019	0	263.291204683518	0	0.0544199782320084	0	0	0.732279707088116	0	0	0	0.0185699925720029	0	0.031769987292005	0	0	0.809969676012128	23.1472507410997	0	0	0	0	0	0	0	0	5.34923786030484	0	0	0.00524999790000081	0	0	3.79637848144859	0	0.00221999911200035	0.0583199766720093	0.0514999794000082
CON13	1.50290045087013	0.0730500219150063	3.24300097290027	0.100420030126009	0.0249800074940022	19.7777359333207	2.81942084582625	41.0811423243426	0.0779400233820069	2.04856061456818	0	0.00407000122100036	37.0356711107013	0.00177000053100015	0.0939000281700084	3.64812109443632	13.4619440385832	0.0123200036960011	0.553010165903049	6.55326196597857	1.41180042354013	100.480120144036	0.328680098604028	0.109280032784009	0	0.781380234414068	0.33741010122303	0	0	0	0.0553200165960048	4.37499131249739	0.831240249372072	15.3682546104764	35.4029506208851	0.0520800156240045	0.0104800031440009	2.54356076306822	0.046440013932004	0.300840090252026	2.37717071315121	0.00536000160800047
CON14	0	0.00710999857800025	0	0	0	85.0819329836133	0	105.194638961072	0	0.226219954756008	0.00488999902200018	0	0	0	0.00923999815200036	1.33811973237605	0.439029912194016	0.499599900080018	0.447629910474015	0	0	23.7032752593449	25.847194830561	0	0.0418499916300015	0	0	0	0	0	0.299519940096012	0	0.0365399926920012	0	7.66937846612428	0	0.160399967920006	10.6879378624124	2.20757955848409	0	0.852869829426033	3.96068920786215
CON15	0.38493	0	0	0	0.02556	44.6953999999998	0	10.27656	0	0.977189999999998	0	0	1.21947	0	0	1.56081	0	0	0.725639999999997	5.40455999999997	0.366809999999997	98.7978899999996	0	0	0.00875999999999997	0.478109999999997	0	0	0	0	2.78037	0	0	7.56350999999997	117.82353	0	0.00701999999999998	0.488909999999999	0.07068	0	6.18029999999999	0
CON16	0.319980063996012	0.0298100059620011	0	0	0.0318300063660012	1.65306033061206	0.00399000079800015	65.5135631027124	0	0.141160028232005	0	0	88.7157677431533	0	0.00732000146400027	2.6688905337781	5.80752116150422	0.26163005232601	0.0310200062040012	20.6755941351188	0.0154000030800006	91.7482283496454	0	0	0	0.100050020010004	0	0	0	0.00051000010200002	0	3.45719069143813	0	3.77616075523215	3.00294060058811	0	1.98383039676607	1.32923026584605	0.0283200056640011	0.00892000178400034	0.177390035478007	0.0137100027420005
CON17	0	0.045959986212004	2.11442936567119	0	0	4.52972864108139	0	63.1553210534036	0	2.60229921931023	0.0126599962020011	0	19.4509441647167	0	0	1.05119968464009	20.9882937035119	0.143139957058013	2.05503938348819	11.430356570893	0.163859950842015	46.1009961697011	0	0	0	0	0	0	0	0	3.3809689857093	0	0	0	120.754743773577	0	0.00749999775000066	0.618989814303055	0.0296699910990027	0	0	0.148099955570013
CON18	0.0768600076860006	0.0526200052620003	0.00618000061800006	0	0	3.43929034392903	1.01948010194801	89.0014889001486	0.0138300013830001	0.0684300068430006	0	0.00156000015600001	22.6458622645862	0	0	2.22789022278902	5.94726059472603	0	0.559820055982004	9.52923095292309	0.970150097015009	97.9163797916378	10.6472910647291	0	0	0.444840044484003	0.895830089583006	0	0.0549900054990003	0	0.0843900084390007	22.0604722060472	0.0692700069270006	1.12290011229001	14.8029314802931	0	0.0328100032810003	1.12065011206501	0.0660900066090006	0	2.60277026027702	0.0730600073060006
CON19	0.01068	0.15749	0	0.00546	0	1.82421	0	175.66494	0	0.12178	0	0	0	0.03978	0.00609	1.12932	2.78634	0	1.43959	5.53648	0	65.846	0.0038	0	0.00033	0	0	0	0.04545	0	0.20208	0	0.13191	0.00906	39.15711	0	0.16573	2.11632	0	0	0.27123	1.09629
CON20	0	0.367469963253003	0	0	0	107.496289250371	0	21.7412378258762	0	0	0	0.0952499904750009	0	0.002369999763	0	7.80002921999706	25.0031074996892	30.2827869717212	2.20823977917602	0	0	33.8189666181033	8.24157917584207	2.28266977173302	0.122369987763001	0.001769999823	0	0	0	0	0.363609963639003	0	0	3.97838960216103	20.5135479486452	0	0.179379982062002	3.79577962042203	0	0	1.23410987658901	0.264489973551002
