feature	Ackermannviridae	Aliceevansviridae	Allomimiviridae	Autographiviridae	Casjensviridae	Chaseviridae	Crevaviridae	Demerecviridae	Draupnirviridae	Drexlerviridae	Epsomviridae	Felixviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Inoviridae	Intestiviridae	Konodaiviridae	Kyanoviridae	Lakviridae	Mesyanzhinovviridae	Microviridae	Mimiviridae	Orlajensenviridae	Peduoviridae	Phycodnaviridae	Rountreeviridae	Salasmaviridae	Schitoviridae	Speroviridae	Steigviridae	Straboviridae	Suoliviridae	Toyamaviridae	Unclassified	Vilmaviridae	Zierdtviridae
MI6	4494.0028	2365.3438	10.7127	1.8336	2513.3502	4574.3052	0.5075	4317.2675	0	279.6106	341.1278	0	0.3972	0	9001.5928	55.4436	0	4742.4131	1052.7941	360.2302	1345.7333	7.5159	1373.6172	3002.1848	15056.9925	1532.0618	7.1979	9865.8188	1945.3137	0	236.051	13004.215	0	694.9681	10583.9389	67.7605	1907.9335
MI7	7078.0217	569.4882	313.789	4.5351	3146.6738	1984.652	0	144.0039	0	4945.5669	2518.2698	0	0.7997	0	4349.8903	15.9374	4321.4886	692.7552	1261.864	1596.0389	737.8806	32.4622	1311.9227	165.4612	47815.8688	228.0494	0	5390.9718	944.8016	0	3043.1878	14731.1948	0	65.693	18195.5667	779.2546	1054.9919
MI8	6807.0723	2066.8862	22.3498	1547.1452	2802.2082	3928.5553	2.1703	519.6691	223.0537	944.094	1721.7421	0	375.5756	0	3493.086	181.7423	146.9067	405.5906	4768.7046	852.3704	1359.5833	9.5329	2616.6504	282.816	15245.4649	1756.9035	3.4053	6536.2133	3071.341	8.3637	0.7697	14972.0538	1.1072	392.4768	11505.2567	121.9054	835.1482
MI9	4455.5567	1515.3267	87.0321	316.8965	7659.6374	2644.1375	5906.2809	1603.317	0	15223.1356	618.2077	0	0.1812	0	4871.1176	8.2489	4708.2442	4815.3663	988.5359	448.8773	701.3107	3.7308	1652.2787	697.6258	77728.8854	1716.0361	1.037	3472.8366	638.6468	0	9.158	13681.8681	0	21.3819	33732.4536	44.7708	1348.3142
MI10	5160.4136	3383.482	36.6138	16.1683	3547.811	2712.9542	0	1634.8683	1.0228	4251.6019	3571.5892	0.078	31.7806	0	8392.7599	981.6203	0	0	1096.5652	315.9938	3669.4289	0	2079.1103	1325.1821	26663.48	556.3755	8.0883	4967.1704	70.5119	0	0	22386.0016	0	0	36850.6898	85.2732	102.1873
MI11	9460.4434	2421.3959	23.242	1.1773	6643.7029	7014.7552	2390.8111	734.7309	0	909.0032	353.6547	0	121.9402	3.2604	5853.195	22.5038	4224.9425	83.3236	2918.5037	438.9988	1195.1207	4.852	1043.1104	545.4564	15862.4297	1603.6554	2.1483	5725.3003	550.1297	0	82.2852	18858.6732	165.406	50.1674	14517.1258	91.4438	961.6761
MI12	8111.0728	1092.1468	2.5246	0.5045	5769.8401	4786.9618	24832.0256	839.6336	12.6103	1048.6252	601.6041	0.1109	47.4221	1.8626	3719.3537	44.608	0	15.3392	2354.8192	402.8087	501.1176	93.7123	983.4192	1687.3689	9534.7641	567.3433	0.1737	107180.5948	2493.2245	12.828	92814.8914	22490.2166	13156.7502	7.082	10030.8616	3948.0241	336.2546
MI13	4459.1893	1385.0305	7.4285	188.172	3430.4879	2251.4458	825.3185	388.6696	0	10867.4523	977.0821	0	0	0	4053.7348	464.0724	160.8055	182.5789	1418.162	464.1467	590.1161	13.6402	1473.4164	713.2703	51940.9879	809.8914	1.5667	5435.0723	767.1671	0	0	11178.8043	1077.2379	53.7357	24332.8001	133.48	917.3406
CON1	5722.3335	751.6976	7.9656	10.8547	4659.5389	4247.3087	46.6963	1641.3584	0	2152.958	110.3462	0.076	7.2456	0	3425.729	27.8278	128.7173	125.4249	2963.6987	332.2716	742.07	4.182	835.8389	916.7009	22458.9538	1497.0469	2.6869	8158.2142	361.9048	0	0	17762.846	70.7919	6.4463	15105.4887	55.1158	1997.3432
CON2	3217.1443	1069.2992	0.5803	68.4566	2154.3315	2297.358	620.7636	6189.2491	0	1571.2023	364.5867	0	1198.0783	0.9949	3451.4815	6.164	0	50.4828	1605.8104	211.9703	293.3585	4.4225	610.8397	31287.6473	36048.1582	450.3047	0	3966.5019	380.7861	0.9137	0	9981.5716	457.9257	39.68	10403.2296	1580.8951	254.2473
