feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Cryptomonadaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
MI21	567	5802	0	5673	6243	2187	1989	0	1398	1476	2127	0	549	399	2490	621	1737	7455	0	2379	0	5259	13527	1008	38412	150	525	822	462	1998
MI22	903	6246	0	10899	3504	2910	615	0	1194	354	6615	0	897	693	3036	2070	1914	7491	117	3054	282	5196	7764	0	26487	114	309	693	318	2289
MI23	1104	11226	261	20193	2676	5331	285	0	4884	0	7317	306	261	0	3885	3597	582	14271	0	4140	204	7647	12630	1014	30042	231	0	0	282	1785
MI24	1005	7953	0	12540	5739	4632	639	0	0	1068	5442	300	411	411	3693	1698	1443	10983	0	2145	0	8199	13827	0	49866	0	909	228	735	3246
MI25	597	4626	0	6909	2751	1683	186	0	984	363	3333	96	126	144	1131	2769	693	6261	117	1362	237	6018	12342	309	23643	372	189	429	246	2478
MI26	639	6201	0	15348	3423	4587	201	0	1059	969	5850	0	156	705	2277	3150	1245	10275	0	984	282	6483	16062	246	34281	192	756	345	969	1422
MI27	957	6933	0	11163	1854	3207	489	0	969	324	1677	0	1053	231	1158	1707	564	9591	0	3171	0	3495	9093	189	16248	0	363	303	153	1227
MI28	453	1365	0	3681	2070	777	93	0	819	753	1428	0	69	447	999	828	852	2484	147	1323	231	2250	9249	111	26775	123	315	759	387	1542
MI29	291	3648	0	2025	1257	858	1530	0	1536	249	1125	93	135	102	714	783	498	1965	0	2034	0	1458	10044	867	24375	0	66	309	330	1113
MI31	1476	2457	0	1512	708	843	180	0	1254	231	1485	0	99	234	564	1392	390	1749	153	840	558	1449	10062	0	24399	273	246	294	234	690
MI32	801	1614	0	2625	1749	726	240	225	1521	300	1854	0	93	408	858	687	753	2079	366	1935	822	1308	8307	333	26841	273	543	633	207	591
MI33	849	4314	0	7062	5097	2592	768	0	861	786	4287	117	312	405	2286	1263	1908	7041	111	1434	0	5715	7386	210	31713	270	273	498	363	2148
MI34	549	2226	90	2136	543	2193	78	273	2022	246	1899	96	72	1155	600	1734	297	2352	198	2055	219	957	8601	147	31647	315	69	168	201	2166
MI35	1437	1974	117	5556	2679	1677	201	0	2061	426	1923	99	153	123	981	498	780	4410	156	1284	276	4539	10683	171	30843	294	525	90	306	2328
MI36	489	1254	0	2322	1542	702	0	0	3051	573	1332	0	159	549	1014	2805	261	3075	183	1893	294	1374	22974	0	26106	0	369	507	99	735
MI37	855	3243	105	5808	4497	1398	222	0	822	159	2496	0	147	270	1644	1512	1368	6156	246	1437	366	3774	8883	0	33408	0	375	318	165	1842
MI38	456	4725	0	5826	2571	1839	90	0	1029	531	2616	81	399	0	936	1518	828	4638	192	1290	162	3909	6786	282	21186	72	387	363	183	1584
