Taxonomy,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae,0.000901756,0.012229711,0.001473822,0.001053792,0.001297553,0.003630976,0.008044375,0.001537763,0.002362251,0.001741534,0.002390229,0.002199484,0.002128594,0.002151409,0.001423157,0.002850032,0.002213336,0.00111802,0.003214584,0.000415842,0.002070611,0,0.00058518,0.001779213,0.001118737,0.001174545,0.000883515,0.006171089,0.001929401,0.002691912,0.001815591,0.002332801,0.000933078,0.001263818,0.002189003,0.002196934,0.001431553,0.002824263,0.003426003,0.001463297,0.001447931,0.001195144,0.00231119,0.001771433,0.001798729,0.001387479,0.00119913,0.001728313,0.001801585,0.001743044,0.000476788,0.001549651,0.003462489,0.003160278,0.001021759,0.001154342,0.00320095,0.001702682,0.001567113,0.000964251,0.001644477,0.00015103,0.000961363,0.002214455,0.000818848,0.00239515,0.001431415,0.002798271,0.004105861,0.004863801,0.003159057,0.001647642,0.00247862,0.001859312,0.001383459,0.001191477,0.000929547,0.00127732,0.002985646,0.000948381,0.001298565,0.001265335,0.002179556,0.00156917
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Cercospora,0.000338781,0.004762381,0.001121715,0.000799611,0.000508844,0.003168852,0,0.000678737,0,0.000831067,0.000975499,0,0.000917497,0.000824567,0.001055429,0,0.001181478,0.000584315,0,0.000415842,0.000769843,0,0,0.000922935,0.001118737,0.000279653,0.000672453,0.000856527,0.000733716,0.001063273,0.000495607,0.001103352,0.000541185,0,0.000848349,0.001054134,0.000553992,0.000821693,0,0.000738706,0.000413695,0.000256936,0.000921455,0.000735907,0,0.000366691,0.000419449,0.000838615,0.00120997,0.00080171,0.000259306,0.000640683,0.000778896,0.001282036,0.000681173,0.000699845,0.000568869,0.001141798,0.000198411,0.000528914,0.000895474,0.00015103,0.000456846,0.000974865,0.000465025,0.000388266,0.000356665,0.000997937,0.000811435,0.001615007,0.000826333,0.000699265,0.000280845,0.000621376,0.000540089,0.000545676,0.000627938,0.000317097,0.001445805,0.000284514,0.000802172,0.00070754,0.000743753,0.000834879
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Cercospora|s__Cercospora_beticola,0.000338781,0.004762381,0.001121715,0.000799611,0.000508844,0.003168852,0,0.000678737,0,0.000831067,0.000975499,0,0.000917497,0.000824567,0.001055429,0,0.001181478,0.000584315,0,0.000415842,0.000769843,0,0,0.000922935,0.001118737,0.000279653,0.000672453,0.000856527,0.000733716,0.001063273,0.000495607,0.001103352,0.000541185,0,0.000848349,0.001054134,0.000553992,0.000821693,0,0.000738706,0.000413695,0.000256936,0.000921455,0.000735907,0,0.000366691,0.000419449,0.000838615,0.00120997,0.00080171,0.000259306,0.000640683,0.000778896,0.001282036,0.000681173,0.000699845,0.000568869,0.001141798,0.000198411,0.000528914,0.000895474,0.00015103,0.000456846,0.000974865,0.000465025,0.000388266,0.000356665,0.000997937,0.000811435,0.001615007,0.000826333,0.000699265,0.000280845,0.000621376,0.000540089,0.000545676,0.000627938,0.000317097,0.001445805,0.000284514,0.000802172,0.00070754,0.000743753,0.000834879
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Zymoseptoria,0.000562975,0.00746733,0.000352108,0.000254181,0.000788709,0.000462124,0.008044375,0.000859026,0.002362251,0.000910468,0.00141473,0.002199484,0.001211097,0.001326842,0.000367729,0.002850032,0.001031858,0.000533705,0.003214584,0,0.001300768,0,0.00058518,0.000856278,0,0.000894891,0.000211062,0.005314561,0.001195685,0.001628639,0.001319984,0.001229449,0.000391893,0.001263818,0.001340655,0.0011428,0.000877562,0.00200257,0.003426003,0.000724591,0.001034237,0.000938207,0.001389735,0.001035526,0.001798729,0.001020788,0.000779681,0.000889698,0.000591615,0.000941334,0.000217482,0.000908968,0.002683592,0.001878241,0.000340586,0.000454497,0.002632081,0.000560883,0.001368701,0.000435337,0.000749003,0,0.000504517,0.001239591,0.000353823,0.002006884,0.00107475,0.001800333,0.003294426,0.003248794,0.002332724,0.000948378,0.002197775,0.001237936,0.00084337,0.0006458,0.000301608,0.000960223,0.001539841,0.000663867,0.000496393,0.000557796,0.001435802,0.000734291
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Zymoseptoria|s__Zymoseptoria_tritici,0.000562975,0.00746733,0.000352108,0.000254181,0.000788709,0.000462124,0.008044375,0.000859026,0.002362251,0.000910468,0.00141473,0.002199484,0.001211097,0.001326842,0.000367729,0.002850032,0.001031858,0.000533705,0.003214584,0,0.001300768,0,0.00058518,0.000856278,0,0.000894891,0.000211062,0.005314561,0.001195685,0.001628639,0.001319984,0.001229449,0.000391893,0.001263818,0.001340655,0.0011428,0.000877562,0.00200257,0.003426003,0.000724591,0.001034237,0.000938207,0.001389735,0.001035526,0.001798729,0.001020788,0.000779681,0.000889698,0.000591615,0.000941334,0.000217482,0.000908968,0.002683592,0.001878241,0.000340586,0.000454497,0.002632081,0.000560883,0.001368701,0.000435337,0.000749003,0,0.000504517,0.001239591,0.000353823,0.002006884,0.00107475,0.001800333,0.003294426,0.003248794,0.002332724,0.000948378,0.002197775,0.001237936,0.00084337,0.0006458,0.000301608,0.000960223,0.001539841,0.000663867,0.000496393,0.000557796,0.001435802,0.000734291
k__Fungi|p__Ascomycota|c__Eurotiomycetes,0.004234767,0.012725792,0.005341978,0.007778994,0.003958809,0.008567073,0.00995695,0.003844406,0.011959275,0.004901705,0.006981716,0.013996268,0.006569281,0.009388348,0.004279023,0.007362583,0.007424221,0.006174417,0.010121995,0.002602364,0.005181837,0.004369748,0.004047084,0.008470489,0.000970279,0.005354432,0.00535508,0.010155548,0.005996542,0.007738445,0.004278907,0.007555332,0.003727647,0.003810458,0.0090681,0.004960343,0.003475929,0.00633737,0.003729964,0.010953555,0.003061341,0.006859424,0.007734179,0.008342031,0.001734976,0.007170293,0.005339336,0.003213981,0.006714997,0.004409406,0.00265579,0.005409763,0.005560272,0.005124248,0.006067997,0.005840088,0.004792934,0.005503668,0.006547572,0.004328958,0.004670449,0.001396102,0.008854868,0.003706166,0.004326753,0.007755245,0.002839053,0.008081271,0.010605455,0.015819561,0.008114491,0.008373694,0.007821206,0.013154874,0.003568743,0.007243978,0.006966655,0.004537614,0.007546396,0.004803552,0.004765375,0.002807696,0.005854573,0.009430105
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales,0.000538065,0,0,0.000153568,0,0.000253914,0,0,0,0.000275258,0,0,0.000178257,0,0,0.000153678,0.000505611,0.000423283,0,0,0,0.000793028,0,0.00015895,0,0.00014542,0.000161978,0,0.000126815,0,0,0.000241687,0.000265927,0,0.000263735,0,0,0,0,0,0,0.001101712,0,0.000530904,0,0.000371646,0,0,0.000140383,0,0.000108741,0.000660704,0.000111271,0,0.000264128,0.000289591,0.000305661,0.00035556,0.000453992,0.000138331,0,0.000147346,0.00012315,0,0.000104462,0,0,0,0,0.000383095,0.000256625,0.000139853,0,0,0,0.000155192,0,0,0.000152809,0.000151741,0.000131048,0,0,0.000135794
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae,0.000538065,0,0,0.000153568,0,0.000253914,0,0,0,0.000275258,0,0,0.000178257,0,0,0.000153678,0.000505611,0.000423283,0,0,0,0.000793028,0,0.00015895,0,0.00014542,0.000161978,0,0.000126815,0,0,0.000241687,0.000265927,0,0.000263735,0,0,0,0,0,0,0.001101712,0,0.000530904,0,0.000371646,0,0,0.000140383,0,0.000108741,0.000660704,0.000111271,0,0.000264128,0.000289591,0.000305661,0.00035556,0.000453992,0.000138331,0,0.000147346,0.00012315,0,0.000104462,0,0,0,0,0.000383095,0.000256625,0.000139853,0,0,0,0.000155192,0,0,0.000152809,0.000151741,0.000131048,0,0,0.000135794
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Fonsecaea,0.000538065,0,0,0.000153568,0,0.000253914,0,0,0,0.000275258,0,0,0.000178257,0,0,0.000153678,0.000505611,0.000423283,0,0,0,0.000793028,0,0.00015895,0,0.00014542,0.000161978,0,0.000126815,0,0,0.000241687,0.000265927,0,0.000263735,0,0,0,0,0,0,0.001101712,0,0.000530904,0,0.000371646,0,0,0.000140383,0,0.000108741,0.000660704,0.000111271,0,0.000264128,0.000289591,0.000305661,0.00035556,0.000453992,0.000138331,0,0.000147346,0.00012315,0,0.000104462,0,0,0,0,0.000383095,0.000256625,0.000139853,0,0,0,0.000155192,0,0,0.000152809,0.000151741,0.000131048,0,0,0.000135794
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Fonsecaea|s__Fonsecaea_pedrosoi,0.000538065,0,0,0.000153568,0,0.000253914,0,0,0,0.000275258,0,0,0.000178257,0,0,0.000153678,0.000505611,0.000423283,0,0,0,0.000793028,0,0.00015895,0,0.00014542,0.000161978,0,0.000126815,0,0,0.000241687,0.000265927,0,0.000263735,0,0,0,0,0,0,0.001101712,0,0.000530904,0,0.000371646,0,0,0.000140383,0,0.000108741,0.000660704,0.000111271,0,0.000264128,0.000289591,0.000305661,0.00035556,0.000453992,0.000138331,0,0.000147346,0.00012315,0,0.000104462,0,0,0,0,0.000383095,0.000256625,0.000139853,0,0,0,0.000155192,0,0,0.000152809,0.000151741,0.000131048,0,0,0.000135794
