"Taxonomy","CON1","CON2","CON4","CON5","CON3","CON6","CON24","CON25","CON26","CON27","CON28","CON29","CON30","CON31","CON32","CON33","CON34","CON35","CON36","CON37","CON7","CON8","CON9","CON10","CON11","CON12","CON13","CON14","CON15","CON16","CON17","CON18","CON19","CON43","CON44","CON45","CON38","CON39","CON40","CON41","CON42","CON46","CON47","CON20","CON21","CON22","CON23","MI33","MI32","MI38","MI36","MI34","MI35","MI37","MI30","MI27","MI28","MI29","MI31","MI17","MI21","MI20","MI24","MI23","MI26","MI19","MI18","MI15","MI25","MI22","MI14","MI16","MI2","MI1","MI12","MI4","MI11","MI13","MI3","MI8","MI5","MI9","MI7","MI10","MI6"
"k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales",3.28092519614361e-05,7.20541406335763e-06,0.00301503550601024,1.53946218888431e-05,0.000206435038907271,0.00213201432713628,6.19088564058469e-05,0.0094222162398627,0.0126949827807414,0.00572923153568315,0.00175508575987236,0.000365085643007089,0.00286151157710791,0.00198347744035125,0.00177013935824402,0.000519406318577866,0.000111734199097694,0,0,0.000222364651868517,0,0.000517835447828079,0,0.000709354014943725,0,0,0,0.00241602828520919,0.00539525354276934,0.000433149903765391,0.00150116340163627,0,0.000495407949392173,0,0,0.00120604879858985,0,0.000232441580893302,0.00195357769610278,0,0.000985269414653056,0.00114038630586111,0.00183327941335059,0.00125026538652072,0,0.00380952380952381,0.00157873044923962,0.000557137551070942,0.000419966402687785,6.18000288400135e-05,0.00253576252032744,0.00136058535405454,0,0.00383568975514027,0,0.000173755418116585,0.00222497323340471,0.000178558674380401,0.0029666818804199,0.0109953150396787,9.94446233967257e-05,0,0.000321877187759011,0.000142553964706851,2.46318887387438e-05,0.00283476673233075,0,0,0.00032947528403958,5.69221021032717e-05,0.000485371751935063,0.00168262371220247,5.79980017755122e-05,0,3.24644497296146e-05,0.000417318727177882,0.000381642084882785,0,0.000747457660457523,0,0,0.000572821612692661,0,0.0047528884423664,0.00570971378695858
"k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmataceae",3.28092519614361e-05,7.20541406335763e-06,0.00301503550601024,1.53946218888431e-05,0.000206435038907271,0.00213201432713628,6.19088564058469e-05,0.0094222162398627,0.0118677831048687,0.00572923153568315,0.00175508575987236,0.000365085643007089,0.00286151157710791,0.0017138785649637,0.00177013935824402,0.000519406318577866,0.000111734199097694,0,0,0.000222364651868517,0,0.000517835447828079,0,0.000709354014943725,0,0,0,0.00241602828520919,0.00539525354276934,0.000433149903765391,0.00150116340163627,0,0.000495407949392173,0,0,0.00120604879858985,0,0.000108956991043735,0.00195357769610278,0,0.000985269414653056,0.00114038630586111,0.00183327941335059,0.00125026538652072,0,0.00380952380952381,0.000377218779906813,0.000557137551070942,0.000419966402687785,6.18000288400135e-05,0.00173644607370249,0.00136058535405454,0,0.00383568975514027,0,0.000173755418116585,0.000585519271948608,0.000178558674380401,0.0029666818804199,0.0109953150396787,9.94446233967257e-05,0,0.000217267101737332,0.000142553964706851,1.23159443693719e-05,0.00283476673233075,0,0,0.00032947528403958,5.69221021032717e-05,0.000485371751935063,0.0015645448552058,5.79980017755122e-05,0,3.06986009995519e-05,0.000417318727177882,0.000381642084882785,0,0.000747457660457523,0,0,0.000572821612692661,0,0.0047528884423664,0.00570971378695858
"k__Archaea|p__Thermoproteota|c__Thermoprotei_A|o__Sulfolobales|f__Desulfurococcaceae",0,0,0,0,6.30773729994438e-05,0,4.12725709372313e-05,0.000437460039707911,0.00104666081436964,0.000228338938016357,0.000219385719984045,0,0,0,0,0,2.31901167938609e-05,0,0.00209095661265029,0,0,0,0,0,0,0,0.000783243639303671,0.00164997053624042,0.00112685675260372,0,0.00517901373564513,0,0,0,0.000185719833189823,0,0,7.99017934320726e-05,0.000463560809244727,0,0,0,0,0,0,0,0,0,0.00104991600671946,0,0,0,0.000343777624987722,0,0,0,0.000234207708779443,6.12201169304233e-05,0,0.000924243872900532,0,0,5.23050430108392e-05,2.61014301575924e-05,0,0,0.000791105711500699,0,0.000924656442304626,0,8.27987106242166e-05,0,5.10382415624507e-05,0.000531114455165088,0,0,5.11958894354955e-05,0,0,5.45732372844357e-05,0,0,0.000198095238095238,0,0
"k__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__UBA460|f__UBA460|g__UBA460|s__UBA460_sp018238545",0,1.86493069875139e-05,0.00047605823779109,7.05586836571977e-06,8.60145995446961e-05,0,0,0,0,0.000269855108564786,0,0.000304238035839241,0.000524246395806029,0,0,0.000207762527431146,2.7406501665472e-05,0,0,3.92408209179736e-05,0,0,0,0,0,0,0,0,0.000478060440498549,0.000124295189776156,0,0,0,0.000374391613627855,0.000405206908777795,0.00125243529084331,0,0.00010169319164082,0.000331114863746234,0,0,0,0.000611093137783529,0,0,0.000680272108843537,0,0,0.000929925605951524,0,0.00170888343761197,0,0,0,0,0,0,0,0,0,0.00020321292607157,0,0,0,0,0,0,0,0,0,0,0,2.08792806391844e-05,0,0,0.000178850883076235,0,0,0.000393398768661854,0,0.00020910932496896,0.000213142925653083,0.000152380952380952,0,0
"k__Archaea|p__Thermoproteota|c__Nitrososphaeria_A",0,0,0.000396715198159241,0,0,0,0,0,0,0.000394403620210072,0,0,0.000567933595456531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131820723815611,0,0.00057860522106123,0,0,0,7.99017934320726e-05,0,0,0,0,0,0,0.000500075011251688,0,0,0,0,2.28888995703754e-05,0.000330751633086188,0,9.82221785679206e-05,0,0,2.50458260348231e-05,0,5.61184405195547e-05,0,0,0,0,0,0,0,0,0,0,0.000286962344163505,0,0,0.000206637999744162,0,0.00126877342067215,1.49417969466845e-06,0,0,0,0.000196699384330927,0.000109146474568871,0,0,0,0.000850110127902933,0
"k__Archaea|p__Thermoproteota|c__Nitrososphaeria_A|o__Caldarchaeales",0,0,0.000396715198159241,0,0,0,0,0,0,0.000394403620210072,0,0,0.000567933595456531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131820723815611,0,0.00057860522106123,0,0,0,7.99017934320726e-05,0,0,0,0,0,0,0.000500075011251688,0,0,0,0,2.28888995703754e-05,0.000330751633086188,0,9.82221785679206e-05,0,0,2.50458260348231e-05,0,5.61184405195547e-05,0,0,0,0,0,0,0,0,0,0,0.000286962344163505,0,0,0.000206637999744162,0,0.00126877342067215,1.49417969466845e-06,0,0,0,0.000196699384330927,0.000109146474568871,0,0,0,0.000850110127902933,0
"k__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__UBA460|f__Kariarchaeaceae|g__LC-2",0,0,0.00103145951521403,2.27712115439138e-05,0,0,0,0.000639364673419255,0,0.000332129364387429,0,0,0,0.00123245200177165,0,0,0,0.000470549158547387,0,0,0.00101706036745407,0,0,0,0,0,0,0.000707130229817325,0.000478060440498549,9.98128039111553e-05,0,0.000399456738835184,0,0.000442462816105647,0,0,0,0,0.00115890202311182,0,0.000662230262307792,0,0,0,0.000700105015752363,0.000884353741496599,0.000139710659224746,0,0.00044996400287977,4.57777991407507e-05,0,0,0,0,0,0,0,0,0,0,0.000438853446729029,0,0,0,7.88220439639803e-06,0,0.000268410866402023,0,0.00024444940428743,7.48975027674627e-06,0,0,0,0,0,0,0.000107045950637854,0,0,5.45732372844357e-05,0,0,0,0,0
"k__Archaea|p__Asgardarchaeota|c__Heimdallarchaeia|o__UBA460|f__Kariarchaeaceae|g__LC-2|s__LC-2_sp001940725",0,0,0.00103145951521403,2.27712115439138e-05,0,0,0,0.000639364673419255,0,0.000332129364387429,0,0,0,0.000847310751218009,0,0,0,0.000470549158547387,0,0,0.00101706036745407,0,0,0,0,0,0,0,0.000478060440498549,2.25991254138465e-05,0,0.000399456738835184,0,0.000442462816105647,0,0,0,0,0.00039733783649548,0,0.000436102855666107,0,0,0,0.000700105015752363,0.000884353741496599,0.000139710659224746,0,0.00044996400287977,0,0,0,0,0,0,0,0,0,0,0,0.000438853446729029,0,0,0,7.88220439639803e-06,0,0.000268410866402023,0,0.00024444940428743,7.48975027674627e-06,0,0,0,0,0,0,6.0504232969222e-05,0,0,5.45732372844357e-05,0,0,0,0,0
"k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium_B",0,0,0.00047605823779109,0,0,0,0.00012725709372313,0,0,0.000581226387678001,0.000957319505384922,0.000456357053758861,0.000436871996505024,0.000423655375609005,0,0.00129851579644466,0.000223468398195387,0,0,0,0,0,0,0,0.00124476632341292,0.000760977094589453,0,0,0,5.08480321811546e-05,0,0.00323559958456499,0.000609732860790366,0,0,0.000834956860562204,0,0,0,0,0.000694534177542318,0,0,0,0.00100015002250338,0,0,0.000371425034047295,0,0,0.000661503266172377,0.000786115982342626,0.000331499852666732,0,0,1.72190053989409e-05,0.000920101713062099,0.000102033528217372,0.000912825193975354,0,0,1.57604155967247e-05,8.04692969397526e-05,6.82652788737032e-05,0,0,0,0,0,0,7.99435826716574e-05,0.000747832760978874,4.40784813493892e-05,0,2.71669035394264e-06,0,0.000186166870674529,0,0.000275379138063298,7.09452084697664e-05,0,0,0,0,0.00109102811215769
"k__Archaea|p__Asgardarchaeota|c__Lokiarchaeia|o__CR-4|f__SOKP01|g__Loki-b32|s__Loki-b32_sp019057865",1.98093596748294e-05,0,0,0,7.45459862720699e-05,0.00375234521575985,7.91057609630267e-05,0,0,0,0.000478659752692461,0,0.000589777195281782,0,0,0.000246718001324486,6.74621579457773e-05,0,0.000696985537550096,0,0,0,0,0.00118225669157287,0,0,0.000265292200409308,0,0,0.000103579324813463,0,0,0,0.00221231408052823,0,0,0,0.000464883161786604,0,0.000290579415354216,0.000290735237110738,0,0.00301951903375391,0,0.00270040506075911,0,0,0,0,0,0.000909566990987018,0,0.000202583243296336,0.000802818785959591,0.000397287096682653,0,0.000351311563169165,5.61184405195547e-05,0,0,4.97223116983628e-05,5.54331858919281e-05,0,0.000178694406463517,0,0,0,0,0.000308218814101542,2.02223257472149e-05,9.13640944818942e-05,0,0,0,1.10025959334677e-05,0,4.65417176686323e-05,8.39336923830174e-05,0,0,0.00015683199372672,0.000586143045545979,0.000761904761904762,0.0008114687584528,0
