Taxonomy,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella,0,0,0.00369,0.012480004,0.006529997,0.40150004,0,0.16551,0,0,0,0,0.038830012,0.016539997,0.00055,0.00219,0.187449944,0,0,0,0,0,0,0,0,0,0.002010001,0,0,0.001,0,0,0,0,0,0,0,0.005990001,0,0,0,0,0,0,0,0,0,0,0.003500001,0,0,0,0,0,0,0.013040001,0,0,0.016419992,0,0,0,0,0.558540223,0.003000001,0,0,0,0.01131,0,0,0.011179997,0.006170002,0,0,0,0,0,0.005399996,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi,0,0,0,0.012480004,0.006529997,0.40150004,0,0.00071,0,0,0,0,0.024820007,0.016539997,0.00055,0.00219,0.187449944,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.005990001,0,0,0,0,0,0,0,0,0,0,0.003500001,0,0,0,0,0,0,0.009810001,0,0,0.002939999,0,0,0,0,0,0,0,0,0,0.01131,0,0,0.00026,0.006170002,0,0,0,0,0,0.005399996,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter,1.351129595,2.837790851,7.205219279,1.937120581,0.567229716,0,0.175879947,2.66972,0.079010008,5.655801131,5.340009466,0.028709989,1.228600369,0,10.77123,1.416530283,0,2.064640206,11.40943,0,1.556070156,4.061350406,24.08109278,0.777499767,0,0,2.018720606,5.353987858,4.836868549,6.194991858,5.444681089,14.26084143,7.465821493,8.181997545,3.273969673,1.592169045,1.94853,0.572550115,0,5.349927325,8.92504,8.585470859,0.715629857,0.223340067,0,6.016289398,0.336219966,2.576709227,6.93186208,4.823790482,1.993129801,4.20078,2.879009136,0,0.635460318,1.30244013,10.94291343,7.580598484,0.004389998,1.288409871,9.153541831,0,4.730599527,0,1.967170393,0.262720158,0.506469949,2.0012092,1.03987,1.664399834,0.771649614,2.3334393,1.912500765,1.654479669,2.855040286,1.057800106,22.74774682,1.25267,1.221069023,0,1.945970584,1.215279635,4.908628037,2.097239581
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans,1.351129595,2.837790851,7.205219279,1.937120581,0.567229716,0,0.175879947,2.66972,0.079010008,5.655801131,5.340009466,0.028709989,1.228600369,0,10.77123,1.416530283,0,2.064640206,11.40943,0,1.556070156,4.061350406,24.08109278,0.777499767,0,0,2.018720606,5.353987858,4.836868549,6.194991858,5.444681089,14.26084143,7.465821493,8.181997545,3.273969673,1.592169045,1.94853,0.572550115,0,5.349927325,8.92504,8.585470859,0.715629857,0.223340067,0,6.016289398,0.336219966,2.576709227,6.93186208,4.823790482,1.993129801,4.20078,2.879009136,0,0.635460318,1.30244013,10.94291343,7.580598484,0.004389998,1.288409871,9.153541831,0,4.730599527,0,1.967170393,0.262720158,0.506469949,2.0012092,1.03987,1.664399834,0.771649614,2.3334393,1.912500765,1.654479669,2.855040286,1.057800106,22.74774682,1.25267,1.221069023,0,1.945970584,1.215279635,4.908628037,2.097239581
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium,0,0.002240001,0.034789997,0.012890004,0.076249962,3.432960343,0.00148,0.07368,0,0,0,0,0.063670019,0.15228997,0.00887,0.020460004,0.023579993,0,0,0.384519962,0.013160001,0,0.537719839,0.00121,5.144808971,0.39976012,0.261920079,0,0,0.0016,0.018500004,0.00261,0,0.114919966,0,0,0.01391,0.046070009,0.106900021,0,0,0.00203,0,0,0.090419973,0,0,0.052889984,0.044780013,0.0029,0.023149998,0,0,4.907957055,0.049720025,0.206360021,0.456729726,0,0.003199998,0.00072,0.041940008,0,0,1.329230532,0.003750001,0.102220061,0.00362,0.009599996,0.04911,0,0.001999999,0.008969997,0,0,0.037220004,0.762010076,0.014860004,0.1118,0.030939975,0.222699911,0,0.018049995,0.602229759,0.019129996
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_asparagiforme,0,0,0.00138,0,0.008699996,0,0,0,0,0,0,0,0.012790004,0,0,0,0,0,0,0,0,0,0.053199984,0,0,0,0.06628002,0,0,0,0,0,0,0,0,0,0.00025,0.006640001,0,0,0,0,0,0,0,0,0,0,0,0.0029,0.005469999,0,0,0,0.009050005,0.00022,0,0,0,0,0.006540001,0,0,0,0.003750001,0,0,0,0.00529,0,0.001849999,0,0,0,0.015340002,0.040690004,0,0,0.001449999,0,0,0,0.157649937,0.019129996
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_bolteae,0,0.002240001,0.015089998,0,0.05931997,0,0,0.07368,0,0,0,0,0.050880015,0.134549973,0.00887,0.009620002,0.006629998,0,0,0.00338,0,0,0.078779976,0.00121,0,0.39976012,0.043790013,0,0,0,0.018500004,0,0,0.086259974,0,0,0.00661,0.011770002,0.081440016,0,0,0.00203,0,0,0.090419973,0,0,0.021659994,0.025260008,0,0.014279999,0,0,4.620817228,0.027680014,0.075140008,0.377459774,0,0.002859999,0,0.016160003,0,0,0.466520187,0,0.092840056,0.00362,0.009599996,0.02559,0,0,0.008969997,0,0,0.007660001,0.09952001,0.014860004,0.03863,0.011119991,0.222699911,0,0,0.428659829,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_citroniae,0,0,0.00218,0,0,0,0,0,0,0,0,0,0,0.003229999,0,0,0,0,0,0.381139962,0.013160001,0,0.004689999,0,0,0,0.03464001,0,0,0,0,0.00261,0,0.004239999,0,0,0,0.005530001,0,0,0,0,0,0,0,0,0,0.003479999,0.005980002,0,0.00166,0,0,0.060829964,0.010950005,0.018350002,0,0,0,0,0.014120003,0,0,0.413550165,0,0,0,0,0.00271,0,0.00015,0,0,0,0.00345,0.019500002,0,0,0,0,0,0,0.003189999,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum,0,0,0.012479999,0.012890004,0,0.425930043,0.00148,0,0,0,0,0,0,0.013649997,0,0,0.016949995,0,0,0,0,0,0.186839944,0,0,0,0.06702002,0,0,0.0016,0,0,0,0.011679996,0,0,0,0.010200002,0,0,0,0,0,0,0,0,0,0.021219994,0.013540004,0,0,0,0,0.06675996,0,0.105190011,0.040659976,0,0,0.00072,0.005120001,0,0,0.293990118,0,0.008110005,0,0,0,0,0,0,0,0,0.00284,0.50015005,0,0.07317,0.002159998,0,0,0.003129999,0.012729995,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira,0.081659976,0,0,0,0.045929977,0,0,0,0,0,0.041359996,0.015819994,0.005290002,0,0.06162,0,0,0.131370013,0,0,0.087160009,0,0,0.23460993,0,0,0.744780223,0.006639997,0,0.040470012,0.008150002,0.284780028,0.038550008,0.083449975,0.464459954,0.226669864,0.14574,0.003160001,0,0,0.02183,0.011750001,0.121889976,0,0,0.151599985,0.013299999,0.063939981,0.281030084,1.155910116,0.780459922,0.18907,0,0,0.011630006,0.081890008,0,0,0.003049998,0.492599951,0.632230126,0,0.127669987,0,0,0,0,0.271949891,0.00248,0,0.36097982,0.009849997,0.02622001,0.063989987,1.580430158,0,0,0,0.094169925,0,0.909670273,0,0,0
