feature	CON10__92125	CON13__106090	CON13__125096	CON13__134529	CON13__23397	CON13__38366	CON13__42474	CON13__4329	CON13__49865	CON13__68260	CON13__83545	CON13__96551	CON13__97539	CON16__2712	CON16__54857	CON17__51038	CON18__42913	CON19__13253	CON19__28358	CON19__37443	CON20__1276	CON20__40587	CON20__43638	CON21__106170	CON21__111618	CON22__29078	CON23__39618	CON24__104082	CON24__35132	CON24__49185	CON25__12111	CON26__23139	CON26__2739	CON26__34383	CON26__44076	CON27__11287	CON2__56254	CON30__101066	CON30__106370	CON30__106949	CON30__115695	CON30__21220	CON30__57661	CON30__78830	CON30__78872	CON30__86319	CON30__87665	CON31__48385	CON31__53650	CON31__67138	CON32__13019	CON32__14322	CON32__19720	CON32__22342	CON32__25400	CON32__30458	CON32__35763	CON32__56105	CON32__56929	CON32__62268	CON32__67931	CON32__69345	CON32__75016	CON32__82194	CON32__84218	CON32__8800	CON34__10987	CON34__2332	CON34__3956	CON34__40685	CON34__473	CON34__8025	CON35__38542	CON35__7412	CON36__20695	CON36__86234	CON36__87622	CON37__18567	CON37__93791	CON38__16154	CON38__26147	CON41__27547	CON42__60554	CON43__13370	CON43__25730	CON43__49036	CON43__71541	CON43__88736	CON44__29119	CON44__73004	CON44__73208	CON44__73331	CON46__60239	CON46__87773	CON47__18512	CON47__55906	CON47__68241	CON47__69180	CON47__72923	CON47__75632	CON47__7973	CON4__10543	CON4__16143	CON4__55923	CON4__8492	CON4__94670	CON5__103695	CON6__19195	HF10__3047	HF10__69385	HF11__101063	HF11__113757	HF11__37751	HF11__38182	HF11__53881	HF11__7762	HF12__46308	HF13__130702	HF13__56270	HF14__72355	HF15__23649	HF15__70868	HF16__6620	HF17__64840	HF17__69944	HF18__23394	HF18__52113	HF1__43792	HF21__86021	HF22__4444	HF26__86591	HF27__110837	HF27__126317	HF27__129645	HF27__135661	HF27__43896	HF27__66055	HF27__66822	HF27__6829	HF27__73342	HF27__93109	HF27__96853	HF28__108909	HF28__18937	HF28__68916	HF29__26223	HF29__30629	HF29__36428	HF2__25841	HF30__18734	HF31__6557	HF31__71275	HF32__25045	HF32__28561	HF32__28961	HF32__38809	HF32__40475	HF32__41880	HF32__8300	HF34__111609	HF35__45179	HF36__13316	HF37__10748	HF37__19724	HF37__20036	HF37__21884	HF37__26086	HF37__32760	HF37__37838	HF37__48934	HF37__53203	HF37__8889	HF38__1166	HF38__2035	HF38__3530	HF39__74434	HF3__84953	HF3__87587	HF40__21762	HF47__17258	HF48__31437	HF5__20927	HF5__86068	HF5__87494	HF6__8951	HF7__1727	HF7__46258	HF7__53524	HF7__74558	HF9__167	HF9__35736	HF9__8746	MI10__1204	MI10__12940	MI10__13245	MI10__14267	MI10__17656	MI10__22036	MI10__40910	MI10__42279	MI10__42612	MI11__142314	MI11__71200	MI12__102609	MI12__37923	MI12__69509	MI12__94881	MI13__75706	MI14__131753	MI14__13390	MI14__143396	MI15__11953	MI18__91498	MI19__1736	MI19__21527	MI19__30717	MI19__35958	MI19__40101	MI19__40237	MI19__49351	MI19__60591	MI19__6784	MI19__68227	MI20__21221	MI23__20757	MI25__10356	MI25__15313	MI25__21430	MI25__24902	MI26__53721	MI26__61551	MI28__42321	MI29__59128	MI2__129799	MI2__95203	MI30__2851	MI31__18917	MI31__34956	MI31__52331	MI31__9495	MI32__26776	MI32__28772	MI32__65040	MI33__6501	MI33__79775	MI34__39124	MI34__47956	MI35__1404	MI35__20089	MI35__2454	MI35__29590	MI35__81629	MI35__84518	MI35__84728	MI35__88712	MI36__18817	MI36__20020	MI36__21069	MI36__44395	MI36__45559	MI36__46985	MI36__51170	MI36__6042	MI37__50209	MI37__9456	MI38__37503	MI38__49259	MI38__496	MI38__55378	MI38__60402	MI38__73232	MI3__4232	MI4__55228	MI4__58394	MI5__13031	MI5__160719	MI5__178863	MI5__200021	MI5__210119	MI6__14551	MI8__102292	MI8__75762	MI8__85262	MI9__51614	MI9__68769	MI9__7017
MI31	20	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	226	0	0	40	0	2	8	0	1	14	12	0	2	385	168	0	0	355	147	0	0	2	18	10	3	0	186	110	0	36	108	0	3	98	44	0	48	0	33	0	0	10	0	0	3	1	473	2849	0	0	415	0	12	6	0	0	0	0	0	258	2	0	0	0	0	0	0	0	1	10	0	0	0	0	231	4	3	526	0	0	0	2	0	0	0	101	0	144	0	45	0	317	28	52	2	0	39	0	2958	0	428	453	1	5	14	5	0	11	0	11	3	1	0	0	0	0	0	0	0	0	160	0	0	3	0	0	6	0	0	0	0	118	3	22	363	0	0	150	18	193	4	1589	2	0	0	0	3	0	0	9	2	50	0	0	0	0	0	392	0	520	0	123	5	1	0	11	2	0	374	0	13	6	1025	266	0	0	0	217	0	0	340	3685	0	0	7	1	1922	40	48	2	28	2	0	10	0	0	18	4417	0	4913	0	0	1192	33	140	1211	0	2003	1449	5589	4943	453	7	0	13	2	1	2	208	149	0	34	4	4	48	0	0	7	0	0	0	0	32	0	61	43	0	0	0	0	2	0	91	23	958	0	1220	5	975	0	2	0	2	0	0	7	0
MI17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	280	0	0	18	0	0	4	0	0	222	0	5	0	2	0	2	6	0	0	36	0	0	0	127	0	0	0	0	0	33	0	0	171	82	0	0	1	59	0	99	40	0	0	0	6	0	0	0	0	0	0	0	5	124	0	0	0	20	80	4	0	0	0	36	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	37	11	101	10	4	0	3	0	100	1	4	1	7	0	220	0	0	267	0	35	0	0	0	50	0	5	0	1	59	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	52	0	0	6	172	0	0	0	0	0	6	1203	16	1	331	1	0	19	0	0	0	111	0	0	0	0	7	0	0	11	0	0	0	0	0	0	0	0	0	1	0	5	25	31	25	5	56	0	0	0	216	10	0	0	40	0	0	89	0	0	0	274	0	0	3	30	32	8	415	14	125	398	1	33	14	0	75	189	1	106	0	0	13	0	0	0	0	0	0	0	8	47	0	0	42	159	383	0	2	0	0	0	0	0	63	4	0	0	0	0	0	0	56	0	53	205	0	0	0	3	1	11	0	244	8	0	0	0	1	0	6	11	0	0	0	69	0
MI21	1	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	2	0	0	0	0	0	1	0	0	0	13	110	0	0	0	0	0	0	0	10	0	0	1	6	0	1	8	0	0	0	0	36	0	0	37	0	0	0	0	2	27	0	0	576	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	12	0	0	0	0	5	2	0	25	0	30	0	4	98	2	272	6	1	0	8	0	16	0	1	4993	0	3	36	0	0	20	0	18	0	0	0	0	0	0	0	0	0	0	0	521	36	0	0	0	6	0	0	0	0	2	14	10	8	3	0	0	55	0	1	3	19	0	0	0	1	0	0	184	538	773	0	0	0	1	0	0	0	0	0	451	0	7	0	0	1	11	2471	0	0	0	237	6162	0	0	0	0	16	2	282	26	0	0	3	0	2	5	8	0	4	16	12	40	0	0	0	34	1	20	0	0	6	4	94	186	0	108	114	0	0	0	0	0	5	1	28	2	822	167	0	1	0	0	0	0	0	0	0	0	0	0	41	0	0	18	2	0	0	0	0	2	205	0	2049	0	10697	170	190	0	39	0	0	1262	0	0	0
MI20	2	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	4	0	0	2	5	0	43	0	0	14	1	0	0	3	0	7	0	0	3	167	0	0	0	9	1	0	0	11	0	8	0	0	359	51	0	6	1	61	0	1	30	0	0	0	30	0	0	81	0	0	0	36	248	924	0	0	0	0	4	0	0	0	0	67	0	129	1	0	0	0	0	95	0	0	0	26	43	0	0	0	557	0	5	103	0	0	0	0	12	50	0	264	0	90	0	24	0	148	3910	0	40	0	0	0	1090	0	64	97	6	14	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	144	7	58	0	0	0	0	0	12	0	0	3	484	64	0	48	46	636	0	577	40	0	0	0	11	0	0	24	86	56	0	0	0	0	0	4	0	12	0	94	0	3	0	18	71	296	373	0	8	472	288	0	1	0	7	4	138	0	155	2037	0	0	0	80	577	35	42	1	7	24	23	1	1895	5	13	1018	0	2041	112	329	1065	0	66	600	0	0	65	1	25	305	43	0	76	2	4	12	5	43	13	10	0	0	0	0	0	0	0	0	0	0	198	10	32	105	0	3	0	0	2	2	13	55	697	0	227	2	8	0	14	0	2	0	0	7	2
MI24	1	0	0	0	0	0	7	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	2	4	2	0	0	15	23	0	0	9	0	0	0	8	6	16	0	0	0	51	4	0	0	19	254	0	0	183	0	33	0	0	44	12	0	20	46	18	0	3	478	237	1	0	54	0	0	3	4	0	0	3	44	335	0	0	291	0	3	7	0	0	2986	6	0	13	183	0	0	0	0	2	0	2	18	68	0	4	0	0	62	11	3	65	0	3	278	0	0	2	0	90	0	13	0	10	0	27	467	9	2	0	38	10	445	0	26	2396	4	71	7	0	0	2	0	3	4	0	6	0	6	0	0	0	0	0	0	517	0	0	51	0	100	0	0	0	34	73	3	20	42	0	0	20	9	36	3	174	0	0	0	0	14	0	0	81	123	16	0	0	0	0	0	0	2	1	11	129	2	2	0	3	4	2	2114	0	8	1	302	927	4	1	4	0	0	14	670	492	0	37	0	0	144	19	155	1	15	5	1	0	10	0	9	328	0	410	5	7	186	72	2082	1028	0	2	9	3	5	146	6	0	17	17	0	1	145	0	33	30	5	28	0	52	0	89	0	0	0	0	7	0	38	15	30	0	0	1	10	4	160	4	1548	0	5422	98	109	0	2	11	0	0	0	10	0
MI23	7	95	4	0	4	0	31	7	2	26	0	0	0	19	0	0	1	0	0	0	0	0	0	4	0	41	0	0	0	26	3	4	22	2	0	0	4	0	12	0	0	0	52	0	0	0	5	2	0	24	0	0	0	28	0	6	41	0	30	19	0	0	12	23	0	0	0	1229	0	0	0	0	0	0	7	121	331	0	0	0	0	0	0	0	0	2	1	0	31	0	16	0	33	18	71	0	3	0	0	0	0	0	0	63	17	0	656	0	4	0	14	1	2	1	12	0	7	0	4	0	90	133	0	6	0	0	4	503	0	76	1	0	5	29	0	0	8	2	0	0	0	3	3	0	0	0	0	0	0	5	0	0	0	9	3	0	1	3	146	1	13	0	30	53	0	0	3	4	230	0	1230	8	0	0	0	10	3	0	0	19	0	6	0	15	701	0	0	0	0	0	1057	0	0	0	0	2	2	1	0	0	9	2	4	0	196	1	6	24	4	5	1677	0	0	0	18	562	3	1196	0	3	14	17	0	0	848	5	657	0	260	86	227	270	2	167	1683	0	75	0	0	48	257	0	0	1	9	0	633	31	0	0	2	0	6	2	1	0	1	0	0	0	3	9	0	0	12	0	0	0	0	0	0	0	3	772	10	2	0	0	0	58	0	70	0	23	1	28
MI26	18	0	0	0	0	0	0	0	0	6	0	0	0	198	11	0	2	0	0	0	0	0	0	8	0	0	0	9	0	46	0	0	2	0	1	0	2	8	33	0	0	0	71	0	0	0	0	15	0	0	0	0	7	3	0	124	33	0	0	0	1	1	19	6	0	3	0	65	0	0	6	0	0	0	340	86	983	0	62	28	21	13	3	0	0	0	0	0	44	67	0	0	0	0	0	0	0	7	17	0	0	32	0	86	8	22	198	0	0	0	22	0	0	1	279	0	24	0	6	0	71	904	0	0	0	0	0	389	0	74	150	0	59	0	0	0	5	2	0	0	0	2	0	324	0	0	0	0	13	1	0	12	40	0	0	0	0	0	0	29	4	7	2	306	0	0	3	5	109	1	327	37	0	0	0	4	0	0	13	10	91	0	0	0	22	0	1	0	12	0	1104	0	42	15	1	6	44	831	0	4	3	1893	1594	2	0	5	0	183	1	792	655	0	0	0	0	1379	40	41	3	12	4	4	12	27	0	6	376	0	219	367	818	195	0	659	1068	4	0	4	10	18	127	46	6	47	2	90	0	75	4	10	11	1	0	2	9	0	0	0	0	0	0	390	9	0	2	0	0	0	0	14	0	7	16	2553	0	309	312	0	0	27	70	5	0	2	1	28
MI19	0	0	0	4	0	0	0	0	0	0	0	0	0	304	78	2438	0	0	0	0	0	0	0	28	0	16	60	4	0	94	0	0	32	0	2	0	0	0	4	0	0	0	408	0	1	0	53	57	0	0	1	0	0	0	0	499	94	0	10	191	4	2	30	379	0	1	0	6	0	0	0	0	0	0	28	306	2557	0	0	36	0	5	26	0	0	0	0	0	190	11	0	0	4	10	0	0	0	22	5	0	0	0	0	108	14	258	1408	1	0	0	0	33	163	0	84	0	148	0	28	3	275	108	0	22	0	10	0	1392	0	285	92	50	369	0	1	9	1	1	0	0	4	0	0	0	0	1	0	0	0	11	0	1	0	0	3	0	0	0	8	1	63	28	0	508	8	0	45	2	649	0	1487	4	0	0	0	506	1003	0	13	6	167	0	0	0	11	0	3	0	2	0	201	7	159	0	35	5	44	1088	0	32	166	2048	735	0	0	2	20	27	1	804	3144	14	0	304	3221	7186	4033	8291	624	4290	7017	502	278	7	0	2	1611	0	1205	2	0	480	0	444	748	0	174	2	2	76	493	4	0	33	2	4	0	31	1	0	0	93	4	280	19	0	2	0	0	0	0	2666	0	53	178	0	0	0	0	2	2	30	18	505	0	109	54	10	0	10	0	7	0	0	0	0
MI18	16	0	0	0	0	0	0	0	0	0	0	0	0	2160	0	0	0	0	0	0	0	4	2	2734	0	0	0	8	0	2	0	0	4106	0	29	0	1095	0	1	0	0	0	4	0	0	0	0	247	0	0	0	2	0	0	0	26	3	2	11	0	4	0	0	0	0	0	0	10	0	0	518	0	0	0	0	0	43	2700	0	368	0	0	0	0	0	0	3679	0	0	11	0	0	0	14	0	0	0	0	0	0	0	2	0	2	0	0	9	42	0	0	0	0	0	0	0	0	0	0	848	0	1	679	0	3	0	0	0	12	0	30	121	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	499	44	0	0	0	0	0	0	0	0	0	963	142	0	29	0	0	5	0	14	0	12	0	0	0	0	0	0	0	373	154	127	0	0	0	5	0	2	0	0	0	145	0	25	11	0	0	0	1247	0	2524	0	1348	2024	0	0	16	934	0	18	780	28	0	492	0	0	25	0	2	0	0	0	0	0	0	0	459	17	0	35	0	0	4	0	982	537	5	0	56	0	0	8	0	0	0	0	0	0	49	48	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	106	0	0	0	0	0	7	0	982	0	380	55	247	0	21	0	0	42	0	0	0
MI15	2	0	0	56	0	29	89	281	0	0	0	0	0	0	0	31	11910	2	0	0	0	0	0	2	0	259	0	0	0	0	0	0	7	0	0	0	0	0	0	13	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	80	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	87	0	0	0	0	0	0	48	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	323	10	0	5	0	0	0	0	0	0	0	0	0	0	0	0	34	0	157	0	0	0	0	0	0	0	0	0	2517	0	0	0	1	0	0	0	0	36	0	0	3	0	0	1	7	0	0	0	0	0	6	0	0	0	0	0	0	0	27	0	0	0	2	46	0	158	0	0	0	0	0	9	0	4	0	4	0	0	0	0	0	0	2	0	233	3387	0	0	0	0	0	3	0	0	0	0	0	0	0	2	6	47	62	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	4	0	0	0	0	0	1	26877	0	0	1	0	0	0	0	0	0	0	0
MI25	3	0	1	26	0	0	6	23	2	4	0	7	1	188	0	14	2	0	0	121	0	0	0	129	0	51	0	0	11	182	0	175	453	2	8	0	18	76	0	0	0	1	208	50	0	10	223	145	0	2	0	0	148	0	0	19	48	1	2	3	40	0	142	43	70	0	0	20	0	0	2	14	0	0	4	164	823	0	21	299	11	7	15	0	0	135	0	2	70	8	8	5	2	43	0	0	0	9	4	0	0	0	2	63	20	330	37	5	0	378	0	22	21	0	68	0	73	0	678	0	75	61	0	11	0	0	24	507	0	77	823	32	84	191	0	0	16	0	56	0	0	44	1	0	0	1	0	0	7	382	0	0	1	0	2	0	0	2	19	73	67	30	144	93	16	0	37	115	130	51	470	92	0	0	0	14	3	0	0	98	36	4	0	7	119	0	1	0	34	0	281	5	0	0	0	99	5	9142	0	166	25	5430	6744	0	0	602	0	12	2	2347	988	0	0	0	110	61	333	301	0	81	27	69	6	291	0	5356	4560	350	2023	0	0	91	0	142	435	285	0	3	25	4	153	1	0	127	59	0	0	49	0	22	13	256	0	26	46	2	0	0	0	0	0	15	30	4	13	0	33	3	40	17	11	113	0	2796	0	1436	241	17	1	74	0	1	185	2	2	2
MI22	6	0	0	0	0	0	0	0	0	0	0	0	0	60	0	89	0	2	0	4	0	0	2	6	6	0	0	8	0	0	0	0	2	0	0	0	6	0	0	0	19	0	0	0	0	0	0	28	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	39	0	0	0	2	0	0	1	0	0	0	0	109	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	10	171	0	133	0	0	0	0	0	0	0	1	972	0	1	10	0	0	0	0	0	0	0	0	0	95	0	0	0	13	0	1	6	0	0	0	0	0	0	0	0	0	50	1	7	4	3	0	0	12	3	0	8	0	0	0	0	0	22	0	39	23	38	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	915	0	0	0	4096	4842	0	0	0	3	0	28	1774	7	0	0	0	0	15	0	3	0	1	4	0	2	0	0	7	5	0	5	0	0	1	0	272	1257	0	0	5	0	0	1	1	0	0	0	0	0	1797	0	0	0	0	11	4	0	0	2	0	0	0	0	3	0	4	1	706	0	0	0	0	0	8	0	1197	4	1401	10	84	0	191	2	0	0	0	0	0
MI14	627	0	0	0	0	0	0	0	0	0	0	0	0	797	0	209	0	0	0	0	0	0	0	2	0	0	0	0	0	27	0	0	2	0	0	2	4	0	0	15	0	0	64	5	0	0	72	103	0	0	0	0	5	5	0	8	50	0	0	1	0	0	51	10	0	0	0	46	0	0	123	0	0	0	0	99	583	0	0	215	0	5	0	0	0	0	0	0	6	35	0	0	0	0	0	0	0	6	3	0	0	2	0	17	0	0	501	0	0	0	0	0	1	2	9	5	68	0	18	0	20	68	32	0	0	28	0	129	0	63	329	9	13	53	0	0	6	6	10	0	0	0	0	0	0	0	0	0	0	1	352	76	0	0	0	0	0	0	0	6	6	0	65	102	2	0	3	153	0	17	354	0	0	0	0	2	22	2	1477	54	111	0	0	0	0	0	0	7	7	23	603	2	11	8	3	25	45	2910	0	0	1	2361	894	0	0	0	0	1	328	2511	3904	0	0	0	18	2217	7	44	3	14	10	3	2	0	0	0	411	2	147	30	8	130	8	157	467	0	99	1256	0	36	168	0	447	0	0	4	0	48	399	1	0	6	0	2	0	0	0	0	0	0	0	5	0	1	29	1587	1	0	0	3	0	279	24	3292	0	939	434	416	0	16	0	1	0	0	0	0
MI16	10	0	0	0	0	22	30	20	0	24	0	0	0	4302	0	1	0	0	0	0	2	0	3	6	6	0	0	11	0	23	0	2	2	1	1	0	28	0	0	1	1	0	46	0	31	0	38	13	0	0	0	0	2	0	26	71	11	0	0	13	4	19	34	39	0	0	0	115	4	0	8	0	4	0	0	97	371	0	404	50	4	0	4	0	0	0	17	0	20	7	0	0	0	0	0	0	0	53	13	0	0	0	0	146	11	20	149	2	0	0	0	8	2	2	54	0	10	0	57	34	53	133	6	9	0	4	4	245	0	105	1183	7	14	0	0	0	0	1	0	4	6	4	0	0	0	0	0	0	165	6	27	0	0	20	0	0	0	0	45	0	25	14	0	18	0	0	11	3	124	4	193	8	0	0	0	16	0	0	122	29	144	0	0	0	15	0	0	2	7	0	349	0	7	0	5	18	8	3818	1	0	8	1810	1078	5	0	0	2	27	0	759	512	0	0	10	7	581	0	58	11	21	59	3	10	0	0	1	608	2	301	1	0	168	2	333	1385	0	0	0	0	22	72	7	0	0	0	0	2	373	8	0	2	0	0	3	0	0	0	0	0	0	0	41	0	14	115	12	0	0	5	1	2	76	7	1440	1	3024	18	31	0	253	1	1	0	2	1	0
MI1	7	0	0	0	0	0	0	0	1	0	0	0	0	1295	0	6	0	0	0	0	0	0	3	70	1	0	6	0	0	0	0	0	78	0	2	0	2	1	0	0	0	0	1	2	2	0	2	22	0	0	0	0	0	0	2	0	0	2	0	0	0	6	0	2	0	0	0	189	0	0	0	0	0	0	1	0	9	0	0	77	12	0	0	0	0	0	79	6	2	1	0	0	0	2	0	0	0	0	4	0	1	10	2	4	0	2	12	3	0	0	0	0	0	0	0	0	4	0	61	1924	0	212	0	0	0	0	2	8	0	7	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	366	0	0	0	0	0	0	0	0	2	210	16	0	11	0	0	1	0	1	0	2	1	0	0	0	2	8	0	13	228	30	0	0	2	0	0	9	0	5	1	407	0	0	0	0	0	1	4420	0	68	2	982	468	52	0	2	44	12	25	506	17	44	0	0	2	11	0	0	0	2	4	4	0	0	0	56	8	0	15	0	0	10	0	247	1049	11	0	5	0	2	2	0	0	2	0	0	0	385	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	1	2	0	0	0	0	0	0	48	1	399	130	537	98	48	2	114	0	0	0	0	0	0
MI2	6	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	2	4	4	0	0	0	2	0	0	0	0	8	0	4	0	12	0	0	0	0	0	18	0	0	0	4	348	0	0	0	0	0	0	0	8	2	0	1	0	0	0	3	1	0	0	0	279	0	0	148	0	0	0	1	14	86	0	15	144	0	0	11	0	0	0	2	0	8	3	2	0	0	0	0	0	0	3	0	0	0	0	6	12	2	0	19	0	0	0	0	0	0	0	2	0	3	0	15	0	14	810	0	0	0	0	0	18	0	11	783	0	2	0	0	0	0	1	0	0	0	4	0	0	0	0	0	2	10	0	0	13	0	0	0	0	0	0	0	0	38	0	0	8	2	0	0	0	21	0	47	0	0	0	0	1	0	1	45	14	32	0	0	0	10	0	0	0	0	0	179	2	0	0	0	2	0	794	0	2	0	954	486	1	0	4	2	2	70	545	109	77	0	1	2	92	0	6	0	0	0	0	2	3	0	2	60	0	44	0	0	36	0	7248	740	2	0	42	0	0	7	0	0	2	0	0	0	25	14	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	172	0	2038	0	1366	247	251	0	18	0	1	0	0	0	0
MI3	32	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	6	30	0	0	0	0	2	7	0	0	0	1	88	0	0	3	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	58	0	0	12	0	0	0	0	5	39	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	2	25	0	6	0	0	0	0	0	7	0	4	0	0	0	0	99	7	0	0	11	0	14	0	7	799	0	0	4	5	6	0	0	0	0	4	0	0	0	0	0	0	0	0	6	0	9	0	3	0	2	0	0	0	0	9	0	2	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	588	123	257	0	0	0	10	0	1	0	1	0	131	0	1	0	0	0	0	1084	0	2	0	1051	551	7	2	16	0	0	40	535	45	0	0	0	0	34	3	4	0	0	0	0	0	0	0	2	17	0	24	0	0	9	7	484	435	0	943	73	0	4	6	3	25	1	0	0	0	234	42	0	5	0	6	0	0	0	0	0	0	0	0	2	0	0	0	1185	0	0	0	0	0	1989	0	1129	0	2098	53	158	3	63	0	0	0	1	0	0
MI4	79	0	2	0	0	0	0	0	0	0	0	0	0	275	27	0	0	0	0	0	0	0	0	321	0	2	0	0	0	61	0	0	893	0	5	1	395	4	0	1	0	4	125	9	0	0	13	183	0	0	0	2	9	0	0	193	18	0	0	0	63	1	4	36	0	0	0	39	0	0	8	0	0	0	19	167	709	0	8	103	0	32	0	0	0	0	162	0	59	2	0	0	0	0	0	0	0	1	0	0	0	0	0	53	3	1	877	13	0	0	0	0	21	26	33	0	53	0	614	0	82	7	15	49	0	160	0	420	0	145	498	0	21	55	0	0	4	0	11	15	0	3	0	0	0	0	0	0	18	89	0	0	0	0	0	6	0	0	0	2	607	14	55	138	0	0	36	90	3	3	310	37	0	0	0	1	0	0	7	30	35	2	0	0	12	0	0	0	1	2	321	0	8	5	3	4	27	37	0	311	10	108	144	0	0	2124	0	49	0	52	887	0	0	3	6	1371	15	194	4	8	2	12	1	1	0	29	473	2	213	0	0	228	54	287	502	0	772	18	2	37	85	0	67	6	0	22	0	455	19	4	0	0	0	31	1	0	0	0	0	0	0	239	0	10	45	2	0	0	0	7	0	78	541	1561	0	1123	30	212	8	128	0	0	7	0	0	0
MI5	92	0	0	0	21	61	51	260	2	0	0	0	0	262	0	27	5128	0	0	0	0	0	0	1	0	0	0	2	0	13	0	0	7	0	0	0	0	0	0	0	0	0	8	2	4	0	4	196	0	0	1	6	13	0	9	3	2	2	2	0	3	14	1	3	0	2	0	76	0	4	32	0	0	0	0	11	92	73	65	395	0	0	0	0	0	0	0	0	6	25	2	0	0	1	0	0	4	0	0	0	5	2	0	10	0	0	10	1	0	0	0	5	2	0	43	0	9	0	0	0	10	50	3	1	35	51	382	53	0	119	507	0	5	2	15	5	0	0	0	0	7	0	2	0	0	1	0	0	89	0	13	15	0	0	67	0	4	0	29	0	0	0	1	13	0	0	2	4	32	0	45	0	2	0	0	0	7	0	214	15	27	1	0	4	2	0	9	0	8	9	186	1	7	0	3	0	2	2124	0	0	34	1822	1508	0	0	0	0	1	164	812	74	0	0	10	6	63	7	14	4	7	25	0	0	0	0	8	138	6	38	0	0	38	41	490	728	0	62	15	3	27	11	0	76	6	0	4	0	266	17	1	1	12	4	5	0	0	0	0	0	0	0	3	2	0	13	525	0	0	0	9	0	455	0	706	73045	2697	814	574	8725	401	0	0	0	887	0	0
MI6	8	0	0	0	0	0	0	0	0	0	0	0	0	23	32	15	0	0	0	0	0	0	0	10	0	0	1	0	0	63	0	3	12	0	0	0	21	1	0	0	0	0	12	21	0	0	0	17	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	5	0	0	0	93	0	1	66	0	0	0	0	10	53	0	0	710	0	0	2	0	0	0	0	0	1	8	0	0	0	0	0	0	0	8	4	0	0	0	0	19	4	0	0	0	6	0	0	0	0	0	120	0	3	0	10	0	4	27	16	0	0	19	3	80	0	24	926	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	1116	85	0	0	1	2	0	0	2	0	34	4	0	0	0	0	13	37	0	0	36	0	0	0	0	0	5	0	528	3	472	4	0	0	491	0	0	1	1	0	569	0	4	0	0	0	0	4857	0	4	28	3124	339	10	0	16	0	2	8	1449	98	0	0	0	0	6	30	13	0	0	0	0	0	0	0	3	77	0	119	0	0	66	4	335	71	0	229	191	3	0	19	24	0	2	0	0	0	164	125	0	19	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	1	0	0	2	0	299	0	910	0	2122	18	269	0	2685	0	0	10	5	0	0
