feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Oxalobacteraceae	Group	MI	3.36326865925702	0.610908642090101	84	29	4.11607431025151e-07	1.81107269651066e-05
Leuconostocaceae	Group	MI	-4.34370335674627	0.822462879912391	84	38	1.03286609014944e-06	2.27230539832878e-05
