"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON34",191,191,191,3.33716580320016,0.940511549103589,1.06325116470192,191,191,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON34"
"CON35",177,177,177,3.32098091660418,0.942124945093013,1.06143033915875,177,177,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON35"
"CON36",228,228,228,3.43400494796671,0.945023345243488,1.05817491708879,228,228,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON36"
"CON37",200,200,200,3.6833233314599,0.955648461749453,1.04640988818143,200,200,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON37"
"CON38",200,200,200,3.71093022857536,0.955278082741143,1.04681560067884,200,200,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON38"
"CON39",178,178,178,3.29593520380124,0.943407122184647,1.05998775765472,178,178,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON39"
"CON40",184,184,184,3.40932679636549,0.946657641200646,1.05634809933156,184,184,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON40"
"CON41",187,187,187,3.29177074883333,0.932527333287586,1.0723546262977,187,187,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON41"
"CON42",177,177,177,3.41186014017455,0.948071019212881,1.05477330256359,177,177,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON42"
"CON43",212,212,212,3.63489397192888,0.953363689521235,1.04891764915253,212,212,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON43"
"CON44",174,174,174,3.63016387517413,0.95151738099817,1.05095295153828,174,174,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON44"
"CON45",118,118,118,3.00550643446127,0.921673510785552,1.08498290153494,118,118,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON45"
"CON46",233,233,233,3.48584381630646,0.93976130718441,1.06409999257798,233,233,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON46"
"CON47",224,224,224,3.39182933913614,0.934403409842502,1.07020157403809,224,224,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON47"
"MI1",196,196,196,3.67623159675865,0.954742369233442,1.04740297720619,196,196,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI1"
"MI2",220,220,220,3.65126798941909,0.950334296104781,1.05226129804932,220,220,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI2"
"MI3",186,186,186,3.50733597981166,0.947838124377568,1.05503247261413,186,186,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI3"
"MI4",190,190,190,3.3371682869452,0.939072734089933,1.06488024164509,190,190,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI4"
"MI5",212,212,212,3.71104704297046,0.949481871574614,1.05320599575177,212,212,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI5"
"MI6",187,187,187,3.4485727955135,0.950699175591552,1.05185743889782,187,187,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI6"
"MI7",156,156,156,3.53434107967368,0.951286276836382,1.05120826858306,156,156,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI7"
"MI8",240,240,240,3.84384944807754,0.954860923578732,1.04727293295456,240,240,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI8"
"MI9",220,220,220,3.39606391168158,0.942054399315537,1.06150982440777,220,220,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI9"
