"","Observed","Richness","Number","Shannon","Simpson","InvSimpson","Chao1","ACE","Data_Type","Conversion_Factor","Singletons_Present","Reliability_Note","Group","SampleID"
"CON34",98,98,98,3.39458152775122,0.934676971686826,1.06988834676785,98,98,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON34"
"CON35",170,170,170,3.59576633839902,0.940496810564601,1.06326782692615,170,170,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON35"
"CON36",93,93,93,3.30683890084304,0.931518865232945,1.07351556401376,93,93,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON36"
"CON37",121,121,121,3.56311808281818,0.940746287477887,1.06298585847303,121,121,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON37"
"CON38",127,127,127,3.63834401153983,0.942807443413918,1.06066196972203,127,127,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON38"
"CON39",105,105,105,3.5727807339898,0.943144080123153,1.06028338731599,105,105,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON39"
"CON40",123,123,123,3.53602893816486,0.940700882596413,1.06303716569279,123,123,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON40"
"CON41",124,124,124,3.32073122532713,0.930266547058952,1.07496072299011,124,124,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON41"
"CON42",163,163,163,3.60546822950985,0.940673212916884,1.06306843467898,163,163,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON42"
"CON43",170,170,170,3.56149756897899,0.93920986874801,1.06472475777222,170,170,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON43"
"CON44",170,170,170,3.56690579158334,0.937938478763633,1.06616800850113,170,170,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON44"
"CON45",76,76,76,2.44039220148446,0.887066752488052,1.12731087846004,76,76,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON45"
"CON46",174,174,174,3.5527699105317,0.937761603122425,1.0663691034804,174,174,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON46"
"CON47",180,180,180,3.44612299007649,0.932263573723697,1.07265802095618,180,180,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","Control","CON47"
"MI1",173,173,173,3.61559555463931,0.94131107023601,1.06234807134402,173,173,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI1"
"MI2",174,174,174,3.64254612147619,0.940734566640851,1.06299910246816,174,174,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI2"
"MI3",174,174,174,3.62696031776911,0.939924315088133,1.06391544930534,174,174,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI3"
"MI4",184,184,184,3.47849583719856,0.935246664473013,1.06923663883204,184,184,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI4"
"MI5",184,184,184,3.65967526701005,0.940889389464675,1.06282418655923,184,184,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI5"
"MI6",156,156,156,3.67037445411666,0.943797100533178,1.05954976915597,156,156,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI6"
"MI7",165,165,165,3.54077175478222,0.938579614487754,1.06543971823399,165,165,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI7"
"MI8",184,184,184,3.66720130946897,0.940761428684937,1.06296875010902,184,184,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI8"
"MI9",174,174,174,3.52702797068287,0.938904016287781,1.06507159693893,174,174,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI9"
"MI10",168,168,168,3.64158907242931,0.942942129398322,1.0605104691187,168,168,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI10"
"MI11",181,181,181,3.62242512772602,0.939030585122127,1.06492803945246,181,181,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI11"
"MI12",181,181,181,3.7586240962496,0.944348920614548,1.05893063270431,181,181,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI12"
"MI13",170,170,170,3.46035143383609,0.93755591027241,1.0666030569947,170,170,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI13"
"MI14",153,153,153,3.49006220637375,0.934605182441873,1.06997052743413,153,153,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI14"
"MI15",137,137,137,3.08342872171261,0.92160360996631,1.08506519417448,137,137,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI15"
"MI16",178,178,178,3.64343358480908,0.942000439015629,1.06157063052431,178,178,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI16"
"MI17",170,170,170,3.64205381342336,0.941591761015104,1.06203138281704,170,170,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI17"
"MI18",180,180,180,3.54534583134497,0.939505078231159,1.06439020200161,180,180,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI18"
"MI19",171,171,171,3.60915699128143,0.939199395988024,1.06473663023177,171,171,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI19"
"MI20",157,157,157,3.5380536021904,0.938118113659455,1.06596385406008,157,157,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI20"
"MI21",159,159,159,3.66630154814444,0.942581022003972,1.06091675586036,159,159,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI21"
"MI22",167,167,167,3.76100714294864,0.946238004944892,1.05681656705201,167,167,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI22"
"MI23",153,153,153,3.68419921851595,0.94537960863552,1.05777614713238,153,153,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI23"
"MI24",147,147,147,3.60200436933257,0.941569720699535,1.06205624290579,147,147,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI24"
"MI25",174,174,174,3.70463076498107,0.944869509065323,1.05834720075708,174,174,"Relative_abundance",1e+06,FALSE,"Chao1_ACE_based_on_converted_data_interpret_with_caution","MI","MI25"
