ID	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI30	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
k__Viruses|p__Negarnaviricota|c__Ellioviricetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000359994080388249	0	0	0	0	0	0	0	0	0	0	0	0	0.000297502891828957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000359994080388249	0	0	0	0	0	0	0	0	0	0	0	0	0.000297502891828957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000359994080388249	0	0	0	0	0	0	0	0	0	0	0	0	0.000297502891828957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae|g__Orthobunyavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000359994080388249	0	0	0	0	0	0	0	0	0	0	0	0	0.000297502891828957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae|g__Orthobunyavirus|s__Jatobal_orthobunyavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000359994080388249	0	0	0	0	0	0	0	0	0	0	0	0	0.000297502891828957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota	0	0.000292426900455011	0	0.000889633074015883	0	0	0.000451872148345213	0	0	0.000428766823738246	0	0.000928450524311402	0.000618655374563324	0	0.000501448014717165	0	0	0.000759149686098506	0.00135584449341262	0	0	0	0.000540922482316875	0.000953699137456041	0.000980883586297024	0.000973194132019713	0	0	0	0.00178282980705124	0	0.00294227116853771	0.000480535243481143	0	0.000294504445940214	0	0	0	0	0.000931616830890796	0.00118937220436124	0	0.00149547610924045	0.00111962981779207	0	0	0.00131756265121437	0	0	0	0	0	0.000634898650866548	0	0.000420519868208378	0	0	0	0	0	0	0	0	0	0	0.00189595063267268	0	0	0.000194744400408768	0.00168636819201612	0.000469624230044018	0	0.000401673613932941	0.000746614968156149	0.000166181271943977	0	0	0.000692215585797576	0.000205443135483853	0.000395735212550558	0.000218127712163223	0.000913363609616162	0	0.000238637475470056	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes	0	0.000292426900455011	0	0	0	0	0.000451872148345213	0	0	0.000428766823738246	0	0.000506427558715311	0.000618655374563324	0	0.000501448014717165	0	0	0.000759149686098506	0.00135584449341262	0	0	0	0.000540922482316875	0.000953699137456041	0	0.000973194132019713	0	0	0	0.00178282980705124	0	0.00294227116853771	0.000480535243481143	0	0.000294504445940214	0	0	0	0	0.000931616830890796	0.00118937220436124	0	0	0.00111962981779207	0	0	0.00131756265121437	0	0	0	0	0	0.000634898650866548	0	0.000420519868208378	0	0	0	0	0	0	0	0	0	0	0.00189595063267268	0	0	0.000194744400408768	0.00168636819201612	0	0	0.000401673613932941	0.000746614968156149	0.000166181271943977	0	0	0.000692215585797576	0.000205443135483853	0.000395735212550558	0.000218127712163223	0.000913363609616162	0	0.000238637475470056	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000759149686098506	0.000591641233489142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000294504445940214	0	0	0	0	0.000931616830890796	0	0	0	0	0	0	0	0	0	0	0	0	0.000317449325433274	0	0	0	0	0	0	0	0	0	0	0	0	0.00035801195457383	0	0	0	0.00168636819201612	0	0	0	0.000746614968156149	0	0	0	0	0	0.000395735212550558	0.000218127712163223	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Bicaudaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000759149686098506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Bicaudaviridae|g__Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000759149686098506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
