Compounds	AMI1	AMI2	AMI3	AMI4	AMI5	AMI6	AMI7	AMI8	AMI9	AMI10	AMI11	AMI12	AMI13	AMI14	AMI15	AMI16	AMI17	AMI18	AMI19	AMI20	AMI21	AMI22	AMI23	AMI24	AMI25	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44
(3-Methoxy-4-hydroxyphenyl)ethylene glycol sulfate	3755.44	2146.88	1664.39	6069.7	2466.51	3474.0	3792.46	2205.6	4907.15	3678.58	3029.16	3141.64	2717.44	2741.6	2545.09	3148.59	7606.02	3309.1	2527.6	2481.58	4531.0	2541.4	2131.43	2140.37	3642.77	4100.87	3499.72	5929.2	3501.86	5873.51	3307.1	3477.32	3258.99	5561.75	5427.58	3843.06	4728.28	4753.47	3821.61	4188.55	2516.47	1529.07	3173.38	5088.83	6145.08	4574.41	3197.92	3733.37	1988.18	7563.78	3161.25	3367.67	2273.26	3487.77	2215.12	1571.27	2467.85	2482.9	2615.92	1934.84	2514.17	2050.34	2277.32	3351.86	2588.44	4788.67	5218.46	3779.38	2747.82
Thr-Ser	872.94	211.38	561.17	441.63	386.75	196.57	462.19	987.21	550.38	569.5	737.55	879.15	478.97	622.35	485.0	377.42	851.56	395.29	365.04	662.99	406.12	1254.02	1213.87	221.6	706.79	241.06	218.99	357.95	442.61	349.91	320.28	331.59	350.4	528.45	585.07	335.38	403.65	641.34	576.71	426.47	165.67	281.06	646.08	280.27	587.49	503.34	207.59	429.93	184.05	374.33	200.9	311.08	788.69	448.5	580.26	481.75	637.08	478.25	705.49	630.35	396.28	641.99	242.64	446.98	587.92	520.54	378.18	324.48	270.65
Phe-Pro	7865.59	4065.67	4999.44	1980.81	8168.53	6060.47	5174.88	2982.79	3959.28	3777.58	4281.63	12409.01	9652.08	3360.21	7494.39	4429.07	5790.59	6471.31	6593.82	3783.47	6784.95	6869.93	21238.06	3402.68	5473.33	8190.21	3079.66	3461.01	4043.91	5131.16	10268.32	3108.34	14431.55	7002.37	9616.24	6255.91	7908.78	3740.77	4952.3	5285.36	6909.15	3414.4	7621.76	5098.52	8422.37	5673.48	2164.34	4723.75	2729.42	5871.56	5005.27	4511.6	8439.52	6821.13	4382.16	4475.81	4026.82	8781.61	5346.64	6734.6	9029.28	10915.5	8480.85	4434.56	4525.97	5946.32	4757.91	4427.97	7766.21
Androstanolone	1831.21	879.71	585.91	1010.48	1257.14	1255.5	803.59	1546.64	2778.72	816.82	2972.4	2914.71	3436.37	1480.45	17227.53	1280.61	2827.18	3063.72	678.63	659.55	3313.14	3829.49	1250.67	1535.38	1157.27	5677.21	725.82	1266.4	2690.05	1313.73	7623.57	2549.86	5388.94	1356.85	4566.38	1122.28	1909.78	1008.82	786.77	3860.59	1118.37	1549.04	2169.24	1740.23	7542.17	762.34	1286.62	2048.69	656.86	2875.91	1818.21	744.51	3014.42	4123.15	2598.84	740.57	721.47	3280.87	691.14	1753.89	6889.33	1946.44	2216.51	1240.28	2468.11	2169.47	3128.46	963.46	1980.01
Lithocholic acid	1883423.81	2361646.35	2536473.74	2544511.41	2009257.94	2675352.95	1956653.32	2046530.11	2060589.0	2158796.65	2724388.37	2332352.5	2856174.57	1868337.48	2722807.5	1851484.03	2389764.13	2501359.11	2343272.06	2340744.86	2453765.37	2418273.5	2068659.5	2181388.77	2427399.38	2513064.4	2442790.32	2288525.6	2207123.87	2206557.62	2343690.84	2171458.38	2852165.98	2273870.24	2838125.22	2006571.06	2034968.17	2295757.78	2618758.59	2581058.44	2138511.48	2395520.8	2324297.31	2776867.68	2579866.77	2456559.5	2040629.6	2231127.78	2060164.82	2307565.71	2290884.96	2292074.37	2358819.81	2489119.85	2741714.46	2325077.59	2331520.75	2455575.68	2053199.6	2291836.43	2670547.54	2410955.78	2321233.25	2608342.72	2760702.68	2238171.98	2419981.85	2551393.21	2226951.36
Glu-Met	15575.96	13397.05	8741.93	10260.08	19110.03	21545.2	11123.41	9596.17	3318.43	13269.23	8815.25	12357.89	14638.67	13682.22	16406.38	13797.58	17175.82	10865.99	21172.74	17417.83	7437.59	26572.98	44341.54	29791.28	17131.52	23240.86	9610.49	5933.93	10084.35	9080.78	14335.39	7305.14	15883.21	6139.11	9069.63	8592.39	8384.02	8939.3	4592.56	6609.15	12213.56	12006.13	10497.62	9992.83	7536.13	16065.23	10358.26	15641.02	7243.27	5772.54	7606.59	6235.69	5152.55	4223.35	19038.84	9129.45	7285.03	7619.95	9661.4	5282.62	9620.74	16258.49	17958.2	10394.34	5543.27	13389.68	9219.21	14899.68	23133.36
Suberylglycine	15234.44	14814.19	15536.96	13815.77	14655.67	18539.91	12673.79	13702.39	15031.7	17252.56	10183.6	11315.73	14916.6	15598.42	15176.02	13911.9	10684.06	10705.28	16308.58	17870.25	16398.82	10733.5	7455.23	5825.04	13955.48	14138.62	14807.31	17886.3	16381.16	13326.82	14023.87	16520.19	12606.34	10624.43	10627.25	12358.99	14568.97	18100.17	19365.78	11294.1	11055.32	18928.62	11941.9	19835.92	14834.0	14360.17	16635.42	15078.75	15727.82	16924.31	19833.57	17283.48	13208.1	11888.99	11000.29	15447.51	11281.15	14378.77	11950.07	11016.86	10392.13	12607.02	10629.67	15370.54	21151.01	13189.84	15928.99	15070.44	16401.46
Prim-O-glucosylcimifugin	23651.25	7404.14	11001.49	16641.03	25881.7	5890.37	9446.61	2696.42	37979.69	7495.14	12522.24	6878.08	21642.48	14103.66	20711.19	74253.52	10848.65	20291.76	8314.19	2871.52	27225.93	15614.5	31787.7	8970.65	17182.15	8272.1	12842.49	11426.62	12754.66	17512.03	16425.17	1773.98	7513.58	14036.7	14939.12	12981.07	11911.79	8770.68	11657.21	10168.99	7124.16	8774.23	14084.58	11136.69	11057.39	46543.59	8316.01	7549.8	13314.75	10246.01	12852.57	12965.97	6975.98	5916.75	4751.84	16206.75	4417.66	13866.11	2083.39	8113.45	6815.19	4169.51	5472.61	8580.54	13454.58	23919.75	11497.05	10658.69	8412.94
N-Phenylacetylphenylalanine	12548.22	14911.2	778.63	14542.47	15516.88	15086.41	14398.86	10915.18	10301.22	16473.75	19498.51	15817.03	15834.46	9702.94	13834.08	11201.88	14476.35	14292.46	14019.63	13665.53	11984.47	14152.25	15080.85	15898.51	13590.91	16134.47	12717.62	14906.28	13039.69	12549.69	16989.93	13345.9	18241.74	14940.51	15082.37	14390.79	12280.42	11849.84	12320.73	14064.69	14359.67	10696.2	16872.91	12897.12	12238.18	12564.89	12508.4	14892.44	10804.29	13523.09	13945.38	13511.65	15662.62	16361.01	17248.66	15965.01	13239.78	14160.25	14206.95	14838.46	16707.28	16774.89	14582.51	12962.21	9688.88	11916.2	12031.43	15950.25	19198.42
Succinylacetone	31525.97	32229.93	15979.78	23829.46	33715.75	36975.26	17529.65	24519.39	15175.03	27675.51	34764.77	27683.32	30231.33	20663.5	37033.83	26488.89	32390.73	28226.53	34320.46	24180.37	23036.73	28284.8	31845.64	20038.89	31754.79	28848.33	20380.89	24655.09	20914.02	22470.57	30335.67	24459.89	32461.89	25549.98	30631.74	24019.27	35695.26	16256.71	23728.16	17973.23	22880.71	26464.77	12249.14	20543.42	20917.7	28626.09	25960.54	37336.0	27799.93	24510.33	38747.47	29161.82	9471.32	18541.36	21921.37	31574.43	16174.39	17848.13	17900.74	28882.73	13375.4	41849.7	19626.54	37805.45	15439.34	33185.53	22335.94	40419.44	29969.88
N6-Methyladenosine	2196.64	4553.37	2832.23	1984.3	4029.38	2289.71	3145.22	2252.07	1844.4	1917.96	1006.79	996.64	1421.76	1150.92	3278.86	1780.28	4719.87	2854.32	2039.58	1388.43	2162.42	6133.09	896.3	2014.6	6412.43	1045.3	1491.96	1843.39	1535.66	1420.81	3001.82	1621.54	2393.57	2685.53	2576.81	3525.61	1621.77	997.68	864.95	1952.64	1149.05	1800.27	2634.61	2241.89	2159.98	1906.68	1026.33	1640.12	1390.8	1622.77	1921.38	1384.49	1751.67	2457.02	1863.44	1854.28	2641.63	2647.96	2119.55	1354.47	3529.43	862.52	2206.77	1216.93	1655.85	1726.97	1296.85	1203.3	1640.41
2-Cyclohexyl-2-hydroxy-2-phenylacetic acid	866.81	493.53	757.76	730.39	2153.99	1143.45	815.23	620.58	653.53	887.23	1320.26	1016.21	1306.82	817.5	1766.3	779.05	1312.28	708.07	1162.05	755.26	1061.53	904.96	926.58	1200.35	734.38	1642.41	906.98	812.61	1055.96	827.82	924.88	703.64	1341.21	1312.97	1165.05	629.5	1053.38	708.98	903.59	1097.86	657.39	637.04	985.36	631.58	929.1	587.01	591.04	553.91	707.11	604.67	1066.09	765.68	711.77	496.49	1047.98	528.8	632.8	1383.69	655.46	1002.78	1148.31	1140.45	707.16	598.41	471.49	594.42	665.02	692.47	987.51
Biotin	1013.76	629.84	1004.81	815.64	1641.4	1263.46	810.38	890.13	694.35	638.6	839.68	529.93	700.47	1001.78	704.66	733.45	759.18	757.2	755.06	834.68	867.51	3655.86	823.31	527.49	1111.04	2042.56	727.85	1707.55	877.54	862.54	1613.73	1010.79	1745.0	2213.62	895.4	802.62	1196.56	971.23	896.23	923.72	1075.13	969.32	860.23	1037.41	995.68	658.39	1124.27	956.53	550.55	1140.88	1814.16	829.64	984.01	1050.14	986.85	886.35	888.1	1045.27	980.81	950.0	1700.88	891.8	978.6	851.28	1170.84	941.1	2368.22	1861.88	1451.49
3-Acetyl-11-keto-beta-boswellic acid	52055.21	52281.35	47101.44	16781.16	65923.21	16050.88	13437.94	10670.21	16303.52	14886.93	16900.04	12006.81	14031.59	10282.19	17563.1	12002.95	16794.11	16685.43	15510.65	12332.94	12394.03	16597.86	19894.3	12950.99	17761.48	1951.85	11898.04	13009.55	7393.84	31328.69	50781.16	31160.74	6857.01	12158.1	3430.31	11787.06	29428.77	28505.77	40732.63	25649.18	37585.15	37521.95	28866.74	2607.83	11998.55	914.93	12331.76	14051.95	1516.36	6411.14	10132.32	12371.25	4205.22	5653.66	6764.98	13522.13	8745.11	5878.24	6516.39	3861.32	5314.49	11166.71	9465.4	7220.2	16798.12	3291.99	14036.66	7584.78	12308.8
Acetylsalicylic acid	33899.11	49650.78	48720.91	40544.63	34968.56	41974.05	44355.48	57926.81	71459.05	45749.54	58085.51	39804.01	34825.3	52723.41	38986.38	90078.3	107767.07	40495.35	37657.06	51039.64	60742.56	30883.58	71716.08	87818.95	52467.64	204060.81	53413.43	61990.28	50044.21	42402.7	140789.27	39362.11	118112.98	31486.43	90681.18	53110.81	126215.21	37942.93	162989.41	51357.41	52167.28	33680.19	31233.69	41412.86	44851.57	154519.24	91687.98	39452.32	39984.83	80281.82	72304.89	106107.43	65346.9	47331.46	187624.31	61291.53	43030.4	32573.81	118416.05	32427.1	53986.46	36880.27	34044.2	71192.43	177597.65	32224.53	70562.05	77693.73	70921.62
Heptethylene glycol	1632.23	2407.7	3500.47	1902.02	2784.29	2030.61	21086.79	42654.26	24722.67	1841.94	1949.88	1740.31	2802.95	2876.19	16148.23	4786.72	2679.62	3475.18	20268.82	1294.25	1843.27	2032.57	6169.42	26116.07	1944.15	53965.77	4117.12	6407.34	3939.65	20650.2	35928.42	23814.94	4392.95	6350.29	4843.28	6816.63	31031.43	19096.33	33175.9	28064.24	25721.86	26144.49	24152.94	6498.13	5556.43	4251.02	3710.63	5642.89	3611.98	3864.7	4513.12	8112.39	23850.23	24733.24	26847.38	5497.48	18689.47	28459.38	21311.21	37893.26	23514.67	29684.89	22492.62	3750.06	8072.72	3470.07	4318.97	6910.05	6033.43
Phe-Gly	7947.92	4166.69	4814.14	3590.82	4979.38	2887.93	1915.17	4256.17	902.37	2956.86	2256.86	4978.25	3437.66	3594.09	3926.41	2602.93	5478.41	3992.88	3805.58	3173.03	4799.07	5093.65	2770.75	1264.97	4705.52	2047.44	1239.85	1131.35	1993.06	3745.96	1222.8	1487.81	2697.76	2099.17	3008.83	1776.47	3489.83	2697.48	2610.46	2943.58	3713.34	3487.58	1934.55	2883.29	1472.52	4277.81	2551.05	4889.1	3473.72	4010.21	3067.96	1975.24	2727.43	4335.39	3156.86	3330.66	4488.01	1827.3	4413.13	3249.72	1999.04	4488.72	3668.03	4506.4	3164.04	4837.78	3657.89	4844.99	3737.09
Tyrosyl-tryptophan	1898.6	4439.1	1616.97	6385.07	4086.28	9651.84	6302.38	1188.46	5652.84	8627.27	1420.08	4808.2	2250.56	816.84	3498.84	1328.05	10256.37	6204.35	6612.06	2710.47	7632.89	5405.46	7085.64	840.21	2621.35	15718.02	2547.33	2235.26	3670.21	2070.86	3504.5	3923.94	13477.51	13304.96	3256.26	3847.59	4922.07	4257.49	4983.76	1795.82	5219.34	3458.88	3181.37	4350.52	3842.99	18142.31	10149.54	14124.88	12829.83	6685.25	1397.52	1443.23	4852.86	1467.84	3003.31	3839.88	4031.33	1533.61	6411.94	10036.88	3100.71	2200.54	1364.64	3650.98	3817.53	7998.22	8132.07	5484.35	10892.51
7-[2-(3-Hydroxyoctyl)-5-oxopyrrolidin-1-YL]heptanoic acid	36.53	83.68	36.15	60.29	28.39	54.81	69.53	42.89	25.92	39.71	114.19	93.56	83.22	76.78	91.16	38.97	84.2	72.52	118.12	62.24	27.13	73.02	100.65	112.42	31.45	34.87	31.77	31.36	75.29	71.42	491.35	292.08	105.75	117.55	451.41	107.12	98.58	89.76	26.07	1469.79	111.33	86.83	106.24	27.56	24.02	92.8	95.53	114.92	95.47	445.22	116.14	121.54	1422.54	110.33	67.02	92.46	105.65	28.07	74.75	114.48	990.35	102.25	163.65	2337.15	89.23	81.08	107.87	104.39	1959.78
(2E)-3-(1H-indol-2-yl)prop-2-enoic acid	1519.44	2237.43	595.4	1491.59	1568.07	3041.12	1433.46	1441.92	486.06	1397.82	1623.82	1616.56	1559.09	1515.85	2820.37	4337.99	1465.41	1649.32	1765.41	1350.34	1330.97	1284.91	1953.73	1696.84	888.57	501.43	9674.15	2351.41	780.84	1427.13	584.42	500.92	679.65	2403.67	1658.4	1330.89	1369.47	1792.25	3241.44	1226.51	1945.72	5058.09	1208.69	1194.42	1845.66	1427.8	5867.21	1320.32	8234.33	6887.53	4399.17	8576.27	1938.28	2475.74	1800.85	601.02	1239.86	3487.59	451.46	4205.43	1008.62	6840.56	11400.32	1452.53	2593.98	1535.77	10756.9	2665.74	3406.22
Maleic acid	5494.77	5325.21	1993.95	6169.04	5915.75	5531.25	5751.03	4318.92	5534.31	5768.15	4814.37	5320.43	5015.72	5418.2	6390.59	6051.46	5198.61	4609.24	6327.7	4924.58	5907.1	5046.83	6361.58	5312.4	5956.67	6404.56	6458.42	5914.78	5487.45	5932.48	6428.61	6615.72	6759.95	7105.23	7012.41	8269.55	6501.15	6550.93	1775.32	6439.37	6239.52	6685.88	6131.51	9167.91	7651.74	7152.22	4712.64	6713.53	7414.16	7210.57	6743.12	7699.37	6727.34	6844.03	6357.55	9381.31	5651.98	6164.49	6602.02	7052.46	7920.29	7302.28	5904.28	6950.01	1871.6	6933.61	6304.88	6926.91	9117.27
Inosine triphosphate	1407486.4	2612629.01	5460274.97	1237632.6	1575300.03	166430.15	2182681.64	970649.54	4341697.59	1851267.84	2571013.32	1220951.53	1840084.36	2488475.57	1856974.86	3260934.89	327266.44	2521394.85	1964929.54	1725996.27	2069472.78	2505175.91	333351.46	127800.9	1334049.36	2962336.76	1978434.04	1606109.4	1508293.58	505577.25	1487382.1	2109350.72	2670522.24	3042029.17	234533.61	3732479.67	1758753.26	1460074.57	2262203.46	1274430.57	3929477.59	4400270.05	819134.47	2301990.32	2566255.65	3248339.4	2730323.17	1326971.69	1966708.09	247866.36	3129426.66	2448367.23	1584957.38	2087950.2	2903328.79	3617001.85	1135473.09	2021174.39	720796.89	1843153.97	1779349.63	2410747.32	1693231.26	1394394.81	2538553.96	1250273.78	1855928.01	1227352.82	2243053.75
N-cyclopropyl-11-(3-hydroxy-5-pentylphenoxy)undecanamide	1824.45	1328.94	1319.36	3455.82	3940.25	1495.25	791.27	599.84	896.16	1240.87	2505.5	3876.6	1418.88	1116.48	2051.83	860.52	5071.02	1667.54	3528.05	1188.32	2179.09	1236.29	1776.26	1317.73	1816.95	3079.51	814.44	1835.95	778.47	2049.82	1396.01	945.28	991.69	2159.63	1454.96	1270.38	2482.82	1043.61	2015.47	1787.54	1977.23	946.88	1337.93	487.64	1610.0	1796.36	1203.79	1351.47	2059.52	1274.84	1756.71	515.15	862.76	1584.43	2429.36	851.1	516.04	3041.63	867.34	1666.34	1006.53	1751.62	1656.08	2326.16	2035.89	2624.25	552.66	2237.46	1157.92
3-(4-((3-Phenoxybenzyl)amino)phenyl)propanoic acid	9272.41	2022.88	2299.38	8666.0	7101.53	2039.22	2217.13	400.53	10102.15	2820.15	5280.04	3767.33	6556.4	2597.78	6122.1	12905.8	5035.93	9236.48	4356.32	1744.1	9229.26	6004.15	7932.72	3714.13	9196.94	2140.35	4157.71	3597.17	4377.29	7802.53	2786.33	486.28	1489.3	8278.78	4535.21	3049.34	2757.59	1116.94	3111.47	4401.07	2705.04	3625.25	3390.06	5311.56	2949.2	12305.83	2922.6	3233.67	2835.22	2813.26	3973.32	2857.13	5392.67	2754.16	1320.06	2972.4	1225.07	5666.63	474.29	2494.69	1221.36	1431.24	2338.12	2581.78	4861.67	5192.3	3069.01	2723.03	3046.65
1-Deoxynojirimycin	1424.89	4407.46	4502.13	4169.99	1368.2	4973.68	6967.76	6551.6	6529.16	6435.1	4408.74	7462.96	5534.74	6231.73	4243.1	6329.1	4420.32	5602.33	5387.53	6201.87	4776.38	6264.38	7319.43	7397.16	3913.92	7233.88	6207.15	7492.0	7868.11	5454.56	5146.55	5986.49	7273.74	7216.22	5963.65	7871.34	4291.83	5555.72	3800.23	6249.67	5987.88	7038.03	8211.59	8968.64	6676.37	4695.35	6550.33	6109.07	6076.67	6135.13	6278.42	7312.92	7104.03	1968.52	7183.22	6791.0	7024.14	6726.22	7234.28	7252.93	6420.32	6415.14	7452.0	6865.29	4605.05	6159.75	4494.28	6156.13	7467.88
5-Bromo-4-hydroxy-[1,1'-biphenyl]-3-carboxylic acid	37238.21	43403.93	43188.98	45762.05	43068.45	50262.98	43502.36	53597.94	50695.47	56975.39	49047.24	42518.42	46026.27	55666.55	45439.61	56644.98	44562.81	54968.68	51800.34	46339.99	52451.46	49366.59	37751.86	54793.0	52212.83	44417.23	55705.02	46849.67	55445.03	36779.55	37578.95	47293.25	58764.9	56258.16	46345.37	54423.51	46615.75	48518.61	51335.16	40166.1	49129.79	52978.31	49123.1	61557.72	43339.58	41989.74	41329.18	46006.09	52550.05	57482.94	42238.83	55416.38	36390.66	53658.42	45586.29	47055.7	49681.6	36003.17	42070.01	51474.99	52317.25	48585.18	41125.73	60407.43	47162.02	56056.59	50634.29	41394.26	54751.33
Janex-1	89.42	15.19	109.55	82.83	15.19	102.14	15.19	167.57	114.88	15.19	15.19	92.57	15.19	15.19	15.19	15.19	15.19	16.05	15.19	15.19	115.98	111.44	323.72	15.19	15.19	459.7	199.34	95.49	15.19	103.29	109.86	15.19	115.91	187.7	105.2	15.19	88.68	263.6	310.36	15.19	78.56	15.19	15.19	95.43	216.62	302.62	400.12	507.69	458.25	227.15	15.19	15.19	207.75	15.19	15.19	15.19	82.26	15.19	277.41	151.32	15.19	15.19	15.19	107.17	415.92	15.19	430.16	172.52	427.05
3-Methoxytyramine	17930.98	14368.93	12752.3	9145.35	15071.33	18300.82	10398.34	10396.33	10443.71	10874.45	17333.85	13557.8	11914.75	11460.14	9834.07	11434.64	17223.28	10697.56	14862.73	12028.21	13462.5	11532.41	8387.99	5103.07	13667.29	13631.21	8376.33	10284.42	10132.18	12883.28	14397.65	9535.99	11660.46	12876.37	11617.8	9723.07	10730.55	9307.21	10441.28	9664.26	10966.03	12263.49	11678.34	13066.26	13432.9	15487.92	14231.43	15356.98	10528.89	11127.39	13830.03	11261.63	10688.54	10711.84	15198.47	11901.35	11355.5	11855.77	10378.33	10085.34	10327.2	19864.7	13658.43	13307.52	10781.63	20246.28	10753.17	15265.35	13809.74
Ecdysone	9.13	9.14	9.14	9.14	59.04	12.62	9.14	9.14	9.14	9.14	9.14	9.14	9.14	13.37	9.13	9.14	9.14	9.14	9.14	9.15	9.14	9.14	9.14	9.14	9.14	75.72	1550.86	78.74	63.95	2123.35	2899.3	2001.91	66.35	479.17	83.44	9.14	1315.42	1845.39	2217.47	1620.7	2123.27	1735.15	1674.0	88.05	9.14	108.43	49.06	13.5	11.23	58.83	134.63	8.34	1234.72	1876.94	1687.62	8.51	1588.64	1759.07	1340.07	785.9	1676.23	1743.42	1307.03	8.57	118.24	149.25	190.03	58.4	40.9
3,4-Dihydroxybenzaldehyde	6.7	7.42	7.49	43.92	6.86	249.13	464.28	385.83	322.97	6.92	6.27	6.65	7.64	7.55	40.1	46.46	8.14	683.37	41.92	185.11	375.95	7.46	195.82	1755.51	7.88	7.44	872.76	162.51	45.24	54.45	7.24	61.44	100.77	293.48	1952.26	81.11	78.51	7.46	177.33	653.34	177.63	422.9	7.61	69.2	55.46	7.76	61.01	7.46	67.22	73.95	7.99	39.78	7.48	7.28	7.34	45.64	7.35	37.36	7.56	1223.87	7.51	8.54	72.05	53.78	43.29	56.98	53.6	62.85	47.26
FAA(17:1)	6762.52	5338.6	1123.43	1148.67	1277.4	2810.04	2045.71	1977.31	620.45	1498.86	2799.91	912.61	946.26	1126.86	834.46	3294.75	1481.67	1069.33	737.21	1741.18	2410.79	1531.28	1086.05	3506.38	838.9	2752.33	630.91	4893.1	1001.9	1413.47	1462.55	1692.96	2171.76	2841.47	2674.79	4252.63	4214.49	1666.28	7014.14	4164.38	3535.43	1323.11	946.44	1964.15	1341.0	3149.2	1703.15	1142.81	8641.81	3352.42	1926.07	2316.1	608.93	5808.55	1848.06	8166.48	2211.62	856.8	927.24	30507.41	7381.66	12290.57	2426.02	648.8	644.73	1570.98	695.39	847.58	2029.68
2-Methylvaleric acid	3260.6	5065.36	1887.13	2508.57	2176.29	2873.2	1751.56	2207.13	3436.08	2299.73	2622.31	3002.54	3679.16	693.97	3980.19	2491.43	2890.32	3411.38	2604.7	809.22	1499.35	2078.06	676.19	639.45	3476.81	1976.79	3137.98	2720.39	3372.02	2648.95	5164.56	708.04	2685.98	3222.45	1588.62	4587.87	2479.2	2192.36	1902.28	3980.82	4296.73	2233.45	1291.19	3277.38	2953.08	2796.56	2886.82	3354.12	1969.27	1147.44	3067.75	4288.66	2246.79	2892.21	3672.34	3490.29	1108.92	1370.31	2452.03	874.55	1562.99	2377.06	2365.03	2131.72	4282.96	1514.42	1634.96	2542.61	2509.04
Iminodiacetic acid	6949.7	12765.19	8448.2	3246.26	13316.96	13313.56	9758.9	8247.39	7475.85	9094.61	12954.71	11588.91	10966.58	7465.96	6086.4	8416.39	12959.08	7412.9	10997.46	13994.01	5768.71	11214.31	13015.13	7944.29	10609.85	13756.43	8093.95	4953.35	10125.17	12664.03	11170.34	4816.95	11665.19	9240.15	9631.93	7561.25	8360.11	15124.98	5374.25	11424.29	11884.48	11865.95	16600.05	11433.98	9142.84	14520.49	10218.89	12640.3	8169.96	5876.65	8734.99	9098.11	9005.07	10873.89	13950.54	10104.76	13583.46	4631.56	9551.37	12869.31	12219.62	17460.53	11338.68	8778.24	5347.29	9058.2	5892.51	13161.25	14863.32
Prima-1	18556.29	24096.11	22065.06	16161.03	15232.07	25234.73	19775.61	19040.44	26240.65	29164.34	26512.45	20019.5	22018.25	22095.54	24402.92	12281.57	21699.78	19393.27	24647.39	21046.2	11747.63	19045.33	24642.74	20966.64	11308.99	21042.14	24032.0	22651.86	17611.8	11683.49	17444.44	12692.36	15279.77	19099.52	23670.91	25793.94	25049.17	22303.45	17795.66	16870.94	16072.24	20067.05	21750.59	20469.32	23166.51	16246.06	16114.67	17464.16	19795.47	16207.62	19045.32	18509.07	17888.49	17874.68	17669.74	15162.29	19141.94	16273.27	18479.85	17947.65	13726.52	16335.92	14528.44	11081.84	13307.73	21302.69	12704.77	17646.87	16301.09
6-Methylthioguanine	4671.86	3200.93	7765.59	5705.77	2230.56	6494.65	8997.66	13608.5	9444.87	3856.68	8168.38	5807.73	6467.91	14919.59	4487.56	10895.23	4137.95	8482.18	4176.07	10912.79	15637.35	6308.4	11338.52	11552.96	9477.0	11246.76	22338.5	13536.58	17196.4	10454.85	7918.57	11283.36	11479.53	14601.81	13039.12	9644.91	8072.54	11862.22	6010.97	11014.31	8803.24	7526.13	9401.02	13404.97	15258.61	9930.13	9783.0	14370.77	12091.92	13314.95	12998.75	11853.85	7286.91	5756.24	7710.34	19354.59	12148.76	6295.83	11709.63	13968.98	10428.49	6307.9	10408.76	14557.24	13768.63	16631.15	11328.51	11193.98	12972.34
Ethylene-glycol-salicylate	2875.78	17394.52	9040.28	4325.42	6986.76	124452.88	4932.33	4222.7	23227.06	1400.65	10760.79	2103.12	4963.66	6630.31	2417.23	11421.33	126071.31	7196.94	3565.0	4745.72	5602.42	2958.19	1485.22	118583.74	1578.47	10800.14	4695.66	1432.6	1485.52	2392.46	5762.93	3492.73	2607.88	9136.61	133350.45	5651.35	5259.25	3863.71	4308.72	3624.9	23138.49	17205.45	1652.71	13265.13	15148.18	13931.75	5161.39	3617.14	5579.5	1270.77	7832.37	5914.94	2110.44	4870.28	13877.56	12018.59	1263.62	5631.84	2226.93	7734.01	3738.52	9135.69	2639.03	1889.81	1996.99	2765.5	3293.4	3954.0	7272.65
Gly-Val	21791.47	15852.52	15376.33	16755.73	16793.53	12578.21	18639.08	19813.87	15228.67	11388.06	23216.07	31130.18	13421.31	20395.19	12752.3	11217.49	22352.76	11183.29	17722.21	14159.55	15835.91	15181.05	19402.59	10843.87	19245.48	18953.8	19202.74	11674.58	19371.63	21013.63	17481.4	20989.45	17697.49	25451.32	23461.48	16686.25	25598.21	13871.29	13532.66	19694.68	17212.26	15891.89	17630.95	12863.25	14644.34	11701.36	15391.24	20727.71	12753.89	12774.45	13119.15	5313.29	23389.25	22866.16	22264.91	20807.67	24139.54	22972.34	23955.96	23399.71	19098.76	27819.33	25720.07	16980.24	11208.59	21546.79	20324.33	15131.39	15230.36
Pinolenic acid	1190.7	2084.57	3303.3	1707.65	1359.58	2069.43	2164.03	2044.65	2622.94	2580.64	2075.11	2302.74	2261.73	2410.53	2356.53	2544.02	1995.61	2308.66	2378.55	2088.86	2478.43	1900.5	2327.24	2081.53	2411.46	2690.0	2385.43	2665.21	2327.32	2063.49	2608.6	2696.36	2916.82	2362.02	2198.16	2782.6	2106.93	2423.75	3449.07	3233.43	2587.36	1841.16	989.1	2252.47	3207.06	2614.03	2676.44	2648.97	2748.56	2241.63	2393.67	2267.57	2483.28	1943.1	2337.52	2814.88	2661.33	2224.17	2497.89	3449.55	2218.71	2355.78	2247.22	2357.69	3094.59	2728.88	3217.62	1464.97	2363.96
5-Aminopentanoic acid	41802.82	54017.43	56479.61	58692.78	36825.19	38263.02	21661.13	23993.15	41351.33	67199.38	13446.0	18198.37	28670.67	28865.0	35955.05	33888.77	43120.74	40150.58	34632.29	30939.02	43068.56	32501.31	41047.38	29531.98	43400.95	40677.82	36179.57	25859.3	22959.18	46339.56	33549.51	25407.6	30438.14	33742.95	36146.99	28948.53	38224.12	25225.71	42247.2	31971.07	16165.22	30420.69	25619.97	46683.72	19058.51	48312.95	33502.95	25832.11	32816.58	42422.89	47502.21	42910.76	31830.36	18680.68	26302.19	35818.28	20527.98	17472.5	34488.57	29918.27	22232.78	50268.15	28706.27	35097.81	62821.38	33425.87	27776.04	40563.83	37400.49
