ID,MI35,MI33,MI32,MI38,MI36,MI34,MI37,MI27,MI28,MI29,MI31,MI17,MI21,MI20,MI24,MI23,MI26,MI19,MI18,MI15,MI25,MI22,MI14,MI16,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47
Progesterone-mediated oocyte maturation,159.327,161.279,171.195,205.257,206.569,142.149,163.564,117.85,184.462,185.054,146.814,163.028,205.245,49.842,211.55,145.677,108.584,164.13,176.249,19.231,167.016,146.849,184.616,171.925,151.017,143.226,168.6,156.925,172.849,160.444,210.204,174.941,218.424,89.685,176.813,55.832,198.204,200.564,75.32,154.897,140.147,191.693,120.222,30.65,181.308,12.864,210.202,161.294,40.99,207.957,153.411,224.558,197.454,221.466,186.289,110.169,150.755,155.209,185.772,136.431,149.41,219.545,246.172,178.343,145.238,173.495,166.908,229.258,91.841,137.335,148.844,217.884,172.289,167.105,180.993,179.253,202.053,195.305,179.047,224.39,154.551,167.487,208.569,138.993
Prolactin signaling pathway,1.464,4.896,1.037,2.623,12.49,2.898,3.492,6.335,1.454,4.399,4.184,10.494,5.685,0.825,0.86,0.127,1.672,1.872,56.58,10.03,6.814,1.363,2.996,3.113,2.291,0.978,1.5,19.855,6.549,1.228,41.57,2.015,73.491,20.203,1.581,3.001,69.217,10.459,3.805,1.56,3.656,1.704,24.483,0,2.527,0.403,0.735,2.707,0,4.025,0.74,8.037,4.604,17.984,3.247,3.693,8.894,5.856,18.512,8.081,0.233,11.622,9.629,4.864,1.218,3.91,3.353,15.652,2.54,4.036,7.638,3.976,0.814,5.719,4.707,4.988,0.761,0.828,18.663,15.779,9.036,0.357,8.753,3.434
Propanoate metabolism,1653.359,2130.38,1573.67,1914.664,2209.576,1091.75,1841.163,1804.537,1623.681,1592.565,1599.397,1491.668,1971.186,738.366,1681.638,1868.194,1330.44,1629.999,2042.862,433.497,1937.679,1728.878,1818.305,1749.997,1586.281,1537.519,1619.798,1500.275,1938.069,2248.831,1957.064,1594.303,2925.69,1550.43,1417.429,762.473,2178.817,1893.301,1400.043,1964.938,1597.095,1760.459,1629.7,2525.37,1604.403,1603.496,1749.478,1715.218,2756.189,1691.811,1708.859,2486.05,1218.462,2594.334,1509.579,2158.252,1276.365,2192.454,1868.536,1543.702,1375.489,2161.879,1913.109,2539.396,1866.729,1853.275,1791.599,2040.769,1602.634,1998.873,2073.921,2336.56,1111.388,1825.516,1732.612,2279.02,1755.745,1630.808,1847.787,1575.172,1632.898,1739.777,2149.93,1600.184
Prostate cancer,159.327,161.279,171.195,205.257,206.569,142.149,163.564,117.85,184.462,185.054,146.814,163.028,205.245,49.842,211.55,145.677,108.584,164.13,176.249,19.231,167.016,146.849,184.616,171.925,151.017,143.226,168.6,156.925,172.849,160.444,210.204,174.941,218.424,89.685,176.813,55.832,198.204,200.564,75.32,154.897,140.147,191.693,120.222,30.65,181.308,12.864,210.202,161.294,40.99,207.957,153.411,224.558,197.454,221.466,186.289,110.169,150.755,155.209,185.772,136.431,149.41,219.545,246.172,178.343,145.238,173.495,166.908,229.258,91.841,137.335,148.844,217.884,172.289,167.105,180.993,179.253,202.053,195.305,179.047,224.331,154.551,167.487,208.569,138.993
Proteasome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protein digestion and absorption,6.844,8.631,71.122,56.954,44.65,45.348,11.053,15.814,14.49,6.489,34.301,27.658,10.537,0.028,1.413,0.048,0.397,32.597,6.722,0,2.027,4.751,4.116,1.245,17.807,15.421,31.715,128.504,4.632,60.88,53.942,13.383,11.698,0,10.445,2.418,22.476,13.807,8.231,37.253,22.338,14.984,0,9.349,20.489,0.478,11.264,41.581,0.97,13.981,70.541,27.322,1.999,3.653,2.11,2.999,26.427,13.667,25.666,9.841,4.13,6.999,0,13.673,0.978,6.259,11.375,5.23,4.95,10.297,10.06,6.861,4.18,16.161,39.752,35.324,4.862,5.58,0.18,2.488,0,3.098,2.863,5.918
Protein export,2348.167,2671.003,2372.856,3040.971,3170.581,2371.603,2290.485,2662.982,2307.724,3234.117,2270.428,2110.309,2638.198,850.232,3022.51,2401.981,2376.905,2755.071,1828.958,442.889,2789.145,2694.496,2400.04,2862.123,2342.119,2538.16,2612.011,2493.224,2639.814,3200.584,2390.223,2426.965,2149.749,2375.258,2261.213,870.01,2191.947,2693.218,3163.89,2815.727,2457.241,2641.198,2395.116,2303.693,2317.403,3452.87,2726.991,2679.112,3893.623,2676.818,3152.671,2916.372,1844.16,2710.319,2297.396,2904.672,2399.387,2740.217,2664.326,2123.881,2501.216,2630.341,2472.673,2454.75,2537.348,2589.785,2674.262,2968.585,2079.547,2525.296,2553.678,2696.396,1893.548,2560.315,2606.954,3143.271,3122.725,2324.085,2361.883,2514.257,2630.483,2183.219,2880.729,2785.451
Protein processing in endoplasmic reticulum,1130.086,1375.123,1141.112,1306.079,891.818,834.795,1482.596,780.505,1306.849,1249.58,1235.061,699.05,1750.966,347.34,1655.344,1395.216,1211.405,1131.135,1017.925,44.23,1460.028,1218.143,829.277,1366.678,1006.405,820.187,893.011,1018.806,842,1079.613,685.538,943.686,845.909,887.347,844.98,329.166,625.303,953.72,1739.366,1197.088,860.789,1134.198,875.578,1834.332,1166.038,1681.403,1118.271,1161.128,3021.65,1073.595,1074.865,1019.484,1025.575,1064.646,996.149,1091.554,753.512,1271.842,912.848,686.269,1203.812,672.183,718.345,1239.323,1409.828,1188.039,948.666,1028.097,751.425,1103.542,642.57,839.305,857.417,1133.546,1107.329,1585.847,1454.719,1280.25,1146.685,790.523,1020.681,912.577,1093.357,741.04
Proteoglycans in cancer,78.53,72.232,67.334,72.833,89.853,82.926,44.28,70.953,45.806,161.735,131.136,31.341,123.227,20.51,42.249,101.484,52.929,76.034,38.811,5.464,72.003,56.182,80.029,72.613,51.965,69.195,85.861,35.912,100.849,35.944,27.779,88.691,36.328,120.366,67.874,33.504,25.117,44.016,34.209,70.591,74.258,99.202,69.532,8.367,80.269,6.799,72.704,46.651,23.56,67.52,49.24,94.223,51.542,56.576,54.966,82.963,81.958,57.904,69.041,84.638,130.759,14.189,20.525,71.421,47.344,50.958,77.311,68.053,104.217,143.207,65.551,67.723,28.571,63.188,50.228,42.911,45.518,44.53,64.37,47.341,39.594,129.234,46.642,54.304
Proximal tubule bicarbonate reclamation,39.591,49.742,49.998,89.969,118.938,54.254,49.359,34.429,48.488,38.418,57.088,36.323,31.028,5.299,20.654,19.356,24.438,45.905,100.84,24.502,26.932,63.913,45.432,29.647,88.268,84.492,88.63,111.889,67.985,89.442,132.087,90.047,151.142,29.442,36.715,17.631,154.129,49.452,21.363,62.828,62.627,37.01,30.429,50.914,56.42,3.99,40.542,96.341,58.432,54.003,87.235,56.29,32.931,49.812,32.666,18.227,66.784,50.929,75.929,40.565,15.959,56.125,20,70.951,24.403,40.081,38.924,114.699,16.878,39.996,33.069,23.029,11.749,57.201,62.854,52.789,18.807,16.918,39.923,33.248,23.425,15.057,38.352,23.491
