ID,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii,0,0,0,0,0,1046,0,0,21932,0,225,0,0,0,0,113,0,1352,195,0,984,0,0,0,0,0,0,736,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5823,0,0,0,2051,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis,0,0,0,0,0,659,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,461,2801,0,185,0,0,0,412,0,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1674,0,3828,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii,0,0,0,895,0,3654,0,341,3443,51,330,0,2086,0,0,0,0,0,1236,10819,1063,0,1654,861,0,0,0,8965,0,4541,1237,0,0,1361,0,0,0,0,558,99,2222,0,0,0,0,1631,0,0,0,0,0,1319,0,0,0,0,446,0,0,0,0,0,0,0,1668,7415,0,1435,0,0,0,639,7664,0,0,0,0,3975,0,0,2269,0,0,285
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,75,0,0,374,1229,818,226,0,0,1689,0,410,1857,0,0,814,401,1318,3995,0,80,0,0,1127,747,12295,267,11700,0,4529,8229,7019,1005,2388,1943,2068,0,0,0,0,1058,1338,520,2551,2900,210,729,666,752,0,186,7431,0,76,608,1806,2191,0,1403,53,2643,0,4671,8457,0,73849,2347,957,1832,2761,2689,1638,12919,1645,1184,130,12861,929,744,5460,9476,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,2336,0,0,0,234,3324,677,0,3446,0,405,754,0,0,0,827,2000,0,2236,3457,1436,0,0,4514,896,12828,252,5837,186,4938,14476,3193,718,0,11312,0,0,3509,313,0,7459,760,0,4671,1945,4010,7959,0,88,0,0,5478,0,0,4691,1811,5162,0,3224,0,9231,0,0,1383,4158,9312,531,5959,1220,9424,1090,432,11160,0,86,0,1984,0,0,5264,0,0,0,1731
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_radicidentis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02,0,0,0,0,0,1141,0,0,0,0,0,582,144,0,0,0,361,232,582,0,769,0,0,0,168,4301,0,2707,0,3125,2059,719,448,147,407,0,0,0,0,0,0,2227,0,546,2433,144,431,0,0,0,0,668,0,0,152,0,1163,0,0,93,816,0,228,650,0,1528,145,154,417,5674,711,418,1273,0,392,0,724,148,696,8428,2850,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247,0,0,0,0,0,0,0,0,7959,0,0,0,0,0,0,0,0,0,0,5382,0,0,0,0,0,8133,0,409,0,0,0,397,0,0,0,0,0,758,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,373,0,0,1367,0,0,0,0,126,240,0,0,0,802,0,0,0,0,0,234,0,0,0,385,283,0,0,962
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47,0,0,0,0,0,257,1502,0,0,0,0,839,141,26,0,0,0,835,3709,0,0,0,0,146,6875,0,0,37007,0,2536,1116,1677,875,2215,741,899,0,0,0,0,0,7319,54,31,2028,0,0,89,29,0,0,879,0,0,1436,507,167,0,0,0,761,0,0,0,0,0,0,0,0,3883,0,0,8144,0,0,0,815,0,0,11254,32,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3780,0,0,0,846,0,0,955,0,0,0,4026,0,0,776,242,0,957,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,837,0,0,0,0,0,0,0,0,1163,0,0,0,0,0,0,382,0,0,0,0,0,0,4790,6722,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,9001,0,0,0,99,92,0,0,0,0,0,0,0,0,0,0,0,22,0,1184,0,0,0,0,0,0,0,0,0,0,0,510,0,0,272,0,0,0,799,0,759,239,0,0,252,0,0,211,0,0,0,925,0,0,313,510,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0,135,0,1086,0,3150,0,0,1573,0,0,0,2222,0,0,2363,0,0,0,2404,0,1825,0,0,314,0,0,0,0,0,0,733,0,653,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448,0,0,0,0,0,0,669,0,0,0,0,0,0,0,0,0,660,0,0,0,0,4095,340,0,0,24541,0,484,0,0,0,0,23054,596,0,0,0,0,0,0,61,0,665,896,5338,0,1694,0,0,0,0,2021,0,0,640,0,0,0,7062,0,0,0,0,0,0,1297,0,0,0,8138,224,0,3895,0,0,0,0,0,0,617,2209,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,0,0,0,0,0,0,0,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0
