Feature	CON1	CON2	CON4	CON5	CON3	CON6	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON43	CON44	CON45	CON38	CON39	CON40	CON41	CON42	CON46	CON47	CON20	CON21	CON22	CON23	MI33	MI32	MI38	MI36	MI34	MI35	MI37	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI2	MI1	MI12	MI4	MI11	MI13	MI3	MI8	MI5	MI9	MI7	MI10	MI6
GW2011-AR15	0	0	0	195	0	0	790	0	0	54	30	0	117	72	0	0	30	36	0	126	0	0	0	72	0	0	0	0	99	0	0	0	0	0	0	0	0	51	54	0	0	0	30	0	30	0	69	162	0	84	0	96	0	0	96	39	699	0	0	253	0	0	0	0	0	111	72	0	42	201	99	0	0	0	0	0	0	0	0	195	0	126	48	246
GW2011-AR17	0	0	0	0	51	60	0	0	123	0	36	0	0	0	30	45	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	51	0	0	0	0	0	0	30	0	0	0	0	0	30	0	0	30	0	0	0	0	0	0	96	0	0	0	0	48	0	105	33	0	0	0	0	0	0	45	249	0	30	51	0	0	0	0	0	0	33	96	219	0
GW2011-AR18	0	0	0	0	0	0	0	333	831	39	0	186	0	177	30	0	0	0	231	0	0	0	0	0	78	0	240	69	156	33	0	108	0	0	0	42	0	0	294	0	282	120	0	0	72	0	0	0	495	0	108	0	0	0	63	423	0	0	0	0	0	768	0	0	0	0	2091	0	0	0	201	0	63	2670	0	0	333	60	33	138	0	0	66	0
GW2011-AR20	0	108	0	51	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	126	0	0	0	0	0	36	0	0	0	111	0	138	33	0	171	96	0	0	33	0	0	0	0	39	0	36	315	0	0	0	0	87	0	0	0	0	0
GW2011-AR4	51	33	0	0	0	0	51	135	0	120	33	69	48	0	33	279	579	0	0	0	0	183	441	99	0	0	0	0	48	225	0	138	0	0	87	0	0	0	0	129	0	0	111	0	0	69	54	0	42	0	0	0	90	0	48	54	0	120	39	30	771	186	0	81	0	282	0	201	0	33	0	0	30	54	0	102	0	0	132	0	0	102	0	0
GW2011-AR5	60	0	57	0	0	0	0	0	0	0	0	0	96	0	156	0	63	0	0	0	0	0	0	0	63	0	0	66	0	81	0	0	48	54	0	0	0	0	0	87	0	66	0	0	0	0	36	0	0	0	57	0	0	0	105	342	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	258	48	0
GW2011-AR9	0	51	39	36	39	279	87	69	0	45	69	30	0	48	0	196	96	78	339	66	0	33	0	48	99	0	0	0	0	63	189	90	57	336	0	201	0	42	0	99	0	48	66	471	0	36	0	0	261	0	99	63	153	54	0	276	117	45	495	48	30	0	30	165	0	0	0	48	234	72	0	102	84	289	30	115	30	295	108	78	0	0	33	0
Gearchaeaceae	0	0	54	0	0	0	0	0	279	0	135	0	138	36	0	0	0	0	189	63	0	0	0	0	57	0	0	99	0	30	69	0	0	0	0	57	0	0	0	0	327	33	78	0	0	171	855	0	0	0	39	213	0	60	45	195	0	0	0	0	90	33	120	162	0	0	0	0	0	0	33	0	87	48	0	0	0	48	0	0	0	0	168	93
HEL-GB-A	144	0	0	126	0	0	216	0	147	60	51	0	120	30	42	105	30	75	237	57	0	45	0	0	0	0	36	141	0	327	63	150	0	63	90	0	0	120	180	0	81	255	0	0	30	84	204	39	0	48	0	45	192	0	33	396	210	0	102	96	9111	267	0	171	0	147	0	0	144	0	78	57	0	90	135	36	198	0	30	60	0	66	0	0
HEL-GB-B	0	0	0	33	69	0	0	0	219	0	0	0	0	63	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	90	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	48	99	0	0	0	0	0
HR02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
Hadarchaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	33	0	0	0	0	0
Haladaptataceae	0	2523	0	0	0	75	0	0	0	0	0	0	36	0	42	0	87	297	0	194	222	0	1229	0	99	0	0	0	0	54	0	60	1170	0	0	51	48	0	0	0	270	0	0	0	30	0	0	78	0	0	42	66	0	168	60	0	0	0	69	156	0	45	0	51	144	0	0	63	42	72	170	0	210	0	0	0	0	0	0	0	0	0	0	120
Halalkalicoccaceae	0	0	0	0	0	516	0	0	0	0	0	63	0	0	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	63	0	0	0	0	0	0	39	0	0	0	0
Haloarculaceae	114	102	39	0	57	375	0	96	282	124	394	286	0	429	123	54	93	232	105	0	0	0	4333	0	0	0	0	0	0	48	303	36	1839	141	0	0	0	141	0	42	81	66	63	270	129	0	39	75	30	0	256	0	0	0	39	150	0	0	155	144	0	54	318	139	0	1083	0	69	150	69	952	523	177	0	141	0	1527	0	0	57	582	0	552	204
Halobacteriaceae	0	0	84	0	141	72	33	393	0	0	0	362	186	0	0	0	30	0	0	0	0	0	0	0	95	0	60	0	0	0	0	0	0	0	263	354	0	0	0	75	0	51	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	81	0	297	0	0	0	0	144	0	51	133	0	0	0	0	0	270	0	0	0	324	0	0
Halococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	96	0	0	48	0	0	0	0	0	33	0	0	0	0	0	0	78	0	0	0	0	63	0	0	0	0	51	0	0	0	0	0	87	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	233	204	48	0	0	0	0	0	0	0	0	0	237
Haloferacaceae	546	1567	111	111	189	972	0	573	516	343	301	649	0	90	219	111	90	0	0	373	1021	69	4118	75	0	84	226	234	111	0	589	151	190	345	0	84	429	250	0	69	208	942	126	579	302	94	150	90	0	0	1137	201	0	45	231	132	0	0	357	60	0	255	0	220	244	3487	0	661	36	541	87	81	345	288	444	133	4272	6925	193	0	5436	919	864	84
Hermodarchaeaceae	0	0	0	78	0	102	0	0	0	0	72	0	63	0	30	36	0	0	0	0	63	33	45	0	0	0	51	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	42	114	0	0	51	111	0	0	0	0	0	0	0	0	81	0	78	36	0	0	0	72	75	0	0	66	54	0	0	135	39	0	0	0	0	228	0
Hodarchaeaceae	147	0	188	51	0	99	99	102	0	63	0	51	146	318	72	36	30	315	54	215	0	0	0	0	0	0	30	162	315	266	0	51	0	36	0	72	75	0	0	0	0	0	33	117	0	0	0	297	158	45	57	51	390	0	0	0	111	0	495	0	30	141	0	531	0	0	0	0	30	108	30	120	45	0	0	66	0	0	245	83	45	105	138	48
Huberarchaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
Hydrothermarchaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
Iainarchaeaceae	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	102	0	0	220	228	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	336	0	0	0	45	0	0	0	774	0	66	0	0	63	0	0	252	0	0	0	0	423	0	0	0	0	0	645	0	0	0	0	831	0	0	0	0	36
Ignisphaeraceae	0	0	0	0	0	0	0	45	0	0	0	111	285	63	0	0	39	0	0	0	0	0	90	0	0	0	42	0	0	60	39	0	0	0	42	0	0	0	612	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	492	0	0	126	60	0	0	66	0	138	0	0	48	0	0	0	0	0	0	39
J072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0
J096	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAADEF01	0	0	0	0	0	96	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	39	0	54	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	78	0	0	78	0	0	0	0	0	0
JAADFM01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
JAAOZO01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	87	0	0	0
JAAOZP01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	93	0	0	0	48	0	0	0	0	0	0	36	0	0	0
JAAZKV01	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	69	69	0	0	0	0	0	69	0	33	0	0	0	0	0	30	0	0	0	0	99	0	63	51	0	0	0	0	0	60	0	195	0	0	0	0
JABGXB01	0	0	0	36	0	72	0	150	420	216	0	0	0	48	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	255	0	0	0	81	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	150	0	0	0	270	0	0	0	0	0	0	30	0	0	39	0	0	0	0	0	114	0	0	0	51	63
JABIAG01	0	0	0	0	0	0	0	0	0	0	0	0	231	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JABLTI01	0	0	0	54	234	39	30	237	0	114	75	141	159	165	0	665	75	156	30	0	87	92	0	0	108	156	0	63	36	150	45	84	0	42	0	150	87	51	42	33	72	0	0	0	0	0	69	54	0	0	57	0	0	500	0	144	0	117	0	0	54	66	39	0	30	204	1545	0	42	39	0	30	0	0	39	0	78	140	299	105	36	144	0	0
JABXJV01	42	0	30	0	0	0	30	0	0	30	0	0	33	92	42	0	84	0	39	0	0	0	0	0	36	0	0	0	51	84	0	75	75	0	48	0	0	78	42	0	108	104	0	0	0	0	0	0	42	0	0	0	0	0	80	75	0	0	30	0	0	42	0	414	0	135	51	0	0	42	42	0	0	213	0	111	0	183	0	33	0	0	75	0
JACAEJ01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	45	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	57	0	30	33	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	45	0	0	33	0	0	0
JACIVX01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
JACIWG01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	309	0	0	0	0	0	0	0	0	0	0
JACPBO01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JACPBV01	0	0	0	30	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	30	0	0
JACPGT01	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JACPIF01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JACPIM01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JACPJC01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JACPNG01	0	39	105	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	33	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0
JACQNH01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0
JACQNV01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JACQSR01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JACQSS01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JACRAC01	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	90	0	0	0	0
JACRGE01	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JACRKL01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	30	0	0	0	0	0	0	0	0
JACTUA01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0
JAEHCK01	0	0	207	0	0	0	0	0	0	0	0	0	201	126	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	42	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	33	0	0	0	0	33	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	102	0	0
JAFCBV01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0
JAFCCC01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	48	0	0	0	0	0	0	0	0	0	0	0
JAFCCJ01	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
