feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Trend	MicrobeClass
Arthrodermataceae	Group	MI	1.06187278757845	0.313163960393468	84	76	0.00107429437226303	0.0207552759144369	Up	fungi
Sordariaceae	Group	MI	0.90445044122947	0.273165315909043	84	69	0.00138368506096246	0.0207552759144369	Up	fungi
Rountreeviridae	Group	MI	-2.37983472572502	0.455459978150758	84	80	1.29775268541795e-06	1.55730322250154e-05	Down	virus
Siphoviridae	Group	MI	-0.881283309617717	0.309468605238505	84	84	0.00556339653400245	0.0333803792040147	Down	virus
Oxalobacteraceae	Group	MI	3.522886482175	0.576057880784778	84	29	3.12147766683585e-08	1.37345017340777e-06	Up	bacteria
Leuconostocaceae	Group	MI	-4.30196436293318	0.809024448831905	84	38	8.91390429847839e-07	1.96105894566525e-05	Down	bacteria
