ID	MI35	MI33	MI32	MI38	MI36	MI34	MI37	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47
CON14__425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	4	0	0	0	0	303	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON14__52589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	45	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON14__53546	0	0	0	0	0	17	3	0	0	0	0	0	0	0	6	0	0	15	0	0	0	0	0	0	0	2	0	0	7	3	0	0	0	4	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	10922	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	3	0	0	3
CON14__57241	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CON14__58832	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	20	0	112	14	2	0	0	171	76	0	4	0	0	52	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	2	1480	25	0	0	0	247	15	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	25	0	21	0	0	0	0	0	0	14	0
CON14__58941	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
CON15__12288	8	8	0	0	0	0	0	0	6	0	0	0	4	0	0	4	11	50	36	81	46	221	14	30	24	20	0	0	122	66	0	26	0	2	144	0	0	0	2	2	0	4	46	0	17	75	4	12	0	14	10	407	4	8	14	35	2	4	35	0	23	0	148	2	10	14	1	401	38	3	112	395	15	7	10	28	66	16	3	141	21	28	67	28
CON15__32317	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	2	0	0	0	0	96	0	0	19	0	0	4	14	0	0	0	0	0	1	0	0	0	0	0	0	8589	0	0	2869	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0
CON15__35922	62	17	865	128	15	0	312	53	46	0	33	2	197	0	370	0	17	5	0	0	136	8	52	2	3	25	130	42	70	27	0	65	0	0	167	0	163	9	0	5	9	8	0	0	148	3	113	124	0	5	0	2306	1	7	35	7	0	27	10	0	41	0	0	16	4	44	17	6	50	82	0	132	19	11	0	27	1	62	9	4	30	0	4	50
CON15__44802	407	51	137	0	36	0	2	0	0	305	0	0	43	0	0	5	1579	0	1	49	1153	17	1469	128	469	3	73	349	10	2	0	98	101	0	133	10	35	16	0	0	0	141	0	0	0	0	13	0	0	5	0	2326	1892	35	3	249	0	0	94	0	41	0	0	80	798	0	12	0	0	344	0	113	289	23	21	0	394	18	7	0	0	0	655	29
CON15__48694	9	26	0	0	0	0	1	0	7	0	0	0	12	2	23	36	191	189	44	360	228	894	104	393	206	47	0	6	375	210	21	39	2	33	496	0	1	4	1	8	0	9	149	0	82	153	18	46	3	83	62	1169	6	183	85	138	9	19	156	0	165	0	671	48	78	32	11	1751	198	35	123	853	92	39	20	112	115	242	15	382	56	94	133	109
CON15__52936	31	13	880	0	0	0	0	52	377	200	48	0	35	375	0	147	0	256	0	0	75	237	48	22	10	2	0	618	0	53	0	2	66	0	22	0	10	0	0	7	26	118	0	0	0	0	707	10	5	34	0	6382	0	0	2	9	0	21	131	0	2	0	0	28	7	11	145	702	1036	9	965	8	20	1	0	0	0	78	27	12	0	0	18	9
CON15__6223	102	18	0	0	0	0	1	41	16	0	0	0	28	0	116	0	0	6	523	0	20	3	21	6	75	20	137	0	13	53	0	44	112	0	154	35	2	35	25	4	3	0	0	0	18	0	145	1	0	15	2	681	2	0	6	0	2	39	11	0	32	0	0	20	3	20	0	4	16	22	0	9	18	113	4	932	0	2	1	122	164	0	0	11
CON15__70153	47	15	64	12	12	119	111	24	213	122	27	0	22	32	133	64	137	108	445	0	42	47	16	110	111	140	176	86	54	133	66	31	52	0	11	61	39	16	9	14	70	12	3	0	296	0	40	104	0	24	3	582	74	52	36	293	13	91	109	117	25	0	810	15	294	781	58	125	64	146	119	107	88	52	12	362	178	377	68	16	388	702	114	37
CON16__17092	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	2047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	1
CON16__18185	5806	582	982	40	610	729	223	866	2319	274	573	14901	574	353	90	389	1209	476	1089	19	564	282	8160	3251	1020	5166	2454	1074	1695	2632	679	724	568	5602	2796	199	178	306	55	2803	635	258	96	161	1236	19	4157	421	34	639	150	2959	7060	707	2435	398	1764	3203	3946	8062	421	317	6788	660	174	882	1993	2630	2852	802	1981	2253	540	4373	674	1345	500	546	394	448	3748	158	293	2119
CON16__20412	0	0	0	0	0	0	0	0	0	30	0	0	3	197	0	4	0	0	0	0	0	48	0	0	2	36	0	0	0	0	0	2	0	0	1	29	0	0	0	0	1	4	0	0	16	0	0	0	0	0	159	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	49	0	5	0	0
CON16__2712	97	74	3280	121	725	282	200	1034	422	592	164	0	145	27	473	19	198	304	2160	0	188	60	797	4302	1295	88	275	275	262	23	21	1056	185	136	132	34	2201	210	17	407	46	82	3	1	213	4	1597	89	37	772	17	313	16800	90	120	329	0	154	185	241	142	0	10	109	464	4195	403	157	184	120	470	307	55	425	840	55	325	69	5717	295	134	21	2412	400
CON16__27821	2710	1532	833	2147	6237	594	527	438	1111	1750	1367	483	1040	437	2191	986	1563	738	903	72	576	807	522	5246	725	3157	1619	710	1742	203	56	942	672	4489	3032	2332	997	657	834	453	2041	703	553	176	1601	28	2589	275	14	979	90	1811	14313	218	1892	875	99	492	861	15510	724	1	2	863	1351	922	918	227	283	1823	538	1540	653	1445	1237	2321	1096	1338	1674	1693	298	1140	634	731
CON16__31626	0	0	0	0	33	4	0	24	225	389	0	0	2	0	0	210	0	0	0	0	0	0	0	102	58	151	507	0	293	0	1330	0	0	2	0	0	29	0	0	0	13	0	1	0	0	0	0	0	0	0	0	14	14700	0	46	0	0	55	1282	0	0	0	0	0	804	0	0	90	462	1959	0	0	54	0	0	0	1477	92	0	2	0	0	2	0
CON16__50320	42	105	4	0	0	0	4	23	19	0	6	0	30	31	6	60	0	0	8	0	0	0	0	69	4	1	2	72	5	1	0	0	402	0	6	2	0	0	0	564	4	0	0	2	8	0	0	23	0	8	0	0	725	0	18	0	8	4	0	0	134	0	0	8	18	0	10	0	28	2	8	0	14	10	59	0	21	169	2	86	0	0	5	0
CON16__57444	18	26	24	121	0	0	0	13	262	336	8	0	998	28	17	0	316	17	10	0	62	88	38	197	202	38	392	83	68	1	0	52	183	0	5	2	15	11	0	4	14	46	0	14	63	0	15	0	0	104	0	22	3198	47	15	1	0	8	53	0	75	0	0	459	27	98	8	4	14	263	556	304	19	279	32	305	4	4	86	12	4	157	12	22
CON16__60662	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	902	0	0	8	15	0	0	6	0	0	0	0	0	0	0	4	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON16__61291	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON16__63907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33675	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON16__68738	13	282	0	15	0	0	0	479	298	34	0	0	79	0	6	0	8	18	0	0	10	11	0	178	261	0	28	83	71	0	0	0	78	0	548	2	0	2	61	101	0	51	0	0	2	47	20	44	0	0	0	125	1662	0	1	440	0	0	330	52	2	0	0	2	0	0	11	0	91	0	2927	0	0	0	0	0	0	165	2287	0	12	0	56	8
