ID,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Viruses|p__Negarnaviricota|c__Ellioviricetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359994,0,0,0,0,0,0,0,0,0,0,0,0,0.000297503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359994,0,0,0,0,0,0,0,0,0,0,0,0,0.000297503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359994,0,0,0,0,0,0,0,0,0,0,0,0,0.000297503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae|g__Orthobunyavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359994,0,0,0,0,0,0,0,0,0,0,0,0,0.000297503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae|g__Orthobunyavirus|s__Jatobal_orthobunyavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000359994,0,0,0,0,0,0,0,0,0,0,0,0,0.000297503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Nucleocytoviricota,0,0.000292427,0,0.000889633,0,0,0.000451872,0,0,0.000428767,0,0.000928451,0.000618655,0,0.000501448,0,0,0.00075915,0.001355844,0,0,0,0.000540922,0.000953699,0.000980884,0.000973194,0,0,0,0.00178283,0,0.002942271,0.000480535,0,0.000294504,0,0,0,0,0.000931617,0.001189372,0,0.001495476,0.00111963,0,0,0.001317563,0,0,0,0,0,0.000634899,0,0.00042052,0,0,0,0,0,0,0,0,0,0,0.001895951,0,0,0.000194744,0.001686368,0.000469624,0,0.000401674,0.000746615,0.000166181,0,0.000692216,0.000205443,0.000395735,0.000218128,0.000913364,0,0.000238637,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes,0,0.000292427,0,0,0,0,0.000451872,0,0,0.000428767,0,0.000506428,0.000618655,0,0.000501448,0,0,0.00075915,0.001355844,0,0,0,0.000540922,0.000953699,0,0.000973194,0,0,0,0.00178283,0,0.002942271,0.000480535,0,0.000294504,0,0,0,0,0.000931617,0.001189372,0,0,0.00111963,0,0,0.001317563,0,0,0,0,0,0.000634899,0,0.00042052,0,0,0,0,0,0,0,0,0,0,0.001895951,0,0,0.000194744,0.001686368,0,0,0.000401674,0.000746615,0.000166181,0,0.000692216,0.000205443,0.000395735,0.000218128,0.000913364,0,0.000238637,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075915,0.000591641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294504,0,0,0,0,0.000931617,0,0,0,0,0,0,0,0,0,0,0,0,0.000317449,0,0,0,0,0,0,0,0,0,0,0,0,0.000358012,0,0,0,0.001686368,0,0,0,0.000746615,0,0,0,0,0.000395735,0.000218128,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Bicaudaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Bicaudaviridae|g__Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Bicaudaviridae|g__Unclassified|s__Sulfolobus_monocaudavirus_SMV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000591641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294504,0,0,0,0,0.000931617,0,0,0,0,0,0,0,0,0,0,0,0,0.000317449,0,0,0,0,0,0,0,0,0,0,0,0,0.000358012,0,0,0,0.001686368,0,0,0,0.000746615,0,0,0,0,0.000395735,0.000218128,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000591641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294504,0,0,0,0,0.000931617,0,0,0,0,0,0,0,0,0,0,0,0,0.000317449,0,0,0,0,0,0,0,0,0,0,0,0,0.000358012,0,0,0,0.001686368,0,0,0,0.000746615,0,0,0,0,0.000395735,0,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis_turfacea_chlorella_virus_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000517565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000358012,0,0,0,0.001231913,0,0,0,0,0,0,0,0,0.000395735,0,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Paramecium_bursaria_Chlorella_virus_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000591641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294504,0,0,0,0,0.000414052,0,0,0,0,0,0,0,0,0,0,0,0,0.000124362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000454456,0,0,0,0.000746615,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Paramecium_bursaria_Chlorella_virus_A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000193088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218128,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Unclassified|s__Chrysochromulina_ericina_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218128,0,0,0,0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales,0,0.000292427,0,0,0,0,0.000451872,0,0,0,0,0,0.000618655,0,0.000501448,0,0,0,0.000399358,0,0,0,0,0.000953699,0,0.000973194,0,0,0,0.00178283,0,0.002148909,0.000480535,0,0,0,0,0,0,0,0.000899786,0,0,0.00111963,0,0,0.001317563,0,0,0,0,0,0.000317449,0,0,0,0,0,0,0,0,0,0,0,0,0.001537939,0,0,0.000194744,0,0,0,0.000401674,0,0,0,0,0,0,0,0.000913364,0,0,0
