feature	泉古菌门..Crenarchaeota.	衣原体门..Chlamydiae.	厚壁菌门..Firmicutes.	变形菌门..Proteobacteria.	拟杆菌门..Bacteroidota.	放线菌门..Actinobacteria.	蓝藻门..Cyanobacteria.	广古菌门..Euryarchaeota.
MI35	0.36263911072879	0.309415545819816	0.173521573645204	0.105715292291931	0.0220065662209216	0.0108604170133853	0.00349967903758826	0.0123418152423644
MI33	0.464318777456499	0.252784047380751	0.133110324040222	0.102041819793899	0.0194025486927415	0.0205207674099781	0.00782171522590926	0
MI32	0.393206024251666	0.229677312161392	0.16417467783235	0.167672364933377	0.0358378998659932	0.00626400433542392	0.00309085290769988	7.68637120980377e-05
MI38	0.492793378020725	0.180512098974157	0.137837814837613	0.0965705310953706	0.0651843993157893	0.0264616303995295	0.000634473968128793	5.67338868669562e-06
MI36	0.457232628558298	0.204439356769038	0.0903224374284921	0.118771422383252	0.124025287186677	0.00389795131070638	0.00131091636353601	0
MI34	0.344970913751879	0.237220075673544	0.236046149769528	0.154625452932042	0.0192673285020582	0.00245646306292982	0.00500536123641204	0.000408255071606399
MI37	0.450885070943104	0.261077772054708	0.154306697221158	0.106888391565262	0.0140199080907205	0.00976857319390892	0.00304855907120902	5.02785993052615e-06
MI27	0.44773490138236	0.219664781354598	0.113347709397161	0.106127566905154	0.0791957405581082	0.0304534619019832	0.00232222649485928	0.00115361200577675
MI28	0.346213201001196	0.278438526326577	0.192044865398845	0.149922122456446	0.0223406898732748	0.00419828002748165	0.00671228944551299	0.000130025470667411
MI29	0.464291100316869	0.246262368244593	0.171686954862138	0.097998502135607	0.0122325592095229	0.00422776059048916	0.00320873566783196	9.2018972948978e-05
MI31	0.39080392141559	0.267836719353659	0.162907212496465	0.137568345297825	0.0193771339612866	0.0200447520237173	0.0014619154514557	0
MI17	0.327585381077185	0.375699939978416	0.165683520108727	0.104570770835797	0.022387601726107	0.00350250638758376	0.00057027988618351	0
MI21	0.456131509604958	0.274065304283596	0.162768630614679	0.0824026975254639	0.0121999814903095	0.00820538073211065	0.00362266075055049	0.000603834998332382
MI20	0.361502371354889	0.350744343367701	0.162460498662639	0.0871073957108609	0.0223838362413999	0.0111914082615537	0.00443067598145336	0.000179470419501908
MI24	0.462510574049776	0.257466981465622	0.156927082924121	0.102148267165317	0.0037277617584743	0.0141289601944316	0.00297186451597696	0.000118507926281522
MI23	0.393457245539554	0.266600473297432	0.174004706259503	0.127943916703214	0.00273975245757725	0.0258413867362439	0.00910455658234433	0.000307962424131787
MI26	0.418197734099223	0.239576690476247	0.175856232175412	0.117616797726039	0.0172242122806227	0.0273802270642147	0.0039602293874861	0.000187876790756225
MI19	0.409270576215689	0.227006747604422	0.213325210247649	0.112806212066969	0.0205254464033363	0.014818350636762	0.00224745682517152	0
MI18	0.417662547400272	0.279214174803392	0.175840385604356	0.0971319132708814	0.0197830328308336	0.00587297896988636	0.00448152553080588	1.34415895725126e-05
MI15	0.4170640071573	0.28101518340582	0.119560917210101	0.181645584349094	0.000514560244920334	0.000191990443142386	7.1107571534217e-06	6.46432468492881e-07
MI25	0.386351233383966	0.231499768301784	0.240132242152608	0.107597695895828	0.00695305762477134	0.0233149628491175	0.00366705969158276	0.000483980100342744
MI22	0.409627543020573	0.29971091751357	0.154014945576866	0.108145425611452	0.0119155686992766	0.00751836172631636	0.00904691462644064	2.03232255052785e-05
MI14	0.22565993629538	0.164624599069163	0.524159447890269	0.0688797421710667	0.00943872063023641	0.00495092486404792	0.00228662907983752	0
MI16	0.384911431541398	0.231825572619525	0.279989982257069	0.0849660545136415	0.00791333889592099	0.00705055866714863	0.00331297437551196	3.00871297852838e-05
MI1	0.437262463069107	0.228397381614477	0.172249920632881	0.106721509288211	0.0266423436259346	0.0133670206521233	0.0153593611172667	0
MI2	0.407473696828866	0.298315306094221	0.131476204966481	0.100656541905262	0.0410440122824974	0.0172581998579951	0.00362573422962369	0.000150303835053067
MI3	0.236196775980848	0.425775165434835	0.098963396998303	0.0663472964167111	0.027774147910416	0.142166804311237	0.00272414285764067	5.2270090009095e-05
MI4	0.369916649862203	0.260809089075877	0.106660983702726	0.114162648872268	0.141393517754679	0.00575476482917499	0.00124200260316413	6.03432999077282e-05
MI5	0.397116161296037	0.258732317987207	0.141639755281105	0.166634974345472	0.0156300027141629	0.0146564796169617	0.00553884259642998	5.14661626233224e-05
MI6	0.490476791279863	0.226607220400629	0.0735619673613043	0.125181209264335	0.0604160934601507	0.0189886534245194	0.0042593361090463	0.000508728700152568
MI7	0.50514956760633	0.166923037272759	0.148228329901494	0.0662087263671064	0.112331019215587	0.000962181040150259	0.00019713859657214	0
MI8	0.392868584737996	0.265776920903485	0.156168778509012	0.128163966614761	0.0454699935753532	0.0083944515351811	0.00312234395874013	3.4960165470475e-05
MI9	0.557174337241392	0.22363728173725	0.130072256121543	0.0731688838671253	0.0112453188306347	0.0033527159391574	0.00111249705019722	0.000236709212700809
MI10	0.468849722091872	0.255380934625485	0.149281147432889	0.098374055035382	0.000678118592431982	0.00356062467240446	0.0238753975495351	0
MI11	0.389267824165355	0.219750358220726	0.258564250212925	0.0954638017189017	0.0228039772679736	0.00975799394162159	0.00437450394307735	1.7290529419278e-05
MI12	0.599552048958081	0.0312611991134553	0.0422507825826889	0.0138417105888605	0.311384548055404	0.00102463874691036	0.000290530252351032	0.00039454170224815
MI13	0.574239691119011	0.211715298242832	0.110483210212631	0.0835056802914371	0.0165700862946175	0.00284344949408184	0.000642033716130794	5.50629259117319e-07
