"","Shannon","Simpson","InvSimpson","Group"
"CON1",3.74854721213978,0.955383876707414,22.4134220143278,"Control"
"CON2",3.07469356346594,0.921966473748755,12.8150046273738,"Control"
"CON3",3.68056537688092,0.953285813130158,21.4067731241105,"Control"
"CON4",3.92485031050327,0.959918571064274,24.9492103089336,"Control"
"CON5",3.87053889945786,0.957111828828831,23.3164523618631,"Control"
"CON6",3.65862484154609,0.955473090433162,22.4583293502308,"Control"
"CON7",2.55747751128556,0.899127829666272,9.91353707064671,"Control"
"CON8",3.74982099952542,0.948824147867119,19.5404660268956,"Control"
"CON9",2.6718098971759,0.918146886410991,12.2170062463485,"Control"
"CON10",3.4168516068646,0.936728957178969,15.8050184636376,"Control"
"CON11",3.44587414311,0.950555955484671,20.2248826891572,"Control"
"CON12",2.43705695786731,0.890251341847174,9.11172871569412,"Control"
"CON13",3.74131211535951,0.953247331598436,21.3891534791318,"Control"
"CON14",3.33475536331905,0.946014705821248,18.5235630408695,"Control"
"CON15",3.20180296130219,0.930715774173384,14.433299760071,"Control"
"CON16",3.43732433307058,0.94864830755651,19.4735548609319,"Control"
"CON17",3.30100270644024,0.93951168453523,16.5321185144001,"Control"
"CON18",3.59755832927192,0.951224416991134,20.5020614477991,"Control"
"CON19",3.05713672184672,0.930610974390225,14.4115008275765,"Control"
"CON20",3.61254278437912,0.95414978402714,21.8101480828777,"Control"
"CON21",3.34603190823381,0.937520828706493,16.0053339264427,"Control"
"CON22",3.64590188656205,0.955370006507888,22.4064563257609,"Control"
"CON23",3.25268695666689,0.928370010439437,13.9606330551605,"Control"
"CON24",3.73298383823978,0.951614830791748,20.6674899842955,"Control"
"CON25",2.8800574051962,0.916625686381044,11.9941017394192,"Control"
"CON26",2.90127691084079,0.913867940412089,11.6100788113553,"Control"
"CON27",3.85014892886121,0.95580857097496,22.6288224224064,"Control"
"CON28",3.13049456498935,0.931542909577658,14.6076906545482,"Control"
"CON29",3.4852469823477,0.94726747972307,18.9636299336424,"Control"
"CON30",3.80158647981678,0.954045833041475,21.7608122654584,"Control"
"CON31",3.62949586166528,0.953738807394605,21.6163904058836,"Control"
"CON32",3.4206577506983,0.940829787013268,16.9003954781139,"Control"
"CON33",3.63379005962262,0.942012186203082,17.2450026052395,"Control"
"CON34",3.35962555085401,0.941001565079178,16.9496021604986,"Control"
"CON35",3.32786966569747,0.942237638715055,17.3123116464532,"Control"
"CON36",3.47581416343027,0.946343328977941,18.6370115952382,"Control"
"CON37",3.73998132590172,0.957677916330259,23.6283262375139,"Control"
"CON38",3.7521255247244,0.956256580238756,22.8605812133139,"Control"
"CON39",3.29901847434522,0.94344932121751,17.6832537032187,"Control"
"CON40",3.41158067443529,0.946691824146784,18.7588486005131,"Control"
"CON41",3.29691194011694,0.9326229435819,14.8418475540786,"Control"
"CON42",3.4257704689165,0.948476187067544,19.4085014886404,"Control"
"CON43",3.66787040263752,0.954081159463425,21.7775533596824,"Control"
"CON44",3.68588813793215,0.953435257003021,21.4754755559348,"Control"
"CON45",3.02036179765839,0.922000591152935,12.820609986426,"Control"
"CON46",3.48870924183089,0.939805863292245,16.6129137270468,"Control"
"CON47",3.43913545383104,0.938639462267798,16.297119239149,"Control"
"MI1",3.70355058706071,0.955780591932736,22.614504438387,"MI"
"MI2",3.660175895197,0.950475991025092,20.1922263705802,"MI"
"MI3",3.51003417278862,0.947872676514969,19.1837971555773,"MI"
