feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Methanobacteriaceae	Micrococcaceae	Myoviridae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Podoviridae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Siphoviridae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON1	0.430859870742036	0.0474299857710041	0.661649801505057	0	0	31.0070606978817	2.00039939988018	65.7514302745708	0	0	0.263279921016023	0.00167999949600015	0	6.16157815152654	0	0.0252899924130023	1.70732948780115	17.9506746147976	0.0809099757270072	2.03168939049318	7.06175788147263	0.288899913330026	0	79.1851262444619	11.399576580127	3.80330885900733	9.96056701182987	0	0	0.960299711910085	0.877769736669077	0.0814499755650072	0	0	0	0	0.0379799886060033	0.0172199948340015	0	8.45168746449375	45.213436435969	0	0.0978599706420087	1.40087957973612	0	0.0631199810640054	2.72156918352924	0.216119935164019
CON2	0.0142500042750013	0	0	0	0	16.9855250956575	0.906090271827081	200.763330228999	0	0.00372000111600033	4.09812122943636	0	0.0195000058500017	29.2348587704576	0	0.135690040707012	0.11709003512701	2.2427406728222	0.381540114462033	0.69534020860206	2.2864206859262	0.762630228789066	0	13.3467340040202	10.3288830986649	0	8.86800266040078	0	0.535740160722048	0.35679010703703	0.0851100255330075	0	0	0	0	0	0.0139800041940013	0	0	1.74426052327816	1.19997035999111	0	0	1.31982039594612	0	0.0657000197100057	1.61631048489314	1.86981056094317
CON3	0.0228899977110002	0	0.529349947065003	0	0.0123899987610001	40.3557859644213	2.05580979441902	57.9706742029324	0.0184199981580001	0	0.259109974089002	0	0.109529989047001	6.81305931869406	0	0.446219955378003	4.77713952228604	0.218399978160002	0	13.5197986480201	13.2885586711441	0.370889962911003	0	55.0650244934974	0	0	0	0	0	0.362129963787003	0	0.684599931540006	0	0	0	0	0	0	2.33405976659402	12.2688287731171	68.3840931615905	0	0.0577799942220003	0.735509926449006	0.0743999925600007	0	11.2227288777271	8.04281919571806
CON4	1.28928038678411	0.0210000063000019	0	0	0.0120600036180011	47.0336241100872	0	43.2360729708218	0.0608400182520054	0	4.58535137560539	0.0153000045900014	0.121290036387011	13.5794140738242	0	0.316140094842027	9.61461288438384	6.82857204857161	0.236400070920021	14.6359843907953	3.82281114684333	1.72530051759015	0	50.9152352745705	24.4620373386112	0.712920213876063	0	0.203580061074018	0	1.1826603547981	0	0	0.00612000183600054	0	0	0	7.56321226896366	0	0	13.7511341253402	13.0641639192492	0	0.882960264888078	33.0633999190198	0.0582000174600051	0	6.98334209500262	0.0169800050940015
CON5	0.395339802330096	0.0305699847150076	0.561509719245138	0	0.0676199661900167	28.8800555599722	4.17770791114602	14.3582028208986	0.0567899716050141	0	0.432359783820106	0.0143399928300036	0.096989951505024	31.9424840287578	0	1.09514945242527	2.88920855539572	0.431999784000105	0	2.27186886406556	6.17762691118653	0.24026987986506	0.222719888640055	60.17165991417	0.00563999718000138	0.0547499726250135	14.3714028142986	0.0102899948550025	0	0.580889709555143	1.97885901057049	0	0	0.00566999716500141	0	0	12.4937037531481	0	0.695009652495171	11.1351544324228	65.1439474280261	15.7385921307039	0	3.97487801256099	0.0769499615250191	1.46015926992036	6.0721169639415	11.6746441626779
CON6	0	0.315420031542003	0	0	0.0271500027150003	0	0	54.2666154266613	0	0	1.17006011700601	0.0348300034830003	0	0	0.0246300024630002	0	0	61.7832661783265	20.4971720497172	23.1957023195702	0.0853200085320006	9.33435093343509	0.107220010722001	16.7853616785362	0.0272100027210003	0.124470012447001	0	0	0	0	0	0	0	0	11.9595311959531	0	0	0	0	0	6.29064062906405	0	0.299850029985003	66.7425066742506	0	0	0	26.8432826843283
CON7	0	0.0253799923860022	0	0	0.00437999868600039	2.67572919728124	0	245.025436492369	0	0	0	0	0	0.628259811522054	0	0	0.11396996580901	0.379499886150032	0	0.103829968851009	0.204839938548018	0	0	7.68443769466868	39.8186880543933	0.0175199947440016	0	0	0	0	0	0	0	0	0	0	0	0.00617999814600054	0	0	0.0215099935470019	0.00122999963100009	0.106259968122009	3.11882906435127	0.0469199859240042	0	0	0.0170999948700015
CON8	2.48241	0.00861	26.15772	0	0	30.8619899999998	8.08064999999997	4.95303	0	0	0.41634	0	1.36221	12.44976	0	0.41442	2.57475	6.68982	0.40305	4.28375999999999	46.8827099999998	0.72372	0	92.56992	0.334139999999997	0.01563	0	0	0.38865	1.87683	0.46011	0	0	0	0.01557	0	0.37848	0	0	6.34128	37.23924	0.13869	1.88808	1.16838	0.01056	0.11808	8.18019	0
CON9	0	0.176490017649001	0	0.0283800028380003	0.0350700035070003	0.152340015234001	0	194.647069464707	0	0	0.221070022107002	0.0283500028350002	0	1.06155010615501	0.0116400011640001	0	0.0441300044130003	0.0595500059550003	0	0.135600013560001	0.145470014547001	0	0	0.961410096141008	100.99570009957	0	0	0.0129600012960001	0	0	0	0	0.323130032313003	0.373230037323003	0.0274500027450003	0	0	0	0	0	0.0362400036240003	0	0.0364500036450003	0.201060020106002	0	0	0.00312000031200003	0.164880016488001
CON10	0.81819016363803	0.0345600069120012	0.146280029256006	0	0.0081000016200003	38.3107576621515	0.984480196896038	17.1935434387087	0	0	0.149430029886006	0	0	8.68767173753433	0	0.0215100043020008	1.57521031504206	0.0740700148140028	0	8.81253176250633	12.0947124189425	0.459540091908018	0	136.111497222299	0	2.6190005238001	0	0.114690022938004	0	0.483630096726018	0.024480004896001	0	0.00258000051600009	0	0.163590032718006	0.0958800191760036	0.232920046584009	0	0.00987000197400039	4.91619098323818	58.7999217599842	0	0	5.82120116424021	0.0186000037200007	0	1.21536024307205	0
