"","Shannon","Simpson","InvSimpson","Group"
"MI35",7.85690532743143,0.998877521205926,890.885427216483,"MI"
"MI33",7.95253626391254,0.999273675191877,1376.79449857129,"MI"
"MI32",7.74683402717665,0.999089050956356,1097.75624331308,"MI"
"MI38",7.69984575125915,0.998981956251984,982.276058321347,"MI"
"MI36",7.44490720339709,0.998677919761097,756.383743266274,"MI"
"MI34",7.02852026997032,0.998099674856397,526.225737404127,"MI"
"MI37",7.38721670723851,0.998597821764934,713.176096298943,"MI"
"MI30",3.86155530281728,0.957804305608644,23.6991004514636,"MI"
"MI27",7.39738348296451,0.99683362495673,315.818557920158,"MI"
"MI28",7.60025814351003,0.998906896733234,914.826650329797,"MI"
"MI29",7.48004899344499,0.998777579682639,818.049230528579,"MI"
"MI31",7.51098273240655,0.998855395450064,873.66418389255,"MI"
"MI17",6.5018887978831,0.996824433520441,314.904445061004,"MI"
"MI21",7.68529663555975,0.999002175479333,1002.1802223613,"MI"
"MI20",5.12006099343431,0.911113027203289,11.2502425106439,"MI"
"MI24",7.57238320423063,0.998519978764163,675.665980856204,"MI"
"MI23",6.77690417492022,0.997337648724282,375.607835495022,"MI"
"MI26",7.39654466023988,0.998494387554694,664.181544937327,"MI"
"MI19",7.27136544818849,0.998515782171572,673.755550463193,"MI"
"MI18",7.47950752370032,0.997344986119552,376.645865155067,"MI"
"MI15",3.91322359734044,0.949887023127938,19.9549111311624,"MI"
"MI25",7.45439564497647,0.9985832924983,705.862006659679,"MI"
"MI22",7.52137436614884,0.998467067733969,652.344543956365,"MI"
"MI14",7.56255168398632,0.997646497681026,424.898667801584,"MI"
"MI16",7.67641881500415,0.998867877083443,883.296314715699,"MI"
"MI1",7.79019123630768,0.99902978679706,1030.70129015961,"MI"
"MI2",7.76645925091077,0.999051788006566,1054.61648547488,"MI"
"MI3",7.42693744377829,0.994495934256115,181.683876343766,"MI"
"MI4",7.29260529895188,0.997734331229459,441.370783321085,"MI"
"MI5",8.14470306082056,0.999338103078095,1510.8092618442,"MI"
"MI6",7.42905917489837,0.998561621893443,695.227489518615,"MI"
"MI7",6.9435026617833,0.997450588425923,392.247375891899,"MI"
"MI8",8.01855909396909,0.999232894923501,1303.60237552401,"MI"
"MI9",7.30946002863338,0.997561316964914,410.05738983412,"MI"
"MI10",6.87229378100788,0.997636495013365,423.100440090005,"MI"
"MI11",8.00424688447909,0.999160210002958,1190.77388814073,"MI"
"MI12",5.86651175638755,0.961982979025306,26.3040073725308,"MI"
"MI13",7.05054940461173,0.995098732102034,204.028839234648,"MI"
"CON1",7.79311385568845,0.99891343763738,920.333737300622,"Control"
"CON2",6.44567522980874,0.992891845877581,140.683499932281,"Control"
"CON3",7.5746871595148,0.998974202869732,974.85162562218,"Control"
"CON4",7.8758961371652,0.999149372605341,1175.60286240302,"Control"
"CON5",7.76981965453912,0.998905457336678,913.623592308978,"Control"
"CON6",6.53894049101707,0.996626377573291,296.417284899132,"Control"
"CON7",5.06569582126461,0.980056960860751,50.1428088777064,"Control"
"CON8",7.86088882345408,0.998828184751626,853.376845358182,"Control"
"CON9",4.78363660847743,0.981780302742062,54.8856540173481,"Control"
"CON10",7.74485947496142,0.998857111471015,874.975970656081,"Control"
"CON11",7.60993808134174,0.99888640393619,897.991679836242,"Control"
"CON12",4.89486578201032,0.981015917123618,52.6757076710884,"Control"
"CON13",7.75536737793718,0.999019975846318,1020.38301427889,"Control"
"CON14",6.76889604834797,0.99763717415791,423.222051404132,"Control"
