feature	肠杆菌科..Enterobacteriaceae.	链球菌科..Streptococcaceae.	支原体科..Mycoplasmataceae.	梭菌科..Clostridiaceae.	乳杆菌科..Lactobacillaceae.	坦纳菌科..Tannerellaceae.	拟杆菌科..Bacteroidaceae.	肠球菌科..Enterococcaceae.	芽孢杆菌科..Bacillaceae.	毛螺菌科..Lachnospiraceae.	明串珠菌科..Leuconostocaceae.	葡萄球菌科..Staphylococcaceae.	瘤胃球菌科..Ruminococcaceae.	丙酸杆菌科..Propionibacteriaceae.	普雷沃菌科..Prevotellaceae.	双歧杆菌科..Bifidobacteriaceae.	韦荣球菌科..Veillonellaceae.	丹毒丝菌科..Erysipelotrichaceae.	柯林斯菌科..Coriobacteriaceae.	真杆菌科..Eubacteriaceae.	阿克曼氏菌科..Akkermansiaceae.
CON20	192024	21211	244642	36324	5465	17632	37348	18015	46514	2951	399	59	0	19	0	0	4	976	2	9917	0
CON21	102923	6319	25014	25486	8767	4573	17773	13820	16982	1102	2850	3832	3793	3664	0	1278	0	2309	41	10746	0
CON22	181981	8104	39793	30991	5743	14966	22172	18534	10842	1040	10515	1735	13	367	0	3552	2	674	2354	8198	0
CON23	177212	9001	51119	34604	11299	1869	9452	30316	27378	24358	13	1648	371	1721	0	1881	0	246	54	6495	0
CON24	88900	17582	84729	24372	5365	1164	17313	7864	11700	1281	5579	1503	936	2074	311	63	0	1249	3802	8517	0
CON25	85177	35444	7136	4229	534	3371	38725	33693	2860	3726	24	839	0	0	0	0	0	235	0	6135	0
CON26	181829	11935	18338	10365	8512	2	6748	7870	8403	3690	806	2347	9	1	0	0	79	8	0	57795	0
CON27	97621	9476	30086	39158	2986	8170	14220	15434	8262	440	13391	1518	1143	572	0	21	4	1458	4108	9190	328
CON28	182724	19299	96719	85385	2137	2432	3229	14523	13792	10435	645	3488	514	74164	13	2120	0	5936	4589	13067	0
CON29	120920	12542	83302	31812	7374	12461	14358	11436	23783	3963	1506	2507	116	9758	0	1602	0	3932	33	10518	0
CON30	197589	84835	47832	32417	4885	14361	20361	11066	8745	5788	5145	3269	210	1226	0	1838	63	7231	408	8938	4
CON31	159144	8513	92660	46497	9018	813	4583	20163	9319	3304	437	2817	96	1074	2	37	6	101	17	19445	0
CON32	139785	97391	25716	30535	9034	11164	11450	9170	11367	11716	2912	2896	99	1468	0	42	15	3069	6	6288	0
CON33	117403	11677	69009	38553	7516	57298	9492	17717	14297	2983	806	2393	24	952	0	116	0	13465	107	7398	0
CON34	120723	15084	29138	30695	9436	3646	9703	21588	18548	2804	615	3734	278	753	0	230	34	368	307	15877	0
CON35	104378	8351	63336	43729	5091	10958	10581	21980	15885	5028	5988	6594	188	831	0	239	0	4135	0	15359	0
CON36	110736	24216	71230	19052	3023	2084	9043	15543	9468	786	1783	1616	2125	362	336	15	4	990	1354	12749	0
CON37	128192	13887	119560	31846	10445	5253	34658	17536	19850	578	1811	3993	51	8617	0	1522	0	7157	1619	21187	121
CON38	85100	11132	323489	20225	7918	16863	23216	13928	59924	885	8514	2236	1043	123	0	7532	2	2024	1697	5712	0
CON39	69085	8148	26095	24236	3751	21399	42245	8006	14826	970	25766	1402	2013	1578	0	0	16	2466	6	8288	0
CON40	98526	10362	46446	33459	8488	2489	13642	14804	7406	8833	703	6478	1436	1213	4582	284	2	2938	7855	11668	0
CON41	167584	7953	98184	38329	3086	4064	6411	11845	18526	2407	545	1865	19	33088	594	254	4	1378	375	19447	0
CON42	227557	12681	67291	33368	7727	484	5934	15957	14930	1663	5862	3011	1197	875	2	851	4	1425	1813	9496	0
CON43	90786	6211	33684	19944	3957	1833	3569	17186	9426	511	430	14058	23	237	12835	44	0	637	659	11496	0
CON44	183954	10885	37051	30898	13527	29	1637	9759	17799	4487	615	2216	2882	1362	16320	228	2	1023	2013	9757	0
CON45	186627	14695	34310	29404	899	2153	4217	45355	26835	1136	6645	1239	97	116	0	0	0	127	0	22951	0
CON46	136287	9065	49695	46695	9587	2066	5362	11175	8259	2757	1115	4970	3084	705	0	689	64	4165	4983	12949	0
CON47	84904	114032	33656	14970	5381	3747	11191	107320	5603	1131	5205	1236	497	1924	0	64	743	1949	513	6846	0
