"","Bacterial_Richness","Bacterial_Diversity","Viral_Richness","Viral_Diversity"
"Bacterial_Richness",NA,NA,NA,NA
"Bacterial_Diversity",0,NA,NA,NA
"Viral_Richness",0,0,NA,NA
"Viral_Diversity",0,0,0,NA
