"","Bacterial_Richness","Bacterial_Diversity","Viral_Richness","Viral_Diversity"
"Bacterial_Richness",NA,NA,NA,NA
"Bacterial_Diversity",0.682,NA,NA,NA
"Viral_Richness",0.815,0.754,NA,NA
"Viral_Diversity",0.695,0.86,0.877,NA
