feature	X21.14.0.10.32.9	AMARA.1	ANME.1	ARS1403	ARS49	Acidilobaceae	Aenigmatarchaeaceae	Altiarchaeaceae	Anstonellaceae	Archaeoglobaceae	B18.G2	B24	B26.1	B3.WOES	BM511	Bilamarchaeaceae	Borrarchaeaceae	CABMGC01	CAIVOO01	CG.Epi1	CG1.02.33.12	CG10238.14	CSSED10.239	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.001856825	GCA.020350865	GCA.020356005	GCA.2686295	GCA.2688095	GLR71	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR20	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	HEL.GB.B	Haladaptataceae	Halalkalicoccaceae	Haloarculaceae	Halobacteriaceae	Halococcaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Iainarchaeaceae	Ignisphaeraceae	JAADEF01	JAAZKV01	JABGXB01	JABLTI01	JABXJV01	JACAEJ01	JAEHCK01	JAFCDX01	JAGGVH01	JAGVZF01	JAHWHD01	JALIDP01	JdFR.42	JdFR.43	Jordarchaeaceae	Kariarchaeaceae	LC.3	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanogasteraceae	Methanoliparaceae	Methanomassiliicoccaceae	Methanomethylicaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	NBVN01	Nanopusillaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Odinarchaeaceae	PNOQ01	PWKY01	Parvarchaeaceae	Poseidoniaceae	QMZM01	QMZS01	RBG.16.68.12	RDOG01	S146.22	SCGC.AAA011.G17	SG8.5	SM23.78	SOJC01	SOKP01	SZUA.1535	SpSt.28	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermocladiaceae	Thermococcaceae	Thermofilaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA164	UBA184	UBA213	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583	WJIZ01	WJKL01	WJKR01	WJKV01	WJKY01	Wolframiiraptoraceae
CON8	0	39	42	45	0	48	0	30	0	45	0	75	0	0	0	123	0	0	0	0	51	0	0	0	72	0	0	0	0	57	0	0	192	0	0	0	0	183	0	33	0	45	0	0	0	0	0	0	69	33	0	0	0	0	0	0	92	0	0	0	0	48	0	0	0	0	0	0	0	0	0	14093	115	0	0	150	48	120	39	0	2343	48	546	87	63	0	223	0	33	117	0	0	0	137	144	0	0	0	0	88	0	48	0	36	0	0	0	0	0	952	0	0	117	0	0	0	39	0	78	0	81	0	0	33	111	0	192	0	0	0	45	0	0	0	0	0	0
CON9	0	0	0	0	0	114	0	0	0	0	0	0	0	75	93	0	0	0	0	0	0	0	0	33	39	0	0	0	0	0	0	0	84	0	0	0	0	441	0	0	0	0	0	1229	0	4333	0	0	4118	45	0	0	90	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	1250	0	171	0	87	1155	0	0	0	0	0	934	2109	0	0	746	0	312	42	0	0	1200	138	123	0	0	0	0	54	0	0	141	0	0	66	0	0	0	407	0	0	0	0	156	0	78	0	0	0	123	0	132	0	0	0	194	0	0	0	0	0	0	0	0	0	0
CON10	0	99	48	0	0	0	0	0	0	0	0	45	54	0	0	0	0	0	0	54	0	0	42	213	0	0	0	0	0	0	0	0	0	72	0	0	0	99	0	48	0	0	0	0	0	0	0	48	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4362	0	72	33	0	165	80	0	0	414	0	831	0	0	108	147	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	33	66	0	0	0	0	748	39	0	141	159	0	0	42	0	45	39	33	0	0	0	0	0	42	0	0	63	0	60	0	0	0	0	0
CON11	0	0	0	33	36	0	0	0	0	0	0	0	0	0	0	36	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	78	0	0	63	99	57	0	0	99	0	0	95	0	0	0	0	0	0	0	0	0	108	36	0	0	0	0	0	0	0	0	0	0	0	0	0	1762	0	78	0	0	0	60	0	0	501	0	893	126	0	60	132	0	0	108	0	0	0	549	171	57	0	0	0	0	0	0	0	0	66	0	0	0	0	635	0	0	354	0	0	0	0	0	0	33	102	33	0	0	156	39	0	0	318	0	0	0	0	0	0	57	0
CON12	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	96	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	75	0	42	1254	0	297	0	0	0	0	0	0	249	0	0	0	0	0	304	0	69	0	0	0	0	464	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	564	0	0	0	0	39	0	0	0	0	162	0	0	0	0	111	0	0	0	75	0	0	0	0	0	0	0	0
CON13	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	42	0	0	0	39	0	30	33	0	42	184	0	0	0	63	0	33	249	0	0	240	0	0	0	0	0	36	0	0	0	0	60	0	226	51	30	225	42	0	0	0	0	0	57	0	0	0	0	96	0	48	0	0	0	30	39	25410	72	30	0	534	96	0	0	0	1586	0	1251	0	186	0	278	78	0	30	33	0	48	166	0	0	0	36	0	102	111	0	0	0	0	0	0	33	0	868	0	0	69	0	0	93	0	0	0	51	0	0	0	0	60	0	168	0	0	30	0	33	0	0	42	0	0
CON14	0	0	0	0	0	0	0	0	0	582	111	0	39	0	0	99	0	45	0	60	0	0	0	42	0	84	0	0	0	0	0	0	126	0	0	69	0	0	66	0	99	141	0	0	0	0	0	0	234	0	162	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	36	0	0	427	78	0	54	225	0	0	33	0	306	0	99	0	0	195	239	0	105	0	0	0	420	383	213	0	0	0	153	0	0	0	0	0	0	0	0	0	0	367	0	0	270	0	81	0	0	0	123	33	0	0	0	0	0	0	230	48	612	0	0	0	135	0	0	0	0
CON15	0	0	0	0	0	30	0	0	0	0	0	492	0	0	0	123	0	0	0	99	0	0	0	63	0	99	0	0	0	0	0	0	333	99	0	156	0	48	0	0	0	0	0	0	0	0	0	0	111	0	315	0	0	117	0	0	36	51	0	0	0	0	0	0	0	297	159	0	78	0	0	3569	39	30	0	189	93	30	0	0	423	111	651	0	105	126	350	30	108	42	0	0	30	302	141	30	0	0	0	217	0	0	0	0	153	0	0	0	0	825	0	0	72	0	120	0	0	0	470	321	0	0	0	0	45	60	199	0	0	0	0	0	0	54	0	0	0
CON16	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	36	45	0	87	0	192	0	82	93	0	0	0	0	0	0	0	421	0	0	33	0	225	81	63	30	327	0	54	0	48	0	33	0	201	266	0	60	0	0	0	150	84	0	0	33	0	0	0	0	0	0	36	159	0	0	215968	36	452	45	0	0	203	0	0	2435	0	453	0	0	57	300	0	111	0	0	0	0	343	0	0	0	0	0	120	0	45	42	0	30	0	0	0	0	1028	0	0	0	132	267	0	204	0	690	261	0	0	0	0	108	0	536	0	0	0	0	30	138	0	0	0	0
CON17	0	0	0	0	0	0	0	72	0	0	0	0	0	45	0	0	0	0	0	0	0	204	0	99	0	414	0	0	0	0	0	0	249	0	0	0	0	0	0	189	69	63	0	0	0	303	0	0	589	0	0	0	39	0	0	0	45	0	45	0	0	0	78	381	0	315	0	0	0	0	294	801	0	102	0	48	108	69	0	0	1398	0	162	357	0	0	1136	300	531	0	0	81	109	600	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	30	237	198	0	0	144	0	120	69	0	0	84	0	33	0	134	0	0	39	72	0	0	0	0	0	0
CON18	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	60	0	0	36	0	0	0	63	144	0	0	0	0	0	0	0	588	0	51	108	0	138	0	90	0	150	0	60	48	36	0	0	151	0	51	0	0	0	0	0	84	75	0	0	0	0	39	0	36	33	129	180	114	0	57	2637	0	0	0	0	414	96	0	132	819	57	509	0	30	0	188	0	0	54	0	87	726	162	96	0	0	0	0	150	0	0	0	84	39	0	0	0	126	220	0	0	114	0	0	0	48	0	0	0	69	0	0	42	33	39	69	0	30	0	39	189	0	60	0	0	99
CON19	0	108	0	0	0	234	0	0	0	0	0	39	0	0	0	0	39	30	0	0	0	0	0	0	0	0	0	0	0	48	0	0	108	0	0	0	0	0	48	57	0	0	0	1170	0	1839	0	0	190	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	135	2305	0	0	0	0	0	0	0	0	897	0	423	0	0	57	377	0	491	36	0	0	141	0	0	0	0	0	0	144	0	0	102	0	210	0	0	0	0	420	0	0	135	54	0	0	0	0	39	51	0	0	0	0	81	147	89	0	0	0	0	0	0	66	0	0	0
CON43	0	0	0	78	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	48	0	237	36	0	0	0	0	0	0	0	343	0	0	0	0	0	54	336	0	63	0	0	0	141	0	0	345	0	36	0	0	0	0	0	42	0	0	0	0	0	0	0	0	153	0	33	39	0	0	4188	48	36	0	0	33	42	0	0	1329	0	869	0	0	0	548	39	0	0	0	42	0	175	0	0	36	0	0	116	0	0	0	0	0	0	0	0	0	938	0	0	117	0	0	63	33	0	0	0	0	0	0	36	51	0	87	0	0	0	0	0	42	81	0	168	51
CON44	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	69	0	36	0	0	0	33	0	0	51	0	0	93	241	0	0	0	0	87	0	0	0	90	0	0	0	0	263	0	0	0	0	0	42	0	0	120	0	48	0	0	0	0	0	0	0	0	0	0	0	90	66	14841	180	0	30	0	0	114	0	0	147	0	300	57	0	60	66	69	0	0	303	0	0	5977	51	0	0	0	48	75	0	0	0	0	0	0	0	66	0	222	0	0	165	114	66	0	156	0	0	114	192	45	36	0	0	0	72	0	0	0	0	0	36	0	0	0	0
