ID,MI35,MI33,MI32,MI38,MI36,MI34,MI37,MI27,MI28,MI29,MI31,MI17,MI21,MI20,MI24,MI23,MI26,MI19,MI18,MI15,MI25,MI22,MI14,MI16,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47
HF17__4919,0,747,0,0,1,0,432,0,6,0,0,0,0,0,4,0,0,0,28,0,0,32,5,30,0,0,0,0,0,0,251,0,0,0,33,0,0,17,16,0,32,2,0,0,4,0,63,0,0,0,8,0,64,0,5,0,0,22,564,0,0,0,0,0,0,6,0,0,1,138,0,215,0,0,21,0,43,299,1,0,0,0,0,2
HF17__5445,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,22,0,0,7,0,0,24,0,0,0,0,0,12,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2,0,0,0,0,0,0,0,0,0,2
HF17__64840,0,0,0,0,65,2,87,0,39,4,2,35,1,40,2,6,0,22,3,6,11,0,0,9,0,0,0,49,1,0,2,2,26,2,0,0,4,0,0,0,6,0,0,2,0,19,0,0,8,2,0,0,1,0,0,0,7,0,0,0,0,0,95,0,2,7,12,0,19,0,0,0,3,0,1,3,7,0,4,0,0,0,3,0
HF17__69399,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,37,0,274,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HF17__69944,462,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,169,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,37,291
HF17__88284,78,2,222,0,39,4,74,0,0,7,40,147,0,7,12,0,0,12,0,0,0,0,5,27,0,2,8,210,113,0,0,9,55,63,3,0,488,8,0,0,27,0,25,1,0,0,0,0,0,0,150,0,0,0,0,16,7,5,0,6,0,31,61,0,0,0,1151,10,83,0,17,33,123,0,0,40,10,4,9,0,16,2,16,437
HF17__97368,359,0,0,6,0,0,254,0,0,0,6,0,27,0,101,10,0,0,28,0,16,1,40,0,5,212,0,0,32,17,0,2,0,0,12,0,0,118,10,0,13,18,0,0,77,2,0,63,0,145,371,0,10,0,14,0,0,2,0,0,4,0,0,276,0,31,141,0,83,13,0,1,0,68,60,0,0,0,2,0,0,0,0,32
HF17__98019,496,2336,0,2,0,0,0,0,0,0,0,0,133,0,824,237,1505,0,0,0,0,3399,36,2749,0,7,20,0,0,0,0,26,0,0,244,0,838,240,0,0,0,1,0,0,4,0,39,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1304,0,0,0,280,11,0,20,577,15,0,0,0,253,251,34,0,1719,561
HF18__15657,0,0,0,0,0,0,0,34,0,4,0,0,3205,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,806,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,30,0,0,2318,0,0,0,0,0,0,0,133,0,27,0,0,2,0,0,0,0
HF18__23394,12,336,136,0,0,14,353,0,11,23,39,0,8,0,38,0,0,10,0,0,0,0,28,4,0,0,11,160,51,19,0,103,5,0,6,0,35,2,0,14,32,0,0,0,45,0,0,0,0,22,184,34,28,0,4,0,0,0,8,0,104,0,0,17,1,7,105,25,33,0,65,0,18,0,43,0,98,0,7,0,444,341,0,12
HF18__34333,0,2,0,1,50,0,0,0,1,0,0,14,2,0,0,10,0,0,61,0,6,2,0,4,4,0,16,4,12,0,0,64,0,0,0,8,12,0,6,9,0,0,8,0,39,0,87,0,0,60,4,0,68,0,71,0,0,19,16,2,92,0,0,28,2,0,53,0,0,0,0,0,1,6,0,2,2,0,1,1,0,117,42,108
HF18__41039,120,864,183,84,89,22,59,158,489,147,46,0,488,153,227,34,54,40,190,0,27,1606,154,2081,45,3042,186,461,107,43,1,229,64,0,330,28,9,74,90,115,42,95,0,0,220,1,110,127,0,682,0,103,338,255,145,36,0,58,247,41,815,0,0,96,1520,275,53,59,102,60,140,159,69,98,48,55,92,1337,197,1316,4106,364,1083,24
HF18__52113,0,109,37,49,147,119,0,0,0,0,0,0,0,0,10,4,0,0,0,323,24,0,0,4,2,0,0,0,382,3,0,1,182,2,0,0,6,4,2,2,44,0,42,5,38,0,1,0,0,143,0,0,55,4,84,38,7,1,951,3,0,72,226,0,47,82,39,48,3,68,175,173,2,87,8,0,0,37,1615,18,539,0,388,0
HF18__67575,77,0,0,18,0,0,86,0,1,0,0,0,68,0,0,0,16,0,1807,0,0,0,0,0,0,0,469,0,108,0,0,260,0,0,695,30,0,931,0,0,0,0,0,0,0,0,162,0,0,98,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,32,7,0,21,0,0,9,31,0,2,0,0,0,0,0,0,0,0
HF18__72032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF18__72486,293,123,450,176,84,1501,46,32,88,79,231,0,49,30,40,20,270,81,30,0,1218,155,1810,79,154,120,42,49,247,8,43,76,87,24,84,102,17,51,102,525,26,116,18,0,401,0,137,305,8,59,19,48,2355,134,267,58,3,70,277,7,253,0,113,58,22,31,363,338,490,393,83,179,234,46,93,39,297,36,48,89,188,2539,328,108
